player_id,player_name,team_id,team_abbreviation,gp,w,l,min,min1,dist_feet,dist_miles,dist_miles_off,dist_miles_def,avg_speed,avg_speed_off,avg_speed_def,date
101145,Monta Ellis,1610612742,DAL,1,0,1,37.22,37.22,14165,2.68,1.4,1.28,4.36,4.72,4.03,10/28/2014
202696,Nikola Vucevic,1610612753,ORL,1,0,1,35.05,35.05,11851,2.24,1.31,0.94,3.77,4.27,3.23,10/28/2014
201600,Omer Asik,1610612740,NOP,1,1,0,33.5,33.5,11282,2.14,1.06,1.08,3.77,4.17,3.76,10/28/2014
201976,Patrick Beverley,1610612745,HOU,1,1,0,30.92,30.92,12041,2.28,1.23,1.05,4.48,4.7,3.86,10/28/2014
2210,Richard Jefferson,1610612742,DAL,1,0,1,13.37,13.37,5105,0.97,0.43,0.53,4.49,3.94,4.13,10/28/2014
203135,Robert Sacre,1610612747,LAL,1,0,1,7.12,7.12,2534,0.48,0.24,0.24,4.24,3.54,3.26,10/28/2014
101179,Ronnie Price,1610612747,LAL,1,0,1,26.93,26.93,10777,2.04,1.17,0.87,4.47,5.17,4.18,10/28/2014
201583,Ryan Anderson,1610612740,NOP,1,1,0,22.35,22.35,8178,1.55,0.81,0.74,4.04,4.38,3.7,10/28/2014
204028,Tarik Black,1610612747,LAL,1,1,0,24.22,24.22,8905,1.69,0.91,0.77,4.21,4.54,3.91,10/28/2014
203093,Terrence Jones,1610612745,HOU,1,1,0,30.52,30.52,11490,2.18,1.14,1.03,4.34,4.51,3.79,10/28/2014
1495,Tim Duncan,1610612759,SAS,1,1,0,30.18,30.18,9746,1.85,1.06,0.79,3.58,4.23,3.3,10/28/2014
202699,Tobias Harris,1610612753,ORL,1,0,1,36.53,36.53,14078,2.67,1.49,1.18,4.44,4.74,4.11,10/28/2014
2225,Tony Parker,1610612759,SAS,1,1,0,34.83,34.83,13931,2.64,1.55,1.09,4.48,5.37,3.9,10/28/2014
2772,Trevor Ariza,1610612745,HOU,1,1,0,29.57,29.57,9710,1.84,0.95,0.89,3.66,3.8,3.52,10/28/2014
203584,Troy Daniels,1610612766,CHA,1,1,0,8.72,8.72,3603,0.68,0.38,0.3,4.84,5.25,4.38,10/28/2014
201936,Tyreke Evans,1610612740,NOP,1,1,0,34.67,34.67,12879,2.44,1.32,1.12,4.16,4.83,3.58,10/28/2014
2199,Tyson Chandler,1610612742,DAL,1,0,1,27.75,27.75,8967,1.7,0.84,0.86,3.68,3.45,3.92,10/28/2014
202325,Wesley Johnson,1610612747,LAL,1,0,1,22.87,22.87,7769,1.47,0.75,0.72,3.95,4.22,3.66,10/28/2014
2584,Willie Green,1610612753,ORL,1,0,1,4.12,4.12,1452,0.28,0.16,0.11,4.41,5.91,2.92,10/28/2014
202333,Xavier Henry,1610612747,LAL,1,0,1,18.47,18.47,7002,1.33,0.69,0.63,4.24,4.62,3.88,10/28/2014
201166,Aaron Brooks,1610612741,CHI,1,1,0,23.65,23.65,8707,1.65,0.79,0.86,4.07,4.68,4.05,10/29/2014
201143,Al Horford,1610612737,ATL,1,0,1,31.1,31.1,10739,2.03,1,1.03,3.87,4.31,3.51,10/29/2014
2744,Al Jefferson,1610612766,CHA,1,1,0,40.48,40.48,13237,2.51,1.45,1.06,3.71,3.75,3.66,10/29/2014
101187,Alan Anderson,1610612751,BKN,1,0,1,24.78,24.78,9216,1.75,0.88,0.86,4.18,4.73,4.16,10/29/2014
202692,Alec Burks,1610612762,UTA,1,0,1,35.92,35.92,12937,2.45,1.41,1.04,4.18,4.47,3.51,10/29/2014
203458,Alex Len,1610612756,PHX,1,1,0,18.7,18.7,6747,1.28,0.67,0.61,4.16,4.86,3.56,10/29/2014
203144,Alexey Shved,1610612752,NYK,1,0,1,23.93,23.93,9230,1.75,0.97,0.78,4.27,5.16,3.93,10/29/2014
203459,Allen Crabbe,1610612757,POR,1,1,0,2.33,2.33,857,0.16,0.1,0.07,5.13,4.13,6.78,10/29/2014
202087,Alonzo Gee,1610612757,POR,1,1,0,12,12,4683,0.89,0.42,0.47,4.51,4.37,4.62,10/29/2014
2405,Amar'e Stoudemire,1610612742,DAL,1,0,1,23.92,23.92,8132,1.54,0.86,0.68,3.78,4.03,4.04,10/29/2014
101161,Amir Johnson,1610612761,TOR,1,1,0,31.35,31.35,11417,2.16,1.16,1,4.22,4.21,4.23,10/29/2014
203083,Andre Drummond,1610612765,DET,1,0,1,27.05,27.05,9636,1.83,0.93,0.9,4,3.96,4.04,10/29/2014
2738,Andre Iguodala,1610612744,GSW,1,1,0,29.25,29.25,10840,2.05,1.03,1.03,4.31,4.53,3.75,10/29/2014
1889,Andre Miller,1610612758,SAC,1,0,1,10.4,10.4,3535,0.67,0.4,0.27,4.05,4.13,3.95,10/29/2014
203460,Andre Roberson,1610612760,OKC,1,0,1,34.93,34.93,14217,2.69,1.37,1.32,4.64,4.97,4.34,10/29/2014
1905,Andrei Kirilenko,1610612751,BKN,1,0,1,10.02,10.02,3749,0.71,0.38,0.33,4.2,4.73,3.65,10/29/2014
101106,Andrew Bogut,1610612744,GSW,1,1,0,18.07,18.07,6048,1.15,0.59,0.56,3.66,4.03,3.96,10/29/2014
203952,Andrew Wiggins,1610612750,MIN,1,0,1,18.55,18.55,6895,1.31,0.67,0.64,4.21,4.73,3.73,10/29/2014
203461,Anthony Bennett,1610612750,MIN,1,0,1,13.9,13.9,5218,0.99,0.53,0.46,4.36,4.51,4.21,10/29/2014
201229,Anthony Tolliver,1610612765,DET,1,1,0,11.77,11.77,4358,0.83,0.48,0.35,4.09,4.91,3.2,10/29/2014
203462,Archie Goodwin,1610612756,PHX,1,1,0,9.8,9.8,3410,0.65,0.34,0.3,3.68,3.37,4.05,10/29/2014
201167,Arron Afflalo,1610612757,POR,1,1,0,39.82,39.82,14745,2.79,1.47,1.32,4.23,4.86,3.67,10/29/2014
202340,Avery Bradley,1610612738,BOS,1,1,0,30.22,30.22,12219,2.31,1.21,1.1,4.57,4.6,4.55,10/29/2014
203463,Ben McLemore,1610612758,SAC,1,0,1,26.45,26.45,10944,2.07,1.08,0.99,4.76,4.91,4.61,10/29/2014
2757,Beno Udrih,1610612763,MEM,1,1,0,14.02,14.02,5746,1.09,0.65,0.43,4.71,5.61,3.68,10/29/2014
202711,Bojan Bogdanovic,1610612751,BKN,1,0,1,26.08,26.08,10028,1.9,0.97,0.93,4.38,4.65,4.12,10/29/2014
101138,Brandon Bass,1610612738,BOS,1,1,0,15.82,15.82,5714,1.08,0.63,0.45,4.24,4.2,4.28,10/29/2014
203561,Brandon Davies,1610612755,PHI,1,0,1,17.97,17.97,7013,1.33,0.73,0.6,4.36,4.73,3.98,10/29/2014
201943,Brandon Jennings,1610612765,DET,1,0,1,19.8,19.8,7730,1.46,0.85,0.61,4.55,5.05,3.96,10/29/2014
202688,Brandon Knight,1610612756,PHX,1,0,1,38.78,38.78,14683,2.78,1.42,1.36,4.33,4.72,4,10/29/2014
203148,Brian Roberts,1610612766,CHA,1,1,0,14.02,14.02,5504,1.04,0.66,0.38,4.29,5.15,4.12,10/29/2014
203468,CJ McCollum,1610612757,POR,1,1,0,15.72,15.72,6175,1.17,0.62,0.55,4.57,5.26,4.04,10/29/2014
101139,CJ Miles,1610612754,IND,1,1,0,33.18,33.18,11759,2.23,1.26,0.96,3.98,4.47,3.82,10/29/2014
203946,Cameron Bairstow,1610612741,CHI,1,1,0,3.52,3.52,1207,0.23,0.12,0.11,3.42,3.36,3.49,10/29/2014
