Season,Phase,Month,Week,Date,Team,Opponent,Location,W/L,City,Distance,Route,Rest,TZ,Shift (hrs),Flight Time,Direction (E/W),Return Home,Latitude,Longitude,d.Latitude,d.Longitude
2014-15,RS,Dec,52,2014-12-30,Atlanta Hawks,Cleveland Cavaliers,Home,W,Atlanta,671,Milwaukee - Atlanta,2,America/New_York,1,~1.22 hours,East,,33.76,-84.42,43.06,-87.97
2014-15,RS,Jan,1,2015-01-02,Atlanta Hawks,Utah Jazz,Away,W,Salt Lake City,1582,Atlanta - Salt Lake City,2,America/Denver,-2,~2.88 hours,West,,40.78,-111.93,33.76,-84.42
2014-15,RS,Jan,1,2015-01-03,Atlanta Hawks,Portland Trail Blazers,Away,W,Portland,632,Salt Lake City - Portland,0,America/Los_Angeles,-1,~1.15 hours,West,,45.54,-122.66,40.78,-111.93
2014-15,RS,Jan,1,2015-01-05,Atlanta Hawks,Los Angeles Clippers,Away,W,Los Angeles,821,Portland - Los Angeles,1,America/Los_Angeles,0,~1.49 hours,-,,34.11,-118.41,45.54,-122.66
2014-15,RS,Jan,1,2015-01-07,Atlanta Hawks,Memphis Grizzlies,Home,W,Atlanta,1941,Los Angeles - Atlanta,1,America/New_York,3,~3.53 hours,East,,33.76,-84.42,34.11,-118.41
2014-15,RS,Jan,2,2015-01-09,Atlanta Hawks,Detroit Pistons,Away,W,Detroit,600,Atlanta - Detroit,1,America/Detroit,0,~1.09 hours,-,,42.38,-83.1,33.76,-84.42
2014-15,RS,Jan,2,2015-01-11,Atlanta Hawks,Washington Wizards,Home,W,Atlanta,600,Detroit - Atlanta,1,America/New_York,0,~1.09 hours,-,,33.76,-84.42,42.38,-83.1
2014-15,RS,Jan,2,2015-01-13,Atlanta Hawks,Philadelphia 76ers,Away,W,Philadelphia,671,Atlanta - Philadelphia,1,America/New_York,0,~1.22 hours,-,,40.01,-75.13,33.76,-84.42
2014-15,RS,Jan,2,2015-01-14,Atlanta Hawks,Boston Celtics,Away,W,Boston,268,Philadelphia - Boston,0,America/New_York,0,~55 minutes,-,,42.34,-71.02,40.01,-75.13
2014-15,RS,Jan,3,2015-01-16,Atlanta Hawks,Toronto Raptors,Away,W,Toronto,432,Boston - Toronto,1,America/Toronto,0,~55 minutes,-,,43.65,-79.38,42.34,-71.02
2014-15,RS,Jan,3,2015-01-17,Atlanta Hawks,Chicago Bulls,Away,W,Chicago,439,Toronto - Chicago,0,America/Chicago,-1,~55 minutes,West,,41.84,-87.68,43.65,-79.38
2014-15,RS,Jan,3,2015-01-19,Atlanta Hawks,Detroit Pistons,Home,W,Atlanta,586,Chicago - Atlanta,1,America/New_York,1,~1.07 hours,East,,33.76,-84.42,41.84,-87.68
2014-15,RS,Jan,3,2015-01-21,Atlanta Hawks,Indiana Pacers,Home,W,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2014-15,RS,Jan,4,2015-01-23,Atlanta Hawks,Oklahoma City Thunder,Home,W,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2014-15,RS,Jan,4,2015-01-25,Atlanta Hawks,Minnesota Timberwolves,Home,W,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2014-15,RS,Jan,4,2015-01-28,Atlanta Hawks,Brooklyn Nets,Home,W,Atlanta,0,No Travel,2,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2014-15,RS,Jan,5,2015-01-30,Atlanta Hawks,Portland Trail Blazers,Home,W,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2014-15,RS,Jan,5,2015-01-31,Atlanta Hawks,Philadelphia 76ers,Home,W,Atlanta,0,No Travel,0,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2014-15,RS,Feb,5,2015-02-02,Atlanta Hawks,New Orleans Pelicans,Away,L,New Orleans,412,Atlanta - New Orleans,1,America/Chicago,-1,~55 minutes,West,,30.07,-89.93,33.76,-84.42
2014-15,RS,Feb,5,2015-02-04,Atlanta Hawks,Washington Wizards,Home,W,Atlanta,412,New Orleans - Atlanta,1,America/New_York,1,~55 minutes,East,,33.76,-84.42,30.07,-89.93
2014-15,RS,Feb,6,2015-02-06,Atlanta Hawks,Golden State Warriors,Home,W,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2014-15,RS,Feb,6,2015-02-08,Atlanta Hawks,Memphis Grizzlies,Away,L,Memphis,332,Atlanta - Memphis,1,America/Chicago,-1,~55 minutes,West,,35.11,-90.01,33.76,-84.42
2014-15,RS,Feb,6,2015-02-09,Atlanta Hawks,Minnesota Timberwolves,Away,W,Minneapolis,702,Memphis - Minneapolis,0,America/Chicago,0,~1.28 hours,-,,44.96,-93.27,35.11,-90.01
2014-15,RS,Feb,6,2015-02-11,Atlanta Hawks,Boston Celtics,Away,L,Boston,1124,Minneapolis - Boston,1,America/New_York,1,~2.04 hours,East,,42.34,-71.02,44.96,-93.27
2014-15,RS,Feb,8,2015-02-20,Atlanta Hawks,Toronto Raptors,Home,L,Atlanta,938,Boston - Atlanta,8,America/New_York,0,~1.71 hours,-,,33.76,-84.42,42.34,-71.02
2014-15,RS,Feb,8,2015-02-22,Atlanta Hawks,Milwaukee Bucks,Away,W,Milwaukee,671,Atlanta - Milwaukee,1,America/Chicago,-1,~1.22 hours,West,,43.06,-87.97,33.76,-84.42
2014-15,RS,Feb,8,2015-02-25,Atlanta Hawks,Dallas Mavericks,Home,W,Atlanta,671,Milwaukee - Atlanta,2,America/New_York,1,~1.22 hours,East,,33.76,-84.42,43.06,-87.97
2014-15,RS,Feb,9,2015-02-27,Atlanta Hawks,Orlando Magic,Home,W,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2014-15,RS,Feb,9,2015-02-28,Atlanta Hawks,Miami Heat,Away,W,Miami,607,Atlanta - Miami,0,America/New_York,0,~1.1 hours,-,,25.78,-80.21,33.76,-84.42
2014-15,RS,Mar,9,2015-03-03,Atlanta Hawks,Houston Rockets,Home,W,Atlanta,607,Miami - Atlanta,2,America/New_York,0,~1.1 hours,-,,33.76,-84.42,25.78,-80.21
2014-15,RS,Mar,10,2015-03-06,Atlanta Hawks,Cleveland Cavaliers,Home,W,Atlanta,0,No Travel,2,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2014-15,RS,Mar,10,2015-03-07,Atlanta Hawks,Philadelphia 76ers,Away,L,Philadelphia,671,Atlanta - Philadelphia,0,America/New_York,0,~1.22 hours,-,,40.01,-75.13,33.76,-84.42
2014-15,RS,Mar,10,2015-03-09,Atlanta Hawks,Sacramento Kings,Home,W,Atlanta,671,Philadelphia - Atlanta,1,America/New_York,0,~1.22 hours,-,,33.76,-84.42,40.01,-75.13
2014-15,RS,Mar,10,2015-03-11,Atlanta Hawks,Denver Nuggets,Away,L,Denver,1203,Atlanta - Denver,1,America/Denver,-2,~2.19 hours,West,,39.77,-104.87,33.76,-84.42
2014-15,RS,Mar,11,2015-03-13,Atlanta Hawks,Phoenix Suns,Away,W,Phoenix,587,Denver - Phoenix,1,America/Phoenix,0,~1.07 hours,-,,33.54,-112.07,39.77,-104.87
2014-15,RS,Mar,11,2015-03-15,Atlanta Hawks,Los Angeles Lakers,Away,W,Los Angeles,366,Phoenix - Los Angeles,1,America/Los_Angeles,-1,~55 minutes,West,,34.11,-118.41,33.54,-112.07
2014-15,RS,Mar,11,2015-03-16,Atlanta Hawks,Sacramento Kings,Away,W,Sacramento,352,Los Angeles - Sacramento,0,America/Los_Angeles,0,~55 minutes,-,,38.57,-121.47,34.11,-118.41
2014-15,RS,Mar,11,2015-03-18,Atlanta Hawks,Golden State Warriors,Away,L,San Francisco,77,Sacramento - San Francisco,1,America/Los_Angeles,0,~55 minutes,-,,37.77,-122.45,38.57,-121.47
2014-15,RS,Mar,12,2015-03-20,Atlanta Hawks,Oklahoma City Thunder,Away,L,Oklahoma City,1389,San Francisco - Oklahoma City,1,America/Chicago,2,~2.53 hours,East,,35.47,-97.51,37.77,-122.45
2014-15,RS,Mar,12,2015-03-22,Atlanta Hawks,San Antonio Spurs,Home,L,Atlanta,753,Oklahoma City - Atlanta,1,America/New_York,1,~1.37 hours,East,,33.76,-84.42,35.47,-97.51
2014-15,RS,Mar,12,2015-03-25,Atlanta Hawks,Orlando Magic,Away,W,Orlando,406,Atlanta - Orlando,2,America/New_York,0,~55 minutes,-,,28.5,-81.37,33.76,-84.42
2014-15,RS,Mar,13,2015-03-27,Atlanta Hawks,Miami Heat,Home,W,Atlanta,406,Orlando - Atlanta,1,America/New_York,0,~55 minutes,-,,33.76,-84.42,28.5,-81.37
2014-15,RS,Mar,13,2015-03-28,Atlanta Hawks,Charlotte Hornets,Away,L,Charlotte,227,Atlanta - Charlotte,0,America/New_York,0,~55 minutes,-,,35.2,-80.83,33.76,-84.42
2014-15,RS,Mar,13,2015-03-30,Atlanta Hawks,Milwaukee Bucks,Home,W,Atlanta,227,Charlotte - Atlanta,1,America/New_York,0,~55 minutes,-,,33.76,-84.42,35.2,-80.83
2014-15,RS,Mar,13,2015-03-31,Atlanta Hawks,Detroit Pistons,Away,L,Detroit,600,Atlanta - Detroit,0,America/Detroit,0,~1.09 hours,-,,42.38,-83.1,33.76,-84.42
2014-15,RS,Apr,14,2015-04-04,Atlanta Hawks,Brooklyn Nets,Home,W,Atlanta,600,Detroit - Atlanta,3,America/New_York,0,~1.09 hours,-,,33.76,-84.42,42.38,-83.1
2014-15,RS,Apr,14,2015-04-07,Atlanta Hawks,Phoenix Suns,Home,W,Atlanta,0,No Travel,2,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2014-15,RS,Apr,14,2015-04-08,Atlanta Hawks,Brooklyn Nets,Away,W,New York,748,Atlanta - New York,0,America/New_York,0,~1.36 hours,-,,40.67,-73.94,33.76,-84.42
2014-15,RS,Apr,15,2015-04-10,Atlanta Hawks,Charlotte Hornets,Home,W,Atlanta,748,New York - Atlanta,1,America/New_York,0,~1.36 hours,-,,33.76,-84.42,40.67,-73.94
2014-15,RS,Apr,15,2015-04-12,Atlanta Hawks,Washington Wizards,Away,L,Washington,544,Atlanta - Washington,1,America/New_York,0,~59.35 minutes,-,,38.91,-77.02,33.76,-84.42
2014-15,RS,Apr,15,2015-04-13,Atlanta Hawks,New York Knicks,Home,L,Atlanta,544,Washington - Atlanta,0,America/New_York,0,~59.35 minutes,-,,33.76,-84.42,38.91,-77.02
2014-15,RS,Apr,15,2015-04-15,Atlanta Hawks,Chicago Bulls,Away,L,Chicago,586,Atlanta - Chicago,1,America/Chicago,-1,~1.07 hours,West,,41.84,-87.68,33.76,-84.42
2014-15,PO,Apr,16,2015-04-19,Atlanta Hawks,Brooklyn Nets,Home,W,Atlanta,586,Chicago - Atlanta,3,America/New_York,1,~1.07 hours,East,,33.76,-84.42,41.84,-87.68
2014-15,PO,Apr,16,2015-04-22,Atlanta Hawks,Brooklyn Nets,Home,W,Atlanta,0,No Travel,2,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2014-15,PO,Apr,17,2015-04-25,Atlanta Hawks,Brooklyn Nets,Away,L,New York,748,Atlanta - New York,2,America/New_York,0,~1.36 hours,-,,40.67,-73.94,33.76,-84.42
2014-15,PO,Apr,17,2015-04-27,Atlanta Hawks,Brooklyn Nets,Away,L,New York,0,No Travel,1,America/New_York,0,-,-,,40.67,-73.94,40.67,-73.94
2014-15,PO,Apr,17,2015-04-29,Atlanta Hawks,Brooklyn Nets,Home,W,Atlanta,748,New York - Atlanta,1,America/New_York,0,~1.36 hours,-,,33.76,-84.42,40.67,-73.94
2014-15,PO,May,18,2015-05-01,Atlanta Hawks,Brooklyn Nets,Away,W,New York,748,Atlanta - New York,1,America/New_York,0,~1.36 hours,-,,40.67,-73.94,33.76,-84.42
2014-15,PO,May,18,2015-05-03,Atlanta Hawks,Washington Wizards,Home,L,Atlanta,748,New York - Atlanta,1,America/New_York,0,~1.36 hours,-,,33.76,-84.42,40.67,-73.94
2014-15,PO,May,18,2015-05-05,Atlanta Hawks,Washington Wizards,Home,W,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
