Season,Phase,Month,Week,Date,Team,Opponent,Location,W/L,City,Distance,Route,Rest,TZ,Shift (hrs),Flight Time,Direction (E/W),Return Home,Latitude,Longitude,d.Latitude,d.Longitude
2014-15,RS,Nov,44,2014-11-01,Chicago Bulls,Minnesota Timberwolves,Away,W,Minneapolis,354,Chicago - Minneapolis,0,America/Chicago,0,~55 minutes,-,,44.96,-93.27,41.84,-87.68
2014-15,RS,Nov,44,2014-11-04,Chicago Bulls,Orlando Magic,Home,W,Chicago,354,Minneapolis - Chicago,2,America/Chicago,0,~55 minutes,-,,41.84,-87.68,44.96,-93.27
2014-15,RS,Nov,45,2014-11-05,Chicago Bulls,Milwaukee Bucks,Away,W,Milwaukee,86,Chicago - Milwaukee,0,America/Chicago,0,~55 minutes,-,,43.06,-87.97,41.84,-87.68
2014-15,RS,Nov,45,2014-11-07,Chicago Bulls,Philadelphia 76ers,Away,W,Philadelphia,696,Milwaukee - Philadelphia,1,America/New_York,1,~1.27 hours,East,,40.01,-75.13,43.06,-87.97
2014-15,RS,Nov,45,2014-11-08,Chicago Bulls,Boston Celtics,Home,L,Chicago,667,Philadelphia - Chicago,0,America/Chicago,-1,~1.21 hours,West,,41.84,-87.68,40.01,-75.13
2014-15,RS,Nov,45,2014-11-10,Chicago Bulls,Detroit Pistons,Home,W,Chicago,0,No Travel,1,America/Chicago,0,-,-,,41.84,-87.68,41.84,-87.68
2014-15,RS,Nov,46,2014-11-13,Chicago Bulls,Toronto Raptors,Away,W,Toronto,439,Chicago - Toronto,2,America/Toronto,1,~55 minutes,East,,43.65,-79.38,41.84,-87.68
2014-15,RS,Nov,46,2014-11-15,Chicago Bulls,Indiana Pacers,Home,L,Chicago,439,Toronto - Chicago,1,America/Chicago,-1,~55 minutes,West,,41.84,-87.68,43.65,-79.38
2014-15,RS,Nov,46,2014-11-17,Chicago Bulls,Los Angeles Clippers,Away,W,Los Angeles,1747,Chicago - Los Angeles,1,America/Los_Angeles,-2,~3.18 hours,West,,34.11,-118.41,41.84,-87.68
2014-15,RS,Nov,47,2014-11-20,Chicago Bulls,Sacramento Kings,Away,L,Sacramento,352,Los Angeles - Sacramento,2,America/Los_Angeles,0,~55 minutes,-,,38.57,-121.47,34.11,-118.41
2014-15,RS,Nov,47,2014-11-21,Chicago Bulls,Portland Trail Blazers,Away,L,Portland,486,Sacramento - Portland,0,America/Los_Angeles,0,~55 minutes,-,,45.54,-122.66,38.57,-121.47
2014-15,RS,Nov,47,2014-11-24,Chicago Bulls,Utah Jazz,Away,W,Salt Lake City,632,Portland - Salt Lake City,2,America/Denver,1,~1.15 hours,East,,40.78,-111.93,45.54,-122.66
2014-15,RS,Nov,47,2014-11-25,Chicago Bulls,Denver Nuggets,Away,L,Denver,379,Salt Lake City - Denver,0,America/Denver,0,~55 minutes,-,,39.77,-104.87,40.78,-111.93
2014-15,RS,Nov,48,2014-11-28,Chicago Bulls,Boston Celtics,Away,W,Boston,1762,Denver - Boston,2,America/New_York,2,~3.2 hours,East,,42.34,-71.02,39.77,-104.87
2014-15,RS,Nov,48,2014-11-30,Chicago Bulls,Brooklyn Nets,Away,W,New York,190,Boston - New York,1,America/New_York,0,~55 minutes,-,,40.67,-73.94,42.34,-71.02
2014-15,RS,Dec,48,2014-12-02,Chicago Bulls,Dallas Mavericks,Home,L,Chicago,718,New York - Chicago,1,America/Chicago,-1,~1.31 hours,West,,41.84,-87.68,40.67,-73.94
2014-15,RS,Dec,49,2014-12-03,Chicago Bulls,Charlotte Hornets,Away,W,Charlotte,589,Chicago - Charlotte,0,America/New_York,1,~1.07 hours,East,,35.2,-80.83,41.84,-87.68
2014-15,RS,Dec,49,2014-12-06,Chicago Bulls,Golden State Warriors,Home,L,Chicago,589,Charlotte - Chicago,2,America/Chicago,-1,~1.07 hours,West,,41.84,-87.68,35.2,-80.83
2014-15,RS,Dec,50,2014-12-10,Chicago Bulls,Brooklyn Nets,Home,W,Chicago,0,No Travel,3,America/Chicago,0,-,-,,41.84,-87.68,41.84,-87.68
2014-15,RS,Dec,50,2014-12-12,Chicago Bulls,Portland Trail Blazers,Home,W,Chicago,0,No Travel,1,America/Chicago,0,-,-,,41.84,-87.68,41.84,-87.68
2014-15,RS,Dec,50,2014-12-14,Chicago Bulls,Miami Heat,Away,W,Miami,1189,Chicago - Miami,1,America/New_York,1,~2.16 hours,East,,25.78,-80.21,41.84,-87.68
2014-15,RS,Dec,50,2014-12-15,Chicago Bulls,Atlanta Hawks,Away,L,Atlanta,607,Miami - Atlanta,0,America/New_York,0,~1.1 hours,-,,33.76,-84.42,25.78,-80.21
2014-15,RS,Dec,51,2014-12-18,Chicago Bulls,New York Knicks,Home,W,Chicago,586,Atlanta - Chicago,2,America/Chicago,-1,~1.07 hours,West,,41.84,-87.68,33.76,-84.42
2014-15,RS,Dec,51,2014-12-19,Chicago Bulls,Memphis Grizzlies,Away,W,Memphis,482,Chicago - Memphis,0,America/Chicago,0,~55 minutes,-,,35.11,-90.01,41.84,-87.68
2014-15,RS,Dec,51,2014-12-22,Chicago Bulls,Toronto Raptors,Home,W,Chicago,482,Memphis - Chicago,2,America/Chicago,0,~55 minutes,-,,41.84,-87.68,35.11,-90.01
2014-15,RS,Dec,51,2014-12-23,Chicago Bulls,Washington Wizards,Away,W,Washington,596,Chicago - Washington,0,America/New_York,1,~1.08 hours,East,,38.91,-77.02,41.84,-87.68
2014-15,RS,Dec,52,2014-12-25,Chicago Bulls,Los Angeles Lakers,Home,W,Chicago,596,Washington - Chicago,1,America/Chicago,-1,~1.08 hours,West,,41.84,-87.68,38.91,-77.02
2014-15,RS,Dec,52,2014-12-27,Chicago Bulls,New Orleans Pelicans,Home,W,Chicago,0,No Travel,1,America/Chicago,0,-,-,,41.84,-87.68,41.84,-87.68
2014-15,RS,Dec,52,2014-12-29,Chicago Bulls,Indiana Pacers,Away,W,Indianapolis,163,Chicago - Indianapolis,1,America/Indiana/Indianapolis,1,~55 minutes,East,,39.78,-86.15,41.84,-87.68
2014-15,RS,Dec,52,2014-12-30,Chicago Bulls,Brooklyn Nets,Home,L,Chicago,163,Indianapolis - Chicago,0,America/Chicago,-1,~55 minutes,West,,41.84,-87.68,39.78,-86.15
2014-15,RS,Jan,1,2015-01-01,Chicago Bulls,Denver Nuggets,Home,W,Chicago,0,No Travel,1,America/Chicago,0,-,-,,41.84,-87.68,41.84,-87.68
2014-15,RS,Jan,1,2015-01-03,Chicago Bulls,Boston Celtics,Home,W,Chicago,0,No Travel,1,America/Chicago,0,-,-,,41.84,-87.68,41.84,-87.68
2014-15,RS,Jan,1,2015-01-05,Chicago Bulls,Houston Rockets,Home,W,Chicago,0,No Travel,1,America/Chicago,0,-,-,,41.84,-87.68,41.84,-87.68
2014-15,RS,Jan,1,2015-01-07,Chicago Bulls,Utah Jazz,Home,L,Chicago,0,No Travel,1,America/Chicago,0,-,-,,41.84,-87.68,41.84,-87.68
2014-15,RS,Jan,2,2015-01-09,Chicago Bulls,Washington Wizards,Away,L,Washington,596,Chicago - Washington,1,America/New_York,1,~1.08 hours,East,,38.91,-77.02,41.84,-87.68
2014-15,RS,Jan,2,2015-01-10,Chicago Bulls,Milwaukee Bucks,Home,W,Chicago,596,Washington - Chicago,0,America/Chicago,-1,~1.08 hours,West,,41.84,-87.68,38.91,-77.02
2014-15,RS,Jan,2,2015-01-12,Chicago Bulls,Orlando Magic,Home,L,Chicago,0,No Travel,1,America/Chicago,0,-,-,,41.84,-87.68,41.84,-87.68
2014-15,RS,Jan,2,2015-01-14,Chicago Bulls,Washington Wizards,Home,L,Chicago,0,No Travel,1,America/Chicago,0,-,-,,41.84,-87.68,41.84,-87.68
2014-15,RS,Jan,3,2015-01-16,Chicago Bulls,Boston Celtics,Away,W,Boston,854,Chicago - Boston,1,America/New_York,1,~1.55 hours,East,,42.34,-71.02,41.84,-87.68
2014-15,RS,Jan,3,2015-01-17,Chicago Bulls,Atlanta Hawks,Home,L,Chicago,854,Boston - Chicago,0,America/Chicago,-1,~1.55 hours,West,,41.84,-87.68,42.34,-71.02
2014-15,RS,Jan,3,2015-01-19,Chicago Bulls,Cleveland Cavaliers,Away,L,Cleveland,311,Chicago - Cleveland,1,America/New_York,1,~55 minutes,East,,41.48,-81.68,41.84,-87.68
2014-15,RS,Jan,4,2015-01-22,Chicago Bulls,San Antonio Spurs,Home,W,Chicago,311,Cleveland - Chicago,2,America/Chicago,-1,~55 minutes,West,,41.84,-87.68,41.48,-81.68
2014-15,RS,Jan,4,2015-01-23,Chicago Bulls,Dallas Mavericks,Away,W,Dallas,800,Chicago - Dallas,0,America/Chicago,0,~1.45 hours,-,,32.79,-96.77,41.84,-87.68
2014-15,RS,Jan,4,2015-01-25,Chicago Bulls,Miami Heat,Home,L,Chicago,800,Dallas - Chicago,1,America/Chicago,0,~1.45 hours,-,,41.84,-87.68,32.79,-96.77
2014-15,RS,Jan,4,2015-01-27,Chicago Bulls,Golden State Warriors,Away,W,San Francisco,1855,Chicago - San Francisco,1,America/Los_Angeles,-2,~3.37 hours,West,,37.77,-122.45,41.84,-87.68
2014-15,RS,Jan,5,2015-01-29,Chicago Bulls,Los Angeles Lakers,Away,L,Los Angeles,339,San Francisco - Los Angeles,1,America/Los_Angeles,0,~55 minutes,-,,34.11,-118.41,37.77,-122.45
2014-15,RS,Jan,5,2015-01-30,Chicago Bulls,Phoenix Suns,Away,L,Phoenix,366,Los Angeles - Phoenix,0,America/Phoenix,1,~55 minutes,East,,33.54,-112.07,34.11,-118.41
2014-15,RS,Feb,5,2015-02-04,Chicago Bulls,Houston Rockets,Away,L,Houston,1014,Phoenix - Houston,4,America/Chicago,1,~1.84 hours,East,,29.77,-95.39,33.54,-112.07
2014-15,RS,Feb,6,2015-02-07,Chicago Bulls,New Orleans Pelicans,Away,W,New Orleans,328,Houston - New Orleans,2,America/Chicago,0,~55 minutes,-,,30.07,-89.93,29.77,-95.39
2014-15,RS,Feb,6,2015-02-08,Chicago Bulls,Orlando Magic,Away,W,Orlando,527,New Orleans - Orlando,0,America/New_York,1,~57.49 minutes,East,,28.5,-81.37,30.07,-89.93
2014-15,RS,Feb,6,2015-02-10,Chicago Bulls,Sacramento Kings,Home,W,Chicago,988,Orlando - Chicago,1,America/Chicago,-1,~1.8 hours,West,,41.84,-87.68,28.5,-81.37
2014-15,RS,Feb,7,2015-02-12,Chicago Bulls,Cleveland Cavaliers,Home,W,Chicago,0,No Travel,1,America/Chicago,0,-,-,,41.84,-87.68,41.84,-87.68
2014-15,RS,Feb,8,2015-02-20,Chicago Bulls,Detroit Pistons,Away,L,Detroit,238,Chicago - Detroit,7,America/Detroit,1,~55 minutes,East,,42.38,-83.1,41.84,-87.68
2014-15,RS,Feb,8,2015-02-21,Chicago Bulls,Phoenix Suns,Home,W,Chicago,238,Detroit - Chicago,0,America/Chicago,-1,~55 minutes,West,,41.84,-87.68,42.38,-83.1
2014-15,RS,Feb,8,2015-02-23,Chicago Bulls,Milwaukee Bucks,Home,W,Chicago,0,No Travel,1,America/Chicago,0,-,-,,41.84,-87.68,41.84,-87.68
2014-15,RS,Feb,8,2015-02-25,Chicago Bulls,Charlotte Hornets,Home,L,Chicago,0,No Travel,1,America/Chicago,0,-,-,,41.84,-87.68,41.84,-87.68
2014-15,RS,Feb,9,2015-02-27,Chicago Bulls,Minnesota Timberwolves,Home,W,Chicago,0,No Travel,1,America/Chicago,0,-,-,,41.84,-87.68,41.84,-87.68
2014-15,RS,Mar,9,2015-03-01,Chicago Bulls,Los Angeles Clippers,Home,L,Chicago,0,No Travel,1,America/Chicago,0,-,-,,41.84,-87.68,41.84,-87.68
2014-15,RS,Mar,9,2015-03-03,Chicago Bulls,Washington Wizards,Home,W,Chicago,0,No Travel,1,America/Chicago,0,-,-,,41.84,-87.68,41.84,-87.68
2014-15,RS,Mar,10,2015-03-05,Chicago Bulls,Oklahoma City Thunder,Home,W,Chicago,0,No Travel,1,America/Chicago,0,-,-,,41.84,-87.68,41.84,-87.68
2014-15,RS,Mar,10,2015-03-06,Chicago Bulls,Indiana Pacers,Away,L,Indianapolis,163,Chicago - Indianapolis,0,America/Indiana/Indianapolis,1,~55 minutes,East,,39.78,-86.15,41.84,-87.68
2014-15,RS,Mar,10,2015-03-08,Chicago Bulls,San Antonio Spurs,Away,L,San Antonio,1000,Indianapolis - San Antonio,1,America/Chicago,-1,~1.82 hours,West,,29.46,-98.51,39.78,-86.15
2014-15,RS,Mar,10,2015-03-09,Chicago Bulls,Memphis Grizzlies,Home,L,Chicago,1048,San Antonio - Chicago,0,America/Chicago,0,~1.91 hours,-,,41.84,-87.68,29.46,-98.51
2014-15,RS,Mar,10,2015-03-11,Chicago Bulls,Philadelphia 76ers,Away,W,Philadelphia,667,Chicago - Philadelphia,1,America/New_York,1,~1.21 hours,East,,40.01,-75.13,41.84,-87.68
2014-15,RS,Mar,11,2015-03-13,Chicago Bulls,Charlotte Hornets,Away,L,Charlotte,456,Philadelphia - Charlotte,1,America/New_York,0,~55 minutes,-,,35.2,-80.83,40.01,-75.13
2014-15,RS,Mar,11,2015-03-15,Chicago Bulls,Oklahoma City Thunder,Away,L,Oklahoma City,940,Charlotte - Oklahoma City,1,America/Chicago,-1,~1.71 hours,West,,35.47,-97.51,35.2,-80.83
2014-15,RS,Mar,11,2015-03-18,Chicago Bulls,Indiana Pacers,Home,W,Chicago,689,Oklahoma City - Chicago,2,America/Chicago,0,~1.25 hours,-,,41.84,-87.68,35.47,-97.51
2014-15,RS,Mar,12,2015-03-20,Chicago Bulls,Toronto Raptors,Home,W,Chicago,0,No Travel,1,America/Chicago,0,-,-,,41.84,-87.68,41.84,-87.68
2014-15,RS,Mar,12,2015-03-21,Chicago Bulls,Detroit Pistons,Away,L,Detroit,238,Chicago - Detroit,0,America/Detroit,1,~55 minutes,East,,42.38,-83.1,41.84,-87.68
2014-15,RS,Mar,12,2015-03-23,Chicago Bulls,Charlotte Hornets,Home,W,Chicago,238,Detroit - Chicago,1,America/Chicago,-1,~55 minutes,West,,41.84,-87.68,42.38,-83.1
2014-15,RS,Mar,12,2015-03-25,Chicago Bulls,Toronto Raptors,Away,W,Toronto,439,Chicago - Toronto,1,America/Toronto,1,~55 minutes,East,,43.65,-79.38,41.84,-87.68
2014-15,RS,Mar,13,2015-03-28,Chicago Bulls,New York Knicks,Home,W,Chicago,439,Toronto - Chicago,2,America/Chicago,-1,~55 minutes,West,,41.84,-87.68,43.65,-79.38
2014-15,RS,Apr,13,2015-04-01,Chicago Bulls,Milwaukee Bucks,Away,L,Milwaukee,86,Chicago - Milwaukee,3,America/Chicago,0,~55 minutes,-,,43.06,-87.97,41.84,-87.68
2014-15,RS,Apr,14,2015-04-03,Chicago Bulls,Detroit Pistons,Home,W,Chicago,86,Milwaukee - Chicago,1,America/Chicago,0,~55 minutes,-,,41.84,-87.68,43.06,-87.97
2014-15,RS,Apr,14,2015-04-05,Chicago Bulls,Cleveland Cavaliers,Away,L,Cleveland,311,Chicago - Cleveland,1,America/New_York,1,~55 minutes,East,,41.48,-81.68,41.84,-87.68
2014-15,RS,Apr,14,2015-04-08,Chicago Bulls,Orlando Magic,Away,L,Orlando,897,Cleveland - Orlando,2,America/New_York,0,~1.63 hours,-,,28.5,-81.37,41.48,-81.68
2014-15,RS,Apr,15,2015-04-09,Chicago Bulls,Miami Heat,Away,W,Miami,201,Orlando - Miami,0,America/New_York,0,~55 minutes,-,,25.78,-80.21,28.5,-81.37
2014-15,RS,Apr,15,2015-04-11,Chicago Bulls,Philadelphia 76ers,Home,W,Chicago,1189,Miami - Chicago,1,America/Chicago,-1,~2.16 hours,West,,41.84,-87.68,25.78,-80.21
2014-15,RS,Apr,15,2015-04-13,Chicago Bulls,Brooklyn Nets,Away,W,New York,718,Chicago - New York,1,America/New_York,1,~1.31 hours,East,,40.67,-73.94,41.84,-87.68
2014-15,RS,Apr,15,2015-04-15,Chicago Bulls,Atlanta Hawks,Home,W,Chicago,718,New York - Chicago,1,America/Chicago,-1,~1.31 hours,West,,41.84,-87.68,40.67,-73.94
2014-15,PO,Apr,16,2015-04-18,Chicago Bulls,Milwaukee Bucks,Home,W,Chicago,0,No Travel,2,America/Chicago,0,-,-,,41.84,-87.68,41.84,-87.68
2014-15,PO,Apr,16,2015-04-20,Chicago Bulls,Milwaukee Bucks,Home,W,Chicago,0,No Travel,1,America/Chicago,0,-,-,,41.84,-87.68,41.84,-87.68
2014-15,PO,Apr,17,2015-04-23,Chicago Bulls,Milwaukee Bucks,Away,W,Milwaukee,86,Chicago - Milwaukee,2,America/Chicago,0,~55 minutes,-,,43.06,-87.97,41.84,-87.68
2014-15,PO,Apr,17,2015-04-25,Chicago Bulls,Milwaukee Bucks,Away,L,Milwaukee,0,No Travel,1,America/Chicago,0,-,-,,43.06,-87.97,43.06,-87.97
2014-15,PO,Apr,17,2015-04-27,Chicago Bulls,Milwaukee Bucks,Home,L,Chicago,86,Milwaukee - Chicago,1,America/Chicago,0,~55 minutes,-,,41.84,-87.68,43.06,-87.97
2014-15,PO,Apr,18,2015-04-30,Chicago Bulls,Milwaukee Bucks,Away,W,Milwaukee,86,Chicago - Milwaukee,2,America/Chicago,0,~55 minutes,-,,43.06,-87.97,41.84,-87.68
2014-15,PO,May,18,2015-05-04,Chicago Bulls,Cleveland Cavaliers,Away,W,Cleveland,340,Milwaukee - Cleveland,3,America/New_York,1,~55 minutes,East,,41.48,-81.68,43.06,-87.97
2014-15,PO,May,18,2015-05-06,Chicago Bulls,Cleveland Cavaliers,Away,L,Cleveland,0,No Travel,1,America/New_York,0,-,-,,41.48,-81.68,41.48,-81.68
2014-15,PO,May,19,2015-05-08,Chicago Bulls,Cleveland Cavaliers,Home,W,Chicago,311,Cleveland - Chicago,1,America/Chicago,-1,~55 minutes,West,,41.84,-87.68,41.48,-81.68
2014-15,PO,May,19,2015-05-10,Chicago Bulls,Cleveland Cavaliers,Home,L,Chicago,0,No Travel,1,America/Chicago,0,-,-,,41.84,-87.68,41.84,-87.68
2014-15,PO,May,19,2015-05-12,Chicago Bulls,Cleveland Cavaliers,Away,L,Cleveland,311,Chicago - Cleveland,1,America/New_York,1,~55 minutes,East,,41.48,-81.68,41.84,-87.68
2014-15,PO,May,20,2015-05-14,Chicago Bulls,Cleveland Cavaliers,Home,L,Chicago,311,Cleveland - NA,1,America/Chicago,-1,~55 minutes,West,,41.84,-87.68,41.48,-81.68
2014-15,RS,Oct,44,2014-10-30,Cleveland Cavaliers,New York Knicks,Home,L,Cleveland,0,No Travel,15,America/New_York,0,-,-,,41.48,-81.68,41.48,-81.68
2014-15,RS,Oct,44,2014-10-31,Cleveland Cavaliers,Chicago Bulls,Away,W,Chicago,311,Cleveland - Chicago,0,America/Chicago,-1,~55 minutes,West,,41.84,-87.68,41.48,-81.68
2014-15,RS,Nov,44,2014-11-04,Cleveland Cavaliers,Portland Trail Blazers,Away,L,Portland,1753,Chicago - Portland,3,America/Los_Angeles,-2,~3.19 hours,West,,45.54,-122.66,41.84,-87.68
2014-15,RS,Nov,45,2014-11-05,Cleveland Cavaliers,Utah Jazz,Away,L,Salt Lake City,632,Portland - Salt Lake City,0,America/Denver,1,~1.15 hours,East,,40.78,-111.93,45.54,-122.66
2014-15,RS,Nov,45,2014-11-07,Cleveland Cavaliers,Denver Nuggets,Away,W,Denver,379,Salt Lake City - Denver,1,America/Denver,0,~55 minutes,-,,39.77,-104.87,40.78,-111.93
2014-15,RS,Nov,45,2014-11-10,Cleveland Cavaliers,New Orleans Pelicans,Home,W,Cleveland,1219,Denver - Cleveland,2,America/New_York,2,~2.22 hours,East,,41.48,-81.68,39.77,-104.87
2014-15,RS,Nov,46,2014-11-14,Cleveland Cavaliers,Boston Celtics,Away,W,Boston,551,Cleveland - Boston,3,America/New_York,0,~1 hours,-,,42.34,-71.02,41.48,-81.68
2014-15,RS,Nov,46,2014-11-15,Cleveland Cavaliers,Atlanta Hawks,Home,W,Cleveland,551,Boston - Cleveland,0,America/New_York,0,~1 hours,-,,41.48,-81.68,42.34,-71.02
2014-15,RS,Nov,46,2014-11-17,Cleveland Cavaliers,Denver Nuggets,Home,L,Cleveland,0,No Travel,1,America/New_York,0,-,-,,41.48,-81.68,41.48,-81.68
2014-15,RS,Nov,47,2014-11-19,Cleveland Cavaliers,San Antonio Spurs,Home,L,Cleveland,0,No Travel,1,America/New_York,0,-,-,,41.48,-81.68,41.48,-81.68
2014-15,RS,Nov,47,2014-11-21,Cleveland Cavaliers,Washington Wizards,Away,L,Washington,303,Cleveland - Washington,1,America/New_York,0,~55 minutes,-,,38.91,-77.02,41.48,-81.68
2014-15,RS,Nov,47,2014-11-22,Cleveland Cavaliers,Toronto Raptors,Home,L,Cleveland,303,Washington - Cleveland,0,America/New_York,0,~55 minutes,-,,41.48,-81.68,38.91,-77.02
2014-15,RS,Nov,47,2014-11-24,Cleveland Cavaliers,Orlando Magic,Home,W,Cleveland,0,No Travel,1,America/New_York,0,-,-,,41.48,-81.68,41.48,-81.68
2014-15,RS,Nov,48,2014-11-26,Cleveland Cavaliers,Washington Wizards,Home,W,Cleveland,0,No Travel,1,America/New_York,0,-,-,,41.48,-81.68,41.48,-81.68
2014-15,RS,Nov,48,2014-11-29,Cleveland Cavaliers,Indiana Pacers,Home,W,Cleveland,0,No Travel,2,America/New_York,0,-,-,,41.48,-81.68,41.48,-81.68
2014-15,RS,Dec,48,2014-12-02,Cleveland Cavaliers,Milwaukee Bucks,Home,W,Cleveland,0,No Travel,2,America/New_York,0,-,-,,41.48,-81.68,41.48,-81.68
2014-15,RS,Dec,49,2014-12-04,Cleveland Cavaliers,New York Knicks,Away,W,New York,407,Cleveland - New York,1,America/New_York,0,~55 minutes,-,,40.67,-73.94,41.48,-81.68
2014-15,RS,Dec,49,2014-12-05,Cleveland Cavaliers,Toronto Raptors,Away,W,Toronto,346,New York - Toronto,0,America/Toronto,0,~55 minutes,-,,43.65,-79.38,40.67,-73.94
2014-15,RS,Dec,49,2014-12-08,Cleveland Cavaliers,Brooklyn Nets,Away,W,New York,346,Toronto - New York,2,America/New_York,0,~55 minutes,-,,40.67,-73.94,43.65,-79.38
2014-15,RS,Dec,49,2014-12-09,Cleveland Cavaliers,Toronto Raptors,Home,W,Cleveland,407,New York - Cleveland,0,America/New_York,0,~55 minutes,-,,41.48,-81.68,40.67,-73.94
2014-15,RS,Dec,50,2014-12-11,Cleveland Cavaliers,Oklahoma City Thunder,Away,L,Oklahoma City,950,Cleveland - Oklahoma City,1,America/Chicago,-1,~1.73 hours,West,,35.47,-97.51,41.48,-81.68
2014-15,RS,Dec,50,2014-12-12,Cleveland Cavaliers,New Orleans Pelicans,Away,L,New Orleans,577,Oklahoma City - New Orleans,0,America/Chicago,0,~1.05 hours,-,,30.07,-89.93,35.47,-97.51
2014-15,RS,Dec,50,2014-12-15,Cleveland Cavaliers,Charlotte Hornets,Home,W,Cleveland,913,New Orleans - Cleveland,2,America/New_York,1,~1.66 hours,East,,41.48,-81.68,30.07,-89.93
2014-15,RS,Dec,51,2014-12-17,Cleveland Cavaliers,Atlanta Hawks,Home,L,Cleveland,0,No Travel,1,America/New_York,0,-,-,,41.48,-81.68,41.48,-81.68
2014-15,RS,Dec,51,2014-12-19,Cleveland Cavaliers,Brooklyn Nets,Home,W,Cleveland,0,No Travel,1,America/New_York,0,-,-,,41.48,-81.68,41.48,-81.68
2014-15,RS,Dec,51,2014-12-21,Cleveland Cavaliers,Memphis Grizzlies,Home,W,Cleveland,0,No Travel,1,America/New_York,0,-,-,,41.48,-81.68,41.48,-81.68
2014-15,RS,Dec,51,2014-12-23,Cleveland Cavaliers,Minnesota Timberwolves,Home,W,Cleveland,0,No Travel,1,America/New_York,0,-,-,,41.48,-81.68,41.48,-81.68
2014-15,RS,Dec,52,2014-12-25,Cleveland Cavaliers,Miami Heat,Away,L,Miami,1089,Cleveland - Miami,1,America/New_York,0,~1.98 hours,-,,25.78,-80.21,41.48,-81.68
2014-15,RS,Dec,52,2014-12-26,Cleveland Cavaliers,Orlando Magic,Away,W,Orlando,201,Miami - Orlando,0,America/New_York,0,~55 minutes,-,,28.5,-81.37,25.78,-80.21
2014-15,RS,Dec,52,2014-12-28,Cleveland Cavaliers,Detroit Pistons,Home,L,Cleveland,897,Orlando - Cleveland,1,America/New_York,0,~1.63 hours,-,,41.48,-81.68,28.5,-81.37
2014-15,RS,Dec,52,2014-12-30,Cleveland Cavaliers,Atlanta Hawks,Away,L,Atlanta,554,Cleveland - Atlanta,1,America/New_York,0,~1.01 hours,-,,33.76,-84.42,41.48,-81.68
2014-15,RS,Dec,53,2014-12-31,Cleveland Cavaliers,Milwaukee Bucks,Home,L,Cleveland,554,Atlanta - Cleveland,0,America/New_York,0,~1.01 hours,-,,41.48,-81.68,33.76,-84.42
2014-15,RS,Jan,1,2015-01-02,Cleveland Cavaliers,Charlotte Hornets,Away,W,Charlotte,437,Cleveland - Charlotte,1,America/New_York,0,~55 minutes,-,,35.2,-80.83,41.48,-81.68
2014-15,RS,Jan,1,2015-01-04,Cleveland Cavaliers,Dallas Mavericks,Home,L,Cleveland,437,Charlotte - Cleveland,1,America/New_York,0,~55 minutes,-,,41.48,-81.68,35.2,-80.83
2014-15,RS,Jan,1,2015-01-05,Cleveland Cavaliers,Philadelphia 76ers,Away,L,Philadelphia,358,Cleveland - Philadelphia,0,America/New_York,0,~55 minutes,-,,40.01,-75.13,41.48,-81.68
2014-15,RS,Jan,1,2015-01-07,Cleveland Cavaliers,Houston Rockets,Home,L,Cleveland,358,Philadelphia - Cleveland,1,America/New_York,0,~55 minutes,-,,41.48,-81.68,40.01,-75.13
2014-15,RS,Jan,2,2015-01-09,Cleveland Cavaliers,Golden State Warriors,Away,L,San Francisco,2166,Cleveland - San Francisco,1,America/Los_Angeles,-3,~3.94 hours,West,,37.77,-122.45,41.48,-81.68
2014-15,RS,Jan,2,2015-01-11,Cleveland Cavaliers,Sacramento Kings,Away,L,Sacramento,77,San Francisco - Sacramento,1,America/Los_Angeles,0,~55 minutes,-,,38.57,-121.47,37.77,-122.45
2014-15,RS,Jan,2,2015-01-13,Cleveland Cavaliers,Phoenix Suns,Away,L,Phoenix,629,Sacramento - Phoenix,1,America/Phoenix,1,~1.14 hours,East,,33.54,-112.07,38.57,-121.47
2014-15,RS,Jan,3,2015-01-15,Cleveland Cavaliers,Los Angeles Lakers,Away,W,Los Angeles,366,Phoenix - Los Angeles,1,America/Los_Angeles,-1,~55 minutes,West,,34.11,-118.41,33.54,-112.07
2014-15,RS,Jan,3,2015-01-16,Cleveland Cavaliers,Los Angeles Clippers,Away,W,Los Angeles,0,No Travel,0,America/Los_Angeles,0,-,-,,34.11,-118.41,34.11,-118.41
2014-15,RS,Jan,3,2015-01-19,Cleveland Cavaliers,Chicago Bulls,Home,W,Cleveland,2054,Los Angeles - Cleveland,2,America/New_York,3,~3.73 hours,East,,41.48,-81.68,34.11,-118.41
2014-15,RS,Jan,3,2015-01-21,Cleveland Cavaliers,Utah Jazz,Home,W,Cleveland,0,No Travel,1,America/New_York,0,-,-,,41.48,-81.68,41.48,-81.68
2014-15,RS,Jan,4,2015-01-23,Cleveland Cavaliers,Charlotte Hornets,Home,W,Cleveland,0,No Travel,1,America/New_York,0,-,-,,41.48,-81.68,41.48,-81.68
2014-15,RS,Jan,4,2015-01-25,Cleveland Cavaliers,Oklahoma City Thunder,Home,W,Cleveland,0,No Travel,1,America/New_York,0,-,-,,41.48,-81.68,41.48,-81.68
2014-15,RS,Jan,4,2015-01-27,Cleveland Cavaliers,Detroit Pistons,Away,W,Detroit,96,Cleveland - Detroit,1,America/Detroit,0,~55 minutes,-,,42.38,-83.1,41.48,-81.68
