"","team","w","l","w_lpercent","gb","pw","pl","ps_g","pa_g","date"
"1","Cleveland Cavaliers*",1,0,1,"—",1,0,102,99,"2017-10-17"
"2","Boston Celtics*",0,1,0,"1.0",0,1,99,102,"2017-10-17"
"3","Houston Rockets*",1,0,1,"—",1,0,122,121,"2017-10-17"
"4","Golden State Warriors*",0,1,0,"1.0",0,1,121,122,"2017-10-17"
"5","Cleveland Cavaliers*",1,0,1,"—",1,0,102,99,"2017-10-18"
"6","Milwaukee Bucks*",1,0,1,"—",1,0,108,100,"2017-10-18"
"7","Indiana Pacers*",1,0,1,"—",1,0,140,131,"2017-10-18"
"8","Washington Wizards*",1,0,1,"—",1,0,120,115,"2017-10-18"
"9","Detroit Pistons",1,0,1,"—",1,0,102,90,"2017-10-18"
"10","Orlando Magic",1,0,1,"—",1,0,116,109,"2017-10-18"
"11","Atlanta Hawks",1,0,1,"—",1,0,117,111,"2017-10-18"
"12","Miami Heat*",0,1,0,"1.0",0,1,109,116,"2017-10-18"
"13","Philadelphia 76ers*",0,1,0,"1.0",0,1,115,120,"2017-10-18"
"14","Charlotte Hornets",0,1,0,"1.0",0,1,90,102,"2017-10-18"
"15","Brooklyn Nets",0,1,0,"1.0",0,1,131,140,"2017-10-18"
"16","Boston Celtics*",0,2,0,"1.5",1,1,99.5,105,"2017-10-18"
"17","Houston Rockets*",2,0,1,"—",1,1,113.5,110.5,"2017-10-18"
"18","Portland Trail Blazers*",1,0,1,"0.5",1,0,124,76,"2017-10-18"
"19","San Antonio Spurs*",1,0,1,"0.5",1,0,107,99,"2017-10-18"
"20","Utah Jazz*",1,0,1,"0.5",1,0,106,96,"2017-10-18"
"21","Memphis Grizzlies",1,0,1,"0.5",1,0,103,91,"2017-10-18"
"22","Golden State Warriors*",0,1,0,"1.5",0,1,121,122,"2017-10-18"
"23","New Orleans Pelicans*",0,1,0,"1.5",0,1,91,103,"2017-10-18"
"24","Minnesota Timberwolves*",0,1,0,"1.5",0,1,99,107,"2017-10-18"
"25","Dallas Mavericks",0,1,0,"1.5",0,1,111,117,"2017-10-18"
"26","Denver Nuggets",0,1,0,"1.5",0,1,96,106,"2017-10-18"
"27","Phoenix Suns",0,1,0,"1.5",0,1,76,124,"2017-10-18"
"28","Sacramento Kings",0,1,0,"1.5",0,1,100,105,"2017-10-18"
"29","Cleveland Cavaliers*",1,0,1,"—",1,0,102,99,"2017-10-19"
"30","Toronto Raptors*",1,0,1,"—",1,0,117,100,"2017-10-19"
"31","Milwaukee Bucks*",1,0,1,"—",1,0,108,100,"2017-10-19"
"32","Indiana Pacers*",1,0,1,"—",1,0,140,131,"2017-10-19"
"33","Washington Wizards*",1,0,1,"—",1,0,120,115,"2017-10-19"
"34","Detroit Pistons",1,0,1,"—",1,0,102,90,"2017-10-19"
"35","Orlando Magic",1,0,1,"—",1,0,116,109,"2017-10-19"
"36","Atlanta Hawks",1,0,1,"—",1,0,117,111,"2017-10-19"
"37","Miami Heat*",0,1,0,"1.0",0,1,109,116,"2017-10-19"
"38","Philadelphia 76ers*",0,1,0,"1.0",0,1,115,120,"2017-10-19"
"39","New York Knicks",0,1,0,"1.0",0,1,84,105,"2017-10-19"
"40","Chicago Bulls",0,1,0,"1.0",0,1,100,117,"2017-10-19"
"41","Charlotte Hornets",0,1,0,"1.0",0,1,90,102,"2017-10-19"
"42","Brooklyn Nets",0,1,0,"1.0",0,1,131,140,"2017-10-19"
"43","Boston Celtics*",0,2,0,"1.5",1,1,99.5,105,"2017-10-19"
"44","Houston Rockets*",2,0,1,"—",1,1,113.5,110.5,"2017-10-19"
"45","Portland Trail Blazers*",1,0,1,"0.5",1,0,124,76,"2017-10-19"
"46","San Antonio Spurs*",1,0,1,"0.5",1,0,107,99,"2017-10-19"
"47","Utah Jazz*",1,0,1,"0.5",1,0,106,96,"2017-10-19"
"48","Oklahoma City Thunder*",1,0,1,"0.5",1,0,105,84,"2017-10-19"
"49","Los Angeles Clippers",1,0,1,"0.5",1,0,108,92,"2017-10-19"
"50","Memphis Grizzlies",1,0,1,"0.5",1,0,103,91,"2017-10-19"
"51","Golden State Warriors*",0,1,0,"1.5",0,1,121,122,"2017-10-19"
"52","New Orleans Pelicans*",0,1,0,"1.5",0,1,91,103,"2017-10-19"
"53","Minnesota Timberwolves*",0,1,0,"1.5",0,1,99,107,"2017-10-19"
"54","Dallas Mavericks",0,1,0,"1.5",0,1,111,117,"2017-10-19"
"55","Denver Nuggets",0,1,0,"1.5",0,1,96,106,"2017-10-19"
"56","Phoenix Suns",0,1,0,"1.5",0,1,76,124,"2017-10-19"
"57","Sacramento Kings",0,1,0,"1.5",0,1,100,105,"2017-10-19"
"58","Los Angeles Lakers",0,1,0,"1.5",0,1,92,108,"2017-10-19"
"59","Cleveland Cavaliers*",2,0,1,"—",2,0,109,98,"2017-10-20"
"60","Washington Wizards*",2,0,1,"—",1,1,117.5,113,"2017-10-20"
"61","Toronto Raptors*",1,0,1,"0.5",1,0,117,100,"2017-10-20"
"62","Milwaukee Bucks*",1,1,0.5,"1.0",1,1,102.5,108,"2017-10-20"
"63","Indiana Pacers*",1,1,0.5,"1.0",1,1,118,122.5,"2017-10-20"
"64","Detroit Pistons",1,1,0.5,"1.0",1,1,106.5,102.5,"2017-10-20"
"65","Orlando Magic",1,1,0.5,"1.0",1,1,118.5,117.5,"2017-10-20"
"66","Atlanta Hawks",1,1,0.5,"1.0",1,1,104,110,"2017-10-20"
"67","Charlotte Hornets",1,1,0.5,"1.0",1,1,99.5,96.5,"2017-10-20"
"68","Brooklyn Nets",1,1,0.5,"1.0",1,1,128.5,130.5,"2017-10-20"
"69","Boston Celtics*",1,2,0.333,"1.5",1,2,100.3,100.7,"2017-10-20"
"70","Miami Heat*",0,1,0,"1.5",0,1,109,116,"2017-10-20"
"71","New York Knicks",0,1,0,"1.5",0,1,84,105,"2017-10-20"
"72","Chicago Bulls",0,1,0,"1.5",0,1,100,117,"2017-10-20"
"73","Philadelphia 76ers*",0,2,0,"2.0",1,1,103.5,111,"2017-10-20"
"74","Portland Trail Blazers*",2,0,1,"—",2,0,119,86,"2017-10-20"
"75","Houston Rockets*",2,0,1,"—",1,1,113.5,110.5,"2017-10-20"
"76","San Antonio Spurs*",1,0,1,"0.5",1,0,107,99,"2017-10-20"
"77","Oklahoma City Thunder*",1,0,1,"0.5",1,0,105,84,"2017-10-20"
"78","Los Angeles Clippers",1,0,1,"0.5",1,0,108,92,"2017-10-20"
"79","Memphis Grizzlies",1,0,1,"0.5",1,0,103,91,"2017-10-20"
"80","Golden State Warriors*",1,1,0.5,"1.0",1,1,124.5,121,"2017-10-20"
"81","Minnesota Timberwolves*",1,1,0.5,"1.0",1,1,99.5,102,"2017-10-20"
"82","Utah Jazz*",1,1,0.5,"1.0",1,1,101.5,98,"2017-10-20"
"83","Sacramento Kings",1,1,0.5,"1.0",1,1,96.5,96.5,"2017-10-20"
"84","Los Angeles Lakers",1,1,0.5,"1.0",1,1,112,119,"2017-10-20"
"85","Denver Nuggets",0,1,0,"1.5",0,1,96,106,"2017-10-20"
"86","New Orleans Pelicans*",0,2,0,"2.0",0,2,105.5,115.5,"2017-10-20"
"87","Dallas Mavericks",0,2,0,"2.0",1,1,99.5,105,"2017-10-20"
"88","Phoenix Suns",0,2,0,"2.0",0,2,103,128,"2017-10-20"
"89","Toronto Raptors*",2,0,1,"—",2,0,122.5,97,"2017-10-21"
"90","Washington Wizards*",2,0,1,"—",1,1,117.5,113,"2017-10-21"
"91","Cleveland Cavaliers*",2,1,0.667,"0.5",2,1,103.7,103.3,"2017-10-21"
"92","Milwaukee Bucks*",2,1,0.667,"0.5",1,2,106,108.7,"2017-10-21"
"93","Detroit Pistons",2,1,0.667,"0.5",2,1,108,104,"2017-10-21"
"94","Orlando Magic",2,1,0.667,"0.5",2,1,117,109.3,"2017-10-21"
"95","Miami Heat*",1,1,0.5,"1.0",1,1,110.5,112,"2017-10-21"
"96","Atlanta Hawks",1,1,0.5,"1.0",1,1,104,110,"2017-10-21"
"97","Charlotte Hornets",1,1,0.5,"1.0",1,1,99.5,96.5,"2017-10-21"
"98","Brooklyn Nets",1,1,0.5,"1.0",1,1,128.5,130.5,"2017-10-21"
"99","Boston Celtics*",1,2,0.333,"1.5",1,2,100.3,100.7,"2017-10-21"
"100","Indiana Pacers*",1,2,0.333,"1.5",1,2,114.7,119,"2017-10-21"
"101","New York Knicks",0,2,0,"2.0",0,2,95.5,108,"2017-10-21"
"102","Chicago Bulls",0,2,0,"2.0",0,2,88.5,102,"2017-10-21"
"103","Philadelphia 76ers*",0,3,0,"2.5",0,3,100.3,116.7,"2017-10-21"
"104","Houston Rockets*",3,0,1,"—",2,1,111.3,104,"2017-10-21"
"105","San Antonio Spurs*",2,0,1,"0.5",2,0,97,88,"2017-10-21"
"106","Los Angeles Clippers",2,0,1,"0.5",2,0,119,90,"2017-10-21"
"107","Memphis Grizzlies",2,0,1,"0.5",2,0,107,96,"2017-10-21"
"108","Portland Trail Blazers*",2,1,0.667,"1.0",3,0,116,95,"2017-10-21"
"109","Utah Jazz*",2,1,0.667,"1.0",2,1,99.7,94.3,"2017-10-21"
"110","Minnesota Timberwolves*",1,1,0.5,"1.5",1,1,99.5,102,"2017-10-21"
"111","Oklahoma City Thunder*",1,1,0.5,"1.5",1,1,96,90,"2017-10-21"
"112","Denver Nuggets",1,1,0.5,"1.5",1,1,96,92.5,"2017-10-21"
"113","Los Angeles Lakers",1,1,0.5,"1.5",1,1,112,119,"2017-10-21"
"114","Golden State Warriors*",1,2,0.333,"2.0",1,2,116.7,117.7,"2017-10-21"
"115","Sacramento Kings",1,2,0.333,"2.0",1,2,90.7,96.3,"2017-10-21"
"116","New Orleans Pelicans*",0,2,0,"2.5",0,2,105.5,115.5,"2017-10-21"
"117","Dallas Mavericks",0,3,0,"3.0",1,2,96.7,105.7,"2017-10-21"
"118","Phoenix Suns",0,3,0,"3.0",0,3,98,128.7,"2017-10-21"
"119","Toronto Raptors*",2,0,1,"—",2,0,122.5,97,"2017-10-22"
"120","Washington Wizards*",2,0,1,"—",1,1,117.5,113,"2017-10-22"
"121","Cleveland Cavaliers*",2,1,0.667,"0.5",2,1,103.7,103.3,"2017-10-22"
"122","Milwaukee Bucks*",2,1,0.667,"0.5",1,2,106,108.7,"2017-10-22"
"123","Detroit Pistons",2,1,0.667,"0.5",2,1,108,104,"2017-10-22"
"124","Orlando Magic",2,1,0.667,"0.5",2,1,117,109.3,"2017-10-22"
"125","Brooklyn Nets",2,1,0.667,"0.5",2,1,124.3,121.7,"2017-10-22"
"126","Miami Heat*",1,1,0.5,"1.0",1,1,110.5,112,"2017-10-22"
"127","Charlotte Hornets",1,1,0.5,"1.0",1,1,99.5,96.5,"2017-10-22"
"128","Boston Celtics*",1,2,0.333,"1.5",1,2,100.3,100.7,"2017-10-22"
"129","Indiana Pacers*",1,2,0.333,"1.5",1,2,114.7,119,"2017-10-22"
"130","Atlanta Hawks",1,2,0.333,"1.5",1,2,104,112,"2017-10-22"
"131","New York Knicks",0,2,0,"2.0",0,2,95.5,108,"2017-10-22"
"132","Chicago Bulls",0,2,0,"2.0",0,2,88.5,102,"2017-10-22"
"133","Philadelphia 76ers*",0,3,0,"2.5",0,3,100.3,116.7,"2017-10-22"
"134","Houston Rockets*",3,0,1,"—",2,1,111.3,104,"2017-10-22"
"135","San Antonio Spurs*",2,0,1,"0.5",2,0,97,88,"2017-10-22"
"136","Los Angeles Clippers",2,0,1,"0.5",2,0,119,90,"2017-10-22"
"137","Memphis Grizzlies",2,0,1,"0.5",2,0,107,96,"2017-10-22"
"138","Portland Trail Blazers*",2,1,0.667,"1.0",3,0,116,95,"2017-10-22"
"139","Minnesota Timberwolves*",2,1,0.667,"1.0",1,2,104.7,105.7,"2017-10-22"
"140","Utah Jazz*",2,1,0.667,"1.0",2,1,99.7,94.3,"2017-10-22"
"141","Denver Nuggets",1,1,0.5,"1.5",1,1,96,92.5,"2017-10-22"
"142","Golden State Warriors*",1,2,0.333,"2.0",1,2,116.7,117.7,"2017-10-22"
"143","New Orleans Pelicans*",1,2,0.333,"2.0",1,2,110,114.3,"2017-10-22"
"144","Oklahoma City Thunder*",1,2,0.333,"2.0",2,1,101.7,98.3,"2017-10-22"
"145","Sacramento Kings",1,2,0.333,"2.0",1,2,90.7,96.3,"2017-10-22"
"146","Los Angeles Lakers",1,2,0.333,"2.0",1,2,112,119,"2017-10-22"
"147","Dallas Mavericks",0,3,0,"3.0",1,2,96.7,105.7,"2017-10-22"
"148","Phoenix Suns",0,3,0,"3.0",0,3,98,128.7,"2017-10-22"
"149","Washington Wizards*",3,0,1,"—",2,1,114.7,110,"2017-10-23"
"150","Milwaukee Bucks*",3,1,0.75,"0.5",2,2,105.3,105,"2017-10-23"
"151","Cleveland Cavaliers*",2,1,0.667,"1.0",2,1,103.7,103.3,"2017-10-23"
"152","Miami Heat*",2,1,0.667,"1.0",2,1,108.3,105.7,"2017-10-23"
"153","Toronto Raptors*",2,1,0.667,"1.0",3,0,114,98.3,"2017-10-23"
"154","Orlando Magic",2,1,0.667,"1.0",2,1,117,109.3,"2017-10-23"
"155","Brooklyn Nets",2,1,0.667,"1.0",2,1,124.3,121.7,"2017-10-23"
"156","Detroit Pistons",2,2,0.5,"1.5",2,2,102.5,102.3,"2017-10-23"
"157","Boston Celtics*",1,2,0.333,"2.0",1,2,100.3,100.7,"2017-10-23"
"158","Indiana Pacers*",1,2,0.333,"2.0",1,2,114.7,119,"2017-10-23"
"159","Charlotte Hornets",1,2,0.333,"2.0",1,2,97.7,98.7,"2017-10-23"
"160","Philadelphia 76ers*",1,3,0.25,"2.5",1,3,99.5,109,"2017-10-23"
"161","Atlanta Hawks",1,3,0.25,"2.5",1,3,101.3,110,"2017-10-23"
"162","New York Knicks",0,2,0,"2.5",0,2,95.5,108,"2017-10-23"
"163","Chicago Bulls",0,2,0,"2.5",0,2,88.5,102,"2017-10-23"
"164","San Antonio Spurs*",3,0,1,"—",2,1,98.3,91,"2017-10-23"
"165","Memphis Grizzlies",3,0,1,"—",2,1,104,94,"2017-10-23"
"166","Los Angeles Clippers",2,0,1,"0.5",2,0,119,90,"2017-10-23"
"167","Houston Rockets*",3,1,0.75,"0.5",2,2,106,102.5,"2017-10-23"
"168","Portland Trail Blazers*",2,1,0.667,"1.0",3,0,116,95,"2017-10-23"
"169","Minnesota Timberwolves*",2,1,0.667,"1.0",1,2,104.7,105.7,"2017-10-23"
"170","Utah Jazz*",2,1,0.667,"1.0",2,1,99.7,94.3,"2017-10-23"
"171","Golden State Warriors*",2,2,0.5,"1.5",3,1,120.8,114,"2017-10-23"
"172","New Orleans Pelicans*",1,2,0.333,"2.0",1,2,110,114.3,"2017-10-23"
"173","Oklahoma City Thunder*",1,2,0.333,"2.0",2,1,101.7,98.3,"2017-10-23"
"174","Denver Nuggets",1,2,0.333,"2.0",2,1,98.7,98,"2017-10-23"
"175","Los Angeles Lakers",1,2,0.333,"2.0",1,2,112,119,"2017-10-23"
"176","Phoenix Suns",1,3,0.25,"2.5",0,4,102.8,125.3,"2017-10-23"
"177","Sacramento Kings",1,3,0.25,"2.5",1,3,96.8,101.5,"2017-10-23"
"178","Dallas Mavericks",0,4,0,"3.5",1,3,98.3,112.5,"2017-10-23"
"179","Washington Wizards*",3,0,1,"—",2,1,114.7,110,"2017-10-24"
"180","Cleveland Cavaliers*",3,1,0.75,"0.5",2,2,107.5,105.5,"2017-10-24"
"181","Milwaukee Bucks*",3,1,0.75,"0.5",2,2,105.3,105,"2017-10-24"
"182","Orlando Magic",3,1,0.75,"0.5",3,1,119,112.3,"2017-10-24"
"183","Miami Heat*",2,1,0.667,"1.0",2,1,108.3,105.7,"2017-10-24"
"184","Toronto Raptors*",2,1,0.667,"1.0",3,0,114,98.3,"2017-10-24"
"185","Boston Celtics*",2,2,0.5,"1.5",3,1,102.8,97.8,"2017-10-24"
"186","Indiana Pacers*",2,2,0.5,"1.5",2,2,118.5,116,"2017-10-24"
"187","Detroit Pistons",2,2,0.5,"1.5",2,2,102.5,102.3,"2017-10-24"
"188","Brooklyn Nets",2,2,0.5,"1.5",2,2,123.5,122.5,"2017-10-24"
"189","Charlotte Hornets",1,2,0.333,"2.0",1,2,97.7,98.7,"2017-10-24"
"190","Philadelphia 76ers*",1,3,0.25,"2.5",1,3,99.5,109,"2017-10-24"
"191","Atlanta Hawks",1,3,0.25,"2.5",1,3,101.3,110,"2017-10-24"
"192","New York Knicks",0,3,0,"3.0",0,3,93.3,108.7,"2017-10-24"
