"","team","w","l","w_lpercent","gb","pw","pl","ps_g","pa_g","date"
"1","Cleveland Cavaliers*",1,0,1,"—",1,0,117,88,"2016-10-25"
"2","New York Knicks",0,1,0,"1.0",0,1,88,117,"2016-10-25"
"3","San Antonio Spurs*",1,0,1,"—",1,0,129,100,"2016-10-25"
"4","Portland Trail Blazers*",1,0,1,"—",1,0,113,104,"2016-10-25"
"5","Golden State Warriors*",0,1,0,"1.0",0,1,100,129,"2016-10-25"
"6","Utah Jazz*",0,1,0,"1.0",0,1,104,113,"2016-10-25"
"7","Cleveland Cavaliers*",1,0,1,"—",1,0,117,88,"2016-10-26"
"8","Boston Celtics*",1,0,1,"—",1,0,122,117,"2016-10-26"
"9","Indiana Pacers*",1,0,1,"—",1,0,130,121,"2016-10-26"
"10","Toronto Raptors*",1,0,1,"—",1,0,109,91,"2016-10-26"
"11","Charlotte Hornets",1,0,1,"—",1,0,107,96,"2016-10-26"
"12","Miami Heat",1,0,1,"—",1,0,108,96,"2016-10-26"
"13","Milwaukee Bucks*",0,1,0,"1.0",0,1,96,107,"2016-10-26"
"14","Detroit Pistons",0,1,0,"1.0",0,1,91,109,"2016-10-26"
"15","New York Knicks",0,1,0,"1.0",0,1,88,117,"2016-10-26"
"16","Brooklyn Nets",0,1,0,"1.0",0,1,117,122,"2016-10-26"
"17","Orlando Magic",0,1,0,"1.0",0,1,96,108,"2016-10-26"
"18","Philadelphia 76ers",0,1,0,"1.0",0,1,97,103,"2016-10-26"
"19","San Antonio Spurs*",1,0,1,"—",1,0,129,100,"2016-10-26"
"20","Portland Trail Blazers*",1,0,1,"—",1,0,113,104,"2016-10-26"
"21","Memphis Grizzlies*",1,0,1,"—",1,0,102,98,"2016-10-26"
"22","Oklahoma City Thunder*",1,0,1,"—",1,0,103,97,"2016-10-26"
"23","Denver Nuggets",1,0,1,"—",1,0,107,102,"2016-10-26"
"24","Los Angeles Lakers",1,0,1,"—",1,0,120,114,"2016-10-26"
"25","Sacramento Kings",1,0,1,"—",1,0,113,94,"2016-10-26"
"26","Golden State Warriors*",0,1,0,"1.0",0,1,100,129,"2016-10-26"
"27","Utah Jazz*",0,1,0,"1.0",0,1,104,113,"2016-10-26"
"28","Houston Rockets*",0,1,0,"1.0",0,1,114,120,"2016-10-26"
"29","Dallas Mavericks",0,1,0,"1.0",0,1,121,130,"2016-10-26"
"30","Phoenix Suns",0,1,0,"1.0",0,1,94,113,"2016-10-26"
"31","Minnesota Timberwolves",0,1,0,"1.0",0,1,98,102,"2016-10-26"
"32","New Orleans Pelicans",0,1,0,"1.0",0,1,102,107,"2016-10-26"
"33","Cleveland Cavaliers*",1,0,1,"—",1,0,117,88,"2016-10-27"
"34","Atlanta Hawks*",1,0,1,"—",1,0,114,99,"2016-10-27"
"35","Chicago Bulls*",1,0,1,"—",1,0,105,99,"2016-10-27"
"36","Indiana Pacers*",1,0,1,"—",1,0,130,121,"2016-10-27"
"37","Toronto Raptors*",1,0,1,"—",1,0,109,91,"2016-10-27"
"38","Charlotte Hornets",1,0,1,"—",1,0,107,96,"2016-10-27"
"39","Miami Heat",1,0,1,"—",1,0,108,96,"2016-10-27"
"40","Boston Celtics*",1,1,0.5,"0.5",1,1,110.5,111,"2016-10-27"
"41","Washington Wizards*",0,1,0,"1.0",0,1,99,114,"2016-10-27"
"42","Milwaukee Bucks*",0,1,0,"1.0",0,1,96,107,"2016-10-27"
"43","Detroit Pistons",0,1,0,"1.0",0,1,91,109,"2016-10-27"
"44","New York Knicks",0,1,0,"1.0",0,1,88,117,"2016-10-27"
"45","Brooklyn Nets",0,1,0,"1.0",0,1,117,122,"2016-10-27"
"46","Orlando Magic",0,1,0,"1.0",0,1,96,108,"2016-10-27"
"47","Philadelphia 76ers",0,1,0,"1.0",0,1,97,103,"2016-10-27"
"48","San Antonio Spurs*",2,0,1,"—",2,0,115.5,97,"2016-10-27"
"49","Memphis Grizzlies*",1,0,1,"0.5",1,0,102,98,"2016-10-27"
"50","Oklahoma City Thunder*",1,0,1,"0.5",1,0,103,97,"2016-10-27"
"51","Los Angeles Clippers*",1,0,1,"0.5",1,0,114,106,"2016-10-27"
"52","Denver Nuggets",1,0,1,"0.5",1,0,107,102,"2016-10-27"
"53","Los Angeles Lakers",1,0,1,"0.5",1,0,120,114,"2016-10-27"
"54","Portland Trail Blazers*",1,1,0.5,"1.0",1,1,109.5,109,"2016-10-27"
"55","Sacramento Kings",1,1,0.5,"1.0",1,1,103.5,98,"2016-10-27"
"56","Golden State Warriors*",0,1,0,"1.5",0,1,100,129,"2016-10-27"
"57","Utah Jazz*",0,1,0,"1.5",0,1,104,113,"2016-10-27"
"58","Houston Rockets*",0,1,0,"1.5",0,1,114,120,"2016-10-27"
"59","Dallas Mavericks",0,1,0,"1.5",0,1,121,130,"2016-10-27"
"60","Phoenix Suns",0,1,0,"1.5",0,1,94,113,"2016-10-27"
"61","Minnesota Timberwolves",0,1,0,"1.5",0,1,98,102,"2016-10-27"
"62","New Orleans Pelicans",0,1,0,"1.5",0,1,102,107,"2016-10-27"
"63","Cleveland Cavaliers*",2,0,1,"—",2,0,105.5,89.5,"2016-10-28"
"64","Charlotte Hornets",2,0,1,"—",2,0,102,93.5,"2016-10-28"
"65","Atlanta Hawks*",1,0,1,"0.5",1,0,114,99,"2016-10-28"
"66","Chicago Bulls*",1,0,1,"0.5",1,0,105,99,"2016-10-28"
"67","Boston Celtics*",1,1,0.5,"1.0",1,1,110.5,111,"2016-10-28"
"68","Indiana Pacers*",1,1,0.5,"1.0",1,1,112,112,"2016-10-28"
"69","Toronto Raptors*",1,1,0.5,"1.0",1,1,100,92.5,"2016-10-28"
"70","Miami Heat",1,1,0.5,"1.0",1,1,99.5,96.5,"2016-10-28"
"71","Detroit Pistons",1,1,0.5,"1.0",1,1,99.5,95.5,"2016-10-28"
"72","Brooklyn Nets",1,1,0.5,"1.0",1,1,110,108,"2016-10-28"
"73","Washington Wizards*",0,1,0,"1.5",0,1,99,114,"2016-10-28"
"74","Milwaukee Bucks*",0,1,0,"1.5",0,1,96,107,"2016-10-28"
"75","New York Knicks",0,1,0,"1.5",0,1,88,117,"2016-10-28"
"76","Philadelphia 76ers",0,1,0,"1.5",0,1,97,103,"2016-10-28"
"77","Orlando Magic",0,2,0,"2.0",0,2,89,108,"2016-10-28"
"78","San Antonio Spurs*",2,0,1,"—",2,0,115.5,97,"2016-10-28"
"79","Oklahoma City Thunder*",2,0,1,"—",1,1,108,103.5,"2016-10-28"
"80","Memphis Grizzlies*",1,0,1,"0.5",1,0,102,98,"2016-10-28"
"81","Los Angeles Clippers*",1,0,1,"0.5",1,0,114,106,"2016-10-28"
"82","Denver Nuggets",1,0,1,"0.5",1,0,107,102,"2016-10-28"
"83","Golden State Warriors*",1,1,0.5,"1.0",0,2,111,121.5,"2016-10-28"
"84","Utah Jazz*",1,1,0.5,"1.0",1,1,100,101,"2016-10-28"
"85","Portland Trail Blazers*",1,1,0.5,"1.0",1,1,109.5,109,"2016-10-28"
"86","Houston Rockets*",1,1,0.5,"1.0",1,1,110,109,"2016-10-28"
"87","Los Angeles Lakers",1,1,0.5,"1.0",1,1,104.5,105,"2016-10-28"
"88","Sacramento Kings",1,1,0.5,"1.0",1,1,103.5,98,"2016-10-28"
"89","Minnesota Timberwolves",0,1,0,"1.5",0,1,98,102,"2016-10-28"
"90","Dallas Mavericks",0,2,0,"2.0",1,1,109.5,118,"2016-10-28"
"91","Phoenix Suns",0,2,0,"2.0",0,2,102,113,"2016-10-28"
"92","New Orleans Pelicans",0,2,0,"2.0",1,1,108,114.5,"2016-10-28"
"93","Cleveland Cavaliers*",3,0,1,"—",3,0,105.3,92.7,"2016-10-29"
"94","Atlanta Hawks*",2,0,1,"0.5",2,0,109,85.5,"2016-10-29"
"95","Chicago Bulls*",2,0,1,"0.5",2,0,111.5,100,"2016-10-29"
"96","Boston Celtics*",2,1,0.667,"1.0",2,1,108.3,106.7,"2016-10-29"
"97","Charlotte Hornets",2,1,0.667,"1.0",2,1,100.7,97,"2016-10-29"
"98","Milwaukee Bucks*",1,1,0.5,"1.5",1,1,103,107.5,"2016-10-29"
"99","Toronto Raptors*",1,1,0.5,"1.5",1,1,100,92.5,"2016-10-29"
"100","Miami Heat",1,1,0.5,"1.5",1,1,99.5,96.5,"2016-10-29"
"101","Detroit Pistons",1,1,0.5,"1.5",1,1,99.5,95.5,"2016-10-29"
"102","New York Knicks",1,1,0.5,"1.5",0,2,99.5,110.5,"2016-10-29"
"103","Indiana Pacers*",1,2,0.333,"2.0",1,2,108.3,114,"2016-10-29"
"104","Brooklyn Nets",1,2,0.333,"2.0",2,1,109.3,108.7,"2016-10-29"
"105","Washington Wizards*",0,1,0,"2.0",0,1,99,114,"2016-10-29"
"106","Philadelphia 76ers",0,2,0,"2.5",0,2,84.5,103.5,"2016-10-29"
"107","Orlando Magic",0,3,0,"3.0",0,3,92.3,107,"2016-10-29"
"108","San Antonio Spurs*",3,0,1,"—",3,0,109.7,91,"2016-10-29"
"109","Oklahoma City Thunder*",2,0,1,"0.5",1,1,108,103.5,"2016-10-29"
"110","Los Angeles Clippers*",1,0,1,"1.0",1,0,114,106,"2016-10-29"
"111","Portland Trail Blazers*",2,1,0.667,"1.0",2,1,111.3,110.3,"2016-10-29"
"112","Sacramento Kings",2,1,0.667,"1.0",2,1,104.3,99.7,"2016-10-29"
"113","Golden State Warriors*",1,1,0.5,"1.5",0,2,111,121.5,"2016-10-29"
"114","Utah Jazz*",1,1,0.5,"1.5",1,1,100,101,"2016-10-29"
"115","Houston Rockets*",1,1,0.5,"1.5",1,1,110,109,"2016-10-29"
"116","Memphis Grizzlies*",1,1,0.5,"1.5",1,1,103,104.5,"2016-10-29"
"117","Denver Nuggets",1,1,0.5,"1.5",1,1,110,108.5,"2016-10-29"
"118","Los Angeles Lakers",1,1,0.5,"1.5",1,1,104.5,105,"2016-10-29"
"119","Dallas Mavericks",0,2,0,"2.5",1,1,109.5,118,"2016-10-29"
"120","Phoenix Suns",0,2,0,"2.5",0,2,102,113,"2016-10-29"
"121","Minnesota Timberwolves",0,2,0,"2.5",1,1,100.5,104,"2016-10-29"
"122","New Orleans Pelicans",0,3,0,"3.0",1,2,98.3,109,"2016-10-29"
"123","Cleveland Cavaliers*",3,0,1,"—",3,0,105.3,92.7,"2016-10-30"
"124","Atlanta Hawks*",2,0,1,"0.5",2,0,109,85.5,"2016-10-30"
"125","Chicago Bulls*",2,0,1,"0.5",2,0,111.5,100,"2016-10-30"
"126","Boston Celtics*",2,1,0.667,"1.0",2,1,108.3,106.7,"2016-10-30"
"127","Charlotte Hornets",2,1,0.667,"1.0",2,1,100.7,97,"2016-10-30"
"128","Detroit Pistons",2,1,0.667,"1.0",2,1,99,91.3,"2016-10-30"
"129","Toronto Raptors*",1,1,0.5,"1.5",1,1,100,92.5,"2016-10-30"
"130","New York Knicks",1,1,0.5,"1.5",0,2,99.5,110.5,"2016-10-30"
"131","Indiana Pacers*",1,2,0.333,"2.0",1,2,108.3,114,"2016-10-30"
"132","Milwaukee Bucks*",1,2,0.333,"2.0",1,2,96.3,104.3,"2016-10-30"
"133","Miami Heat",1,2,0.333,"2.0",1,2,99.3,99.7,"2016-10-30"
"134","Brooklyn Nets",1,2,0.333,"2.0",2,1,109.3,108.7,"2016-10-30"
"135","Washington Wizards*",0,2,0,"2.5",0,2,101,113,"2016-10-30"
"136","Philadelphia 76ers",0,2,0,"2.5",0,2,84.5,103.5,"2016-10-30"
"137","Orlando Magic",0,3,0,"3.0",0,3,92.3,107,"2016-10-30"
"138","San Antonio Spurs*",4,0,1,"—",4,0,108.8,93,"2016-10-30"
"139","Oklahoma City Thunder*",3,0,1,"0.5",2,1,109.7,101,"2016-10-30"
"140","Los Angeles Clippers*",2,0,1,"1.0",2,0,101,90.5,"2016-10-30"
"141","Golden State Warriors*",2,1,0.667,"1.5",1,2,109.3,114.3,"2016-10-30"
"142","Portland Trail Blazers*",2,1,0.667,"1.5",2,1,111.3,110.3,"2016-10-30"
"143","Houston Rockets*",2,1,0.667,"1.5",2,1,104.3,103.3,"2016-10-30"
"144","Memphis Grizzlies*",2,1,0.667,"1.5",2,1,106,104,"2016-10-30"
"145","Sacramento Kings",2,1,0.667,"1.5",2,1,104.3,99.7,"2016-10-30"
"146","Denver Nuggets",1,1,0.5,"2.0",1,1,110,108.5,"2016-10-30"
"147","Utah Jazz*",1,2,0.333,"2.5",1,2,91.7,96.7,"2016-10-30"
"148","Los Angeles Lakers",1,2,0.333,"2.5",1,2,101.7,107.7,"2016-10-30"
"149","Minnesota Timberwolves",0,2,0,"3.0",1,1,100.5,104,"2016-10-30"
"150","Dallas Mavericks",0,3,0,"3.5",1,2,103.7,109.7,"2016-10-30"
"151","Phoenix Suns",0,3,0,"3.5",1,2,101.3,110.7,"2016-10-30"
"152","New Orleans Pelicans",0,3,0,"3.5",1,2,98.3,109,"2016-10-30"
"153","Cleveland Cavaliers*",3,0,1,"—",3,0,105.3,92.7,"2016-10-31"
"154","Atlanta Hawks*",3,0,1,"—",3,0,108,88.7,"2016-10-31"
"155","Chicago Bulls*",3,0,1,"—",3,0,113.7,96,"2016-10-31"
"156","Boston Celtics*",2,1,0.667,"1.0",2,1,108.3,106.7,"2016-10-31"
"157","Toronto Raptors*",2,1,0.667,"1.0",2,1,101.7,95.7,"2016-10-31"
"158","Charlotte Hornets",2,1,0.667,"1.0",2,1,100.7,97,"2016-10-31"
"159","Detroit Pistons",2,1,0.667,"1.0",2,1,99,91.3,"2016-10-31"
"160","New York Knicks",1,1,0.5,"1.5",0,2,99.5,110.5,"2016-10-31"
"161","Indiana Pacers*",1,2,0.333,"2.0",1,2,108.3,114,"2016-10-31"
"162","Milwaukee Bucks*",1,2,0.333,"2.0",1,2,96.3,104.3,"2016-10-31"
"163","Miami Heat",1,2,0.333,"2.0",1,2,99.3,99.7,"2016-10-31"
"164","Brooklyn Nets",1,3,0.25,"2.5",1,3,104,111,"2016-10-31"
"165","Washington Wizards*",0,2,0,"2.5",0,2,101,113,"2016-10-31"
"166","Philadelphia 76ers",0,2,0,"2.5",0,2,84.5,103.5,"2016-10-31"
"167","Orlando Magic",0,3,0,"3.0",0,3,92.3,107,"2016-10-31"
"168","San Antonio Spurs*",4,0,1,"—",4,0,108.8,93,"2016-10-31"
"169","Oklahoma City Thunder*",3,0,1,"0.5",2,1,109.7,101,"2016-10-31"
"170","Los Angeles Clippers*",3,0,1,"0.5",3,0,106,93,"2016-10-31"
"171","Golden State Warriors*",2,1,0.667,"1.5",1,2,109.3,114.3,"2016-10-31"
"172","Portland Trail Blazers*",2,1,0.667,"1.5",2,1,111.3,110.3,"2016-10-31"
"173","Houston Rockets*",2,1,0.667,"1.5",2,1,104.3,103.3,"2016-10-31"
"174","Memphis Grizzlies*",2,1,0.667,"1.5",2,1,106,104,"2016-10-31"
"175","Sacramento Kings",2,2,0.5,"2.0",2,2,102,101.3,"2016-10-31"
"176","Utah Jazz*",1,2,0.333,"2.5",1,2,91.7,96.7,"2016-10-31"
"177","Denver Nuggets",1,2,0.333,"2.5",2,1,107.3,107.3,"2016-10-31"
"178","Los Angeles Lakers",1,2,0.333,"2.5",1,2,101.7,107.7,"2016-10-31"
"179","Minnesota Timberwolves",0,2,0,"3.0",1,1,100.5,104,"2016-10-31"
"180","Dallas Mavericks",0,3,0,"3.5",1,2,103.7,109.7,"2016-10-31"
"181","New Orleans Pelicans",0,3,0,"3.5",1,2,98.3,109,"2016-10-31"
"182","Phoenix Suns",0,4,0,"4.0",1,3,100.5,112,"2016-10-31"
"183","Cleveland Cavaliers*",4,0,1,"—",3,1,111,99.5,"2016-11-1"
"184","Atlanta Hawks*",3,0,1,"0.5",3,0,108,88.7,"2016-11-1"
"185","Chicago Bulls*",3,0,1,"0.5",3,0,113.7,96,"2016-11-1"
"186","Detroit Pistons",3,1,0.75,"1.0",3,1,99.8,90.8,"2016-11-1"
"187","Boston Celtics*",2,1,0.667,"1.5",2,1,108.3,106.7,"2016-11-1"
"188","Toronto Raptors*",2,1,0.667,"1.5",2,1,101.7,95.7,"2016-11-1"
"189","Charlotte Hornets",2,1,0.667,"1.5",2,1,100.7,97,"2016-11-1"
"190","Indiana Pacers*",2,2,0.5,"2.0",2,2,110,112.5,"2016-11-1"
"191","Milwaukee Bucks*",2,2,0.5,"2.0",1,3,101.5,106.5,"2016-11-1"
"192","Miami Heat",2,2,0.5,"2.0",2,2,101.5,98.8,"2016-11-1"
"193","New York Knicks",1,2,0.333,"2.5",1,2,96,107.7,"2016-11-1"
"194","Brooklyn Nets",1,3,0.25,"3.0",1,3,104,111,"2016-11-1"
"195","Orlando Magic",1,3,0.25,"3.0",1,3,95,105.5,"2016-11-1"
"196","Washington Wizards*",0,2,0,"3.0",0,2,101,113,"2016-11-1"
"197","Philadelphia 76ers",0,3,0,"3.5",0,3,90,103.3,"2016-11-1"
"198","Oklahoma City Thunder*",3,0,1,"—",2,1,109.7,101,"2016-11-1"
"199","Los Angeles Clippers*",3,0,1,"—",3,0,106,93,"2016-11-1"
"200","San Antonio Spurs*",4,1,0.8,"—",4,1,105.2,95.6,"2016-11-1"
"201","Golden State Warriors*",3,1,0.75,"0.5",2,2,113.8,111.8,"2016-11-1"
"202","Utah Jazz*",2,2,0.5,"1.5",2,2,95.3,95.3,"2016-11-1"
"203","Portland Trail Blazers*",2,2,0.5,"1.5",1,3,109.5,114.5,"2016-11-1"
"204","Houston Rockets*",2,2,0.5,"1.5",2,2,108.3,109.5,"2016-11-1"
"205","Memphis Grizzlies*",2,2,0.5,"1.5",1,3,99.5,107,"2016-11-1"
"206","Sacramento Kings",2,3,0.4,"2.0",2,3,100.8,102.6,"2016-11-1"
"207","Denver Nuggets",1,2,0.333,"2.0",2,1,107.3,107.3,"2016-11-1"
"208","Minnesota Timberwolves",1,2,0.333,"2.0",2,1,105.7,96,"2016-11-1"
"209","Los Angeles Lakers",1,3,0.25,"2.5",1,3,103.3,109.5,"2016-11-1"
"210","Dallas Mavericks",0,3,0,"3.0",1,2,103.7,109.7,"2016-11-1"
"211","Phoenix Suns",0,4,0,"3.5",1,3,100.5,112,"2016-11-1"
"212","New Orleans Pelicans",0,4,0,"3.5",1,3,102,111,"2016-11-1"
"213","Cleveland Cavaliers*",4,0,1,"—",3,1,111,99.5,"2016-11-2"
"214","Boston Celtics*",3,1,0.75,"1.0",2,2,108,105,"2016-11-2"
"215","Atlanta Hawks*",3,1,0.75,"1.0",3,1,110,97.3,"2016-11-2"
"216","Chicago Bulls*",3,1,0.75,"1.0",3,1,110.3,98.8,"2016-11-2"
"217","Toronto Raptors*",3,1,0.75,"1.0",3,1,104.5,97.5,"2016-11-2"
"218","Charlotte Hornets",3,1,0.75,"1.0",3,1,102.8,96,"2016-11-2"
"219","Detroit Pistons",3,2,0.6,"1.5",3,2,100,94.4,"2016-11-2"
"220","Indiana Pacers*",2,2,0.5,"2.0",2,2,110,112.5,"2016-11-2"
"221","Milwaukee Bucks*",2,2,0.5,"2.0",1,3,101.5,106.5,"2016-11-2"
"222","Miami Heat",2,2,0.5,"2.0",2,2,101.5,98.8,"2016-11-2"
"223","Brooklyn Nets",2,3,0.4,"2.5",2,3,105,109,"2016-11-2"
"224","New York Knicks",1,3,0.25,"3.0",1,3,96.8,110.3,"2016-11-2"
"225","Orlando Magic",1,3,0.25,"3.0",1,3,95,105.5,"2016-11-2"
"226","Washington Wizards*",0,3,0,"3.5",1,2,101.7,113,"2016-11-2"
"227","Philadelphia 76ers",0,4,0,"4.0",0,4,90.8,104.8,"2016-11-2"
"228","Oklahoma City Thunder*",4,0,1,"—",3,1,103.5,96.5,"2016-11-2"
"229","San Antonio Spurs*",4,1,0.8,"0.5",4,1,105.2,95.6,"2016-11-2"
"230","Golden State Warriors*",3,1,0.75,"1.0",2,2,113.8,111.8,"2016-11-2"
"231","Los Angeles Clippers*",3,1,0.75,"1.0",3,1,100.3,91,"2016-11-2"
"232","Utah Jazz*",3,2,0.6,"1.5",3,2,95.6,92.4,"2016-11-2"
"233","Houston Rockets*",3,2,0.6,"1.5",3,2,110.2,107.4,"2016-11-2"
"234","Memphis Grizzlies*",3,2,0.6,"1.5",2,3,97.4,102.2,"2016-11-2"
"235","Portland Trail Blazers*",2,3,0.4,"2.5",2,3,110.6,115.2,"2016-11-2"
"236","Los Angeles Lakers",2,3,0.4,"2.5",2,3,107.2,110.8,"2016-11-2"
"237","Sacramento Kings",2,3,0.4,"2.5",2,3,100.8,102.6,"2016-11-2"
"238","Denver Nuggets",1,2,0.333,"2.5",2,1,107.3,107.3,"2016-11-2"
"239","Minnesota Timberwolves",1,2,0.333,"2.5",2,1,105.7,96,"2016-11-2"
"240","Phoenix Suns",1,4,0.2,"3.5",1,4,104,112.6,"2016-11-2"
"241","Dallas Mavericks",0,4,0,"4.0",1,3,98,106.5,"2016-11-2"
"242","New Orleans Pelicans",0,5,0,"4.5",1,4,98.2,106.6,"2016-11-2"
"243","Cleveland Cavaliers*",5,0,1,"—",4,1,114.4,104,"2016-11-3"
"244","Atlanta Hawks*",3,1,0.75,"1.5",3,1,110,97.3,"2016-11-3"
"245","Chicago Bulls*",3,1,0.75,"1.5",3,1,110.3,98.8,"2016-11-3"
"246","Toronto Raptors*",3,1,0.75,"1.5",3,1,104.5,97.5,"2016-11-3"
"247","Charlotte Hornets",3,1,0.75,"1.5",3,1,102.8,96,"2016-11-3"
"248","Boston Celtics*",3,2,0.6,"2.0",3,2,110.8,109.6,"2016-11-3"
"249","Milwaukee Bucks*",3,2,0.6,"2.0",2,3,106.2,106.6,"2016-11-3"
"250","Detroit Pistons",3,2,0.6,"2.0",3,2,100,94.4,"2016-11-3"
"251","Miami Heat",2,2,0.5,"2.5",2,2,101.5,98.8,"2016-11-3"
"252","Indiana Pacers*",2,3,0.4,"3.0",2,3,109.4,115,"2016-11-3"
"253","Brooklyn Nets",2,3,0.4,"3.0",2,3,105,109,"2016-11-3"
"254","Orlando Magic",2,3,0.4,"3.0",1,4,96.4,103.2,"2016-11-3"
"255","New York Knicks",1,3,0.25,"3.5",1,3,96.8,110.3,"2016-11-3"
"256","Washington Wizards*",0,3,0,"4.0",1,2,101.7,113,"2016-11-3"
"257","Philadelphia 76ers",0,4,0,"4.5",0,4,90.8,104.8,"2016-11-3"
"258","Golden State Warriors*",4,1,0.8,"—",4,1,115.4,108.6,"2016-11-3"
"259","San Antonio Spurs*",4,1,0.8,"—",4,1,105.2,95.6,"2016-11-3"
"260","Oklahoma City Thunder*",4,1,0.8,"—",3,2,102,101.6,"2016-11-3"
"261","Los Angeles Clippers*",3,1,0.75,"0.5",3,1,100.3,91,"2016-11-3"
"262","Utah Jazz*",3,2,0.6,"1.0",3,2,95.6,92.4,"2016-11-3"
"263","Houston Rockets*",3,2,0.6,"1.0",3,2,110.2,107.4,"2016-11-3"
"264","Memphis Grizzlies*",3,2,0.6,"1.0",2,3,97.4,102.2,"2016-11-3"
"265","Denver Nuggets",2,2,0.5,"1.5",2,2,106,105.3,"2016-11-3"
"266","Portland Trail Blazers*",2,3,0.4,"2.0",2,3,110.6,115.2,"2016-11-3"
"267","Los Angeles Lakers",2,3,0.4,"2.0",2,3,107.2,110.8,"2016-11-3"
"268","Sacramento Kings",2,4,0.333,"2.5",2,4,99.7,102.5,"2016-11-3"
"269","Minnesota Timberwolves",1,3,0.25,"2.5",3,1,104,97.5,"2016-11-3"
"270","Phoenix Suns",1,4,0.2,"3.0",1,4,104,112.6,"2016-11-3"
"271","Dallas Mavericks",0,4,0,"3.5",1,3,98,106.5,"2016-11-3"
"272","New Orleans Pelicans",0,5,0,"4.0",1,4,98.2,106.6,"2016-11-3"
"273","Cleveland Cavaliers*",5,0,1,"—",4,1,114.4,104,"2016-11-4"
"274","Toronto Raptors*",4,1,0.8,"1.0",4,1,102.8,95.4,"2016-11-4"
"275","Charlotte Hornets",4,1,0.8,"1.0",4,1,102,95.8,"2016-11-4"
"276","Boston Celtics*",3,2,0.6,"2.0",3,2,110.8,109.6,"2016-11-4"
"277","Atlanta Hawks*",3,2,0.6,"2.0",4,1,106.4,96.8,"2016-11-4"
"278","Chicago Bulls*",3,2,0.6,"2.0",4,1,109,102.4,"2016-11-4"
"279","Milwaukee Bucks*",3,2,0.6,"2.0",2,3,106.2,106.6,"2016-11-4"
"280","Detroit Pistons",3,2,0.6,"2.0",3,2,100,94.4,"2016-11-4"
"281","Indiana Pacers*",2,3,0.4,"3.0",2,3,109.4,115,"2016-11-4"
"282","Miami Heat",2,3,0.4,"3.0",3,2,98.6,98.2,"2016-11-4"
"283","New York Knicks",2,3,0.4,"3.0",1,4,100.8,109,"2016-11-4"
"284","Orlando Magic",2,3,0.4,"3.0",1,4,96.4,103.2,"2016-11-4"
"285","Brooklyn Nets",2,4,0.333,"3.5",2,4,103.3,107.3,"2016-11-4"
"286","Washington Wizards*",1,3,0.25,"3.5",1,3,100,107.8,"2016-11-4"
"287","Philadelphia 76ers",0,4,0,"4.5",0,4,90.8,104.8,"2016-11-4"
"288","San Antonio Spurs*",5,1,0.833,"—",5,1,104.3,94,"2016-11-4"
"289","Oklahoma City Thunder*",4,1,0.8,"0.5",3,2,102,101.6,"2016-11-4"
"290","Los Angeles Clippers*",4,1,0.8,"0.5",4,1,100,90.4,"2016-11-4"
"291","Golden State Warriors*",4,2,0.667,"1.0",3,3,112.3,110,"2016-11-4"
"292","Houston Rockets*",3,2,0.6,"1.5",3,2,110.2,107.4,"2016-11-4"
"293","Utah Jazz*",3,3,0.5,"2.0",3,3,94,93.7,"2016-11-4"
"294","Portland Trail Blazers*",3,3,0.5,"2.0",3,3,109.7,111.8,"2016-11-4"
"295","Memphis Grizzlies*",3,3,0.5,"2.0",2,4,95.8,101.7,"2016-11-4"
"296","Los Angeles Lakers",3,3,0.5,"2.0",3,3,108.8,108.5,"2016-11-4"
"297","Denver Nuggets",2,2,0.5,"2.0",2,2,106,105.3,"2016-11-4"
"298","Phoenix Suns",2,4,0.333,"3.0",2,4,105.3,112.3,"2016-11-4"
"299","Sacramento Kings",2,4,0.333,"3.0",2,4,99.7,102.5,"2016-11-4"
"300","Minnesota Timberwolves",1,3,0.25,"3.0",3,1,104,97.5,"2016-11-4"
"301","Dallas Mavericks",0,5,0,"4.5",1,4,97.4,106.2,"2016-11-4"
"302","New Orleans Pelicans",0,6,0,"5.0",2,4,100.3,107.5,"2016-11-4"
"303","Cleveland Cavaliers*",6,0,1,"—",5,1,112.3,103.5,"2016-11-5"
"304","Toronto Raptors*",4,1,0.8,"1.5",4,1,102.8,95.4,"2016-11-5"
"305","Charlotte Hornets",4,1,0.8,"1.5",4,1,102,95.8,"2016-11-5"
"306","Atlanta Hawks*",4,2,0.667,"2.0",5,1,107.3,96.8,"2016-11-5"
"307","Milwaukee Bucks*",4,2,0.667,"2.0",4,2,108,104,"2016-11-5"
"308","Detroit Pistons",4,2,0.667,"2.0",4,2,100.5,93,"2016-11-5"
"309","Boston Celtics*",3,2,0.6,"2.5",3,2,110.8,109.6,"2016-11-5"
"310","Chicago Bulls*",3,3,0.5,"3.0",4,2,106.5,103.8,"2016-11-5"
"311","Indiana Pacers*",3,3,0.5,"3.0",3,3,109.7,111.5,"2016-11-5"
"312","Orlando Magic",3,3,0.5,"3.0",2,4,95,100.3,"2016-11-5"
"313","Miami Heat",2,3,0.4,"3.5",3,2,98.6,98.2,"2016-11-5"
"314","New York Knicks",2,3,0.4,"3.5",1,4,100.8,109,"2016-11-5"
"315","Brooklyn Nets",2,4,0.333,"4.0",2,4,103.3,107.3,"2016-11-5"
"316","Washington Wizards*",1,4,0.2,"4.5",1,4,97.2,103.8,"2016-11-5"
