game_id,pctEFG,pctTS,pctUSG,ortg,drtg,netrtg,pacePer40PACE_PER40,ratioPIE
21200611,0.538,0.542,0.2,94.2,77.9,16.3,79.14,0.113
21200639,0.375,0.512,0.167,125,90,35,84.92,0.139
21200648,0.5,0.5,0.113,117.5,112.5,5,76.44,0.081
21200678,0.9,0.9,0.147,113.8,75.8,38.1,78.09,0.189
21200702,0.389,0.484,0.157,110.6,83.1,27.5,78.57,0.108
21200731,0.615,0.663,0.209,112.7,89.1,23.6,81.93,0.198
21200739,0.538,0.559,0.255,102,129.4,-27.5,77.52,0.16
21200758,0.75,0.75,0.135,128.3,93.5,34.8,71.92,0.132
21200766,0.639,0.63,0.247,122.2,92.6,29.6,74.28,0.142
21200776,0.55,0.597,0.197,93.9,95.5,-1.6,80.89,0.142
21200796,0.455,0.55,0.217,114.3,106.3,8,83.23,0.063
21200822,0.375,0.512,0.119,92.5,103.7,-11.2,83.41,0.079
21200836,0.423,0.512,0.236,92.5,95.5,-3,80.56,0.168
21200858,0.45,0.537,0.161,101.2,107.4,-6.2,77.06,0.072
21200872,0.714,0.799,0.151,130.3,85.1,45.2,89.56,0.14
21200886,0.6,0.643,0.217,125.9,67.9,58,81.37,0.174
21200909,0.545,0.589,0.194,108.1,95.1,13,75.73,0.139
21200923,0.536,0.554,0.217,117.2,121.9,-4.7,79.5,0.08
21200944,0.5,0.5,0.239,109.1,115.2,-6.1,74.44,0.098
21200967,0.393,0.416,0.192,106.2,88.9,17.3,75.74,0.084
21200982,0.531,0.615,0.273,131.4,94.4,37.1,86.14,0.205
21201016,0.643,0.643,0.114,106.3,101.6,4.7,76.99,0.054
21201030,0.75,0.75,0.174,108.4,92.9,15.6,78.43,0.157
21201042,0.625,0.676,0.125,92.3,95.1,-2.8,83.86,0.128
21201067,0.643,0.661,0.092,110.5,88.3,22.2,80.16,0.158
21201082,0.333,0.333,0.108,120,108.3,11.7,74.42,0.069
21201098,0.654,0.654,0.175,104.5,101.5,3,70.65,0.164
21201125,0.583,0.581,0.261,109.1,110.1,-1,74.79,0.168
21201143,0.75,0.799,0.198,101.2,102.4,-1.2,83.49,0.153
21201172,0.4,0.4,0.167,98.2,101.7,-3.5,78.54,0.13
21201186,0.5,0.504,0.215,105.6,97.3,8.3,83.23,0.09
21201201,0.2,0.524,0.122,90.6,98.4,-7.8,76.94,0.117
21201225,0.333,0.333,0.111,93.2,105.3,-12,88.05,0.02
21300013,0.667,0.709,0.219,104.9,100,4.9,81.32,0.101
21300032,0.4,0.46,0.213,101.6,81.3,20.4,79.83,0.153
21300039,0.444,0.477,0.172,86.8,107.5,-20.8,80.2,0.052
21300057,0.5,0.5,0.208,97.2,105.6,-8.4,84.49,0.074
21300068,0.444,0.444,0.2,101.7,93.2,8.5,85.83,0.046
21300082,0.813,0.77,0.119,82.5,81,1.4,74.51,0.326
21300094,0.75,0.765,0.235,104.1,91.7,12.4,83.2,0.26
21300100,0.542,0.542,0.275,125.5,82,43.5,80.07,0.172
