season,phase,date,team,opponent,location,city,w_l,route,distance,tz,flight_time,direction_e_w,return_home,player,team_rest,player_rest,games_played,mi_ns,pts,shift_hrs,fgm,fga,pct_fg,fg3m,fg3a,pct_fg3,pct_ft,fg2m,fg2a,pct_fg2,ftm,fta,oreb,dreb,treb,ast,stl,blk,tov,pf,plusminus,fpts
2019-20,RS,2020-03-03,Los Angeles Clippers,Oklahoma City Thunder,Away,Oklahoma City,W,Los Angeles - Oklahoma City,1188,America/Chicago,~2.64 hours,East,,Kawhi Leonard,1,1,48,33,25,2,9,20,0.45,2,6,0.3333333333333333,0.833,7,14,0.5,5,6,1,7,8,1,2,0,2,1,21,40.1
2019-20,RS,2020-03-05,Los Angeles Clippers,Houston Rockets,Away,Houston,W,Oklahoma City - Houston,413,America/Chicago,~55.07 minutes,-,,Kawhi Leonard,1,1,49,29,25,0,8,15,0.533,4,7,0.5714285714285714,0.556,4,8,0.5,5,9,1,5,6,5,2,1,2,3,33,46.7
2019-20,RS,2020-03-08,Los Angeles Clippers,Los Angeles Lakers,Home,Los Angeles,L,Houston - Los Angeles,1380,America/Los_Angeles,~3.07 hours,West,,Kawhi Leonard,2,2,50,37,27,-2,9,18,0.5,2,9,0.2222222222222222,0.875,7,9,0.7777777777777778,7,8,0,2,2,0,0,1,1,2,-17,31.4
2019-20,RS,2020-03-10,Los Angeles Clippers,Golden State Warriors,Away,San Francisco,W,Los Angeles - San Francisco,339,America/Los_Angeles,~55 minutes,-,,Kawhi Leonard,1,1,51,25,23,0,9,14,0.643,2,5,0.4,1,7,9,0.7777777777777778,3,3,0,4,4,5,2,0,0,2,25,41.3
2019-20,RS,2020-07-30,Los Angeles Clippers,Los Angeles Lakers,Away,Orlando,L,No Travel,0,America/New_York,-,-,,Kawhi Leonard,141,141,52,33,28,0,7,16,0.438,3,4,0.75,0.846,4,12,0.3333333333333333,11,13,0,3,3,4,2,2,3,2,16,46.6
2019-20,RS,2020-08-01,Los Angeles Clippers,New Orleans Pelicans,Home,Orlando,W,No Travel,0,America/New_York,-,-,,Kawhi Leonard,1,1,53,27,24,0,6,16,0.375,2,6,0.3333333333333333,0.909,4,10,0.4,10,11,0,6,6,5,1,0,0,2,34,41.7
2019-20,RS,2020-08-04,Los Angeles Clippers,Phoenix Suns,Home,Orlando,L,No Travel,0,America/New_York,-,-,,Kawhi Leonard,2,2,54,37,27,0,10,21,0.476,2,4,0.5,1,8,17,0.47058823529411764,5,5,2,5,7,3,1,0,2,3,0,40.9
2019-20,RS,2020-08-06,Los Angeles Clippers,Dallas Mavericks,Away,Orlando,W,No Travel,0,America/New_York,-,-,,Kawhi Leonard,1,1,55,38,29,0,10,23,0.435,4,8,0.5,0.714,6,15,0.4,5,7,0,6,6,5,1,0,1,1,22,45.7
2019-20,RS,2020-08-09,Los Angeles Clippers,Brooklyn Nets,Home,Orlando,L,No Travel,0,America/New_York,-,-,,Kawhi Leonard,0,2,56,37,39,0,14,25,0.56,4,7,0.5714285714285714,0.875,10,18,0.5555555555555556,7,8,0,2,2,6,4,0,2,3,-4,60.4
2019-20,RS,2020-08-12,Los Angeles Clippers,Denver Nuggets,Away,Orlando,W,No Travel,0,America/New_York,-,-,,Kawhi Leonard,2,2,57,33,26,0,9,16,0.563,1,4,0.25,0.875,8,12,0.6666666666666666,7,8,0,5,5,3,2,0,1,4,12,41.5
2019-20,PO,2020-08-17,Los Angeles Clippers,Dallas Mavericks,Home,Orlando,W,No Travel,0,America/New_York,-,-,,Kawhi Leonard,2,4,1,38,29,0,11,21,0.524,1,7,0.14285714285714285,1,10,14,0.7142857142857143,6,6,2,10,12,6,3,0,3,3,18,58.4
