"","team","w","l","w_lpercent","gb","pw","pl","ps_g","pa_g","date"
"1","Detroit Pistons*",1,0,1,"—",1,0,106,94,"2015-10-27"
"2","Chicago Bulls",1,0,1,"—",1,0,97,95,"2015-10-27"
"3","Cleveland Cavaliers*",0,1,0,"1.0",0,1,95,97,"2015-10-27"
"4","Atlanta Hawks*",0,1,0,"1.0",0,1,94,106,"2015-10-27"
"5","Golden State Warriors*",1,0,1,"—",1,0,111,95,"2015-10-27"
"6","New Orleans Pelicans",0,1,0,"1.0",0,1,95,111,"2015-10-27"
"7","Detroit Pistons*",2,0,1,"—",2,0,99,90.5,"2015-10-28"
"8","Chicago Bulls",2,0,1,"—",2,0,106,97.5,"2015-10-28"
"9","Miami Heat*",1,0,1,"0.5",1,0,104,94,"2015-10-28"
"10","Toronto Raptors*",1,0,1,"0.5",1,0,106,99,"2015-10-28"
"11","Boston Celtics*",1,0,1,"0.5",1,0,112,95,"2015-10-28"
"12","New York Knicks",1,0,1,"0.5",1,0,122,97,"2015-10-28"
"13","Washington Wizards",1,0,1,"0.5",1,0,88,87,"2015-10-28"
"14","Cleveland Cavaliers*",1,1,0.5,"1.0",2,0,100.5,86.5,"2015-10-28"
"15","Atlanta Hawks*",0,1,0,"1.5",0,1,94,106,"2015-10-28"
"16","Indiana Pacers*",0,1,0,"1.5",0,1,99,106,"2015-10-28"
"17","Charlotte Hornets*",0,1,0,"1.5",0,1,94,104,"2015-10-28"
"18","Brooklyn Nets",0,1,0,"1.5",0,1,100,115,"2015-10-28"
"19","Philadelphia 76ers",0,1,0,"1.5",0,1,95,112,"2015-10-28"
"20","Milwaukee Bucks",0,1,0,"1.5",0,1,97,122,"2015-10-28"
"21","Orlando Magic",0,1,0,"1.5",0,1,87,88,"2015-10-28"
"22","Golden State Warriors*",1,0,1,"—",1,0,111,95,"2015-10-28"
"23","Oklahoma City Thunder*",1,0,1,"—",1,0,112,106,"2015-10-28"
"24","Los Angeles Clippers*",1,0,1,"—",1,0,111,104,"2015-10-28"
"25","Dallas Mavericks*",1,0,1,"—",1,0,111,95,"2015-10-28"
"26","Portland Trail Blazers*",1,0,1,"—",1,0,112,94,"2015-10-28"
"27","Denver Nuggets",1,0,1,"—",1,0,105,85,"2015-10-28"
"28","Minnesota Timberwolves",1,0,1,"—",1,0,112,111,"2015-10-28"
"29","San Antonio Spurs*",0,1,0,"1.0",0,1,106,112,"2015-10-28"
"30","Memphis Grizzlies*",0,1,0,"1.0",0,1,76,106,"2015-10-28"
"31","Houston Rockets*",0,1,0,"1.0",0,1,85,105,"2015-10-28"
"32","Los Angeles Lakers",0,1,0,"1.0",0,1,111,112,"2015-10-28"
"33","Phoenix Suns",0,1,0,"1.0",0,1,95,111,"2015-10-28"
"34","Utah Jazz",0,1,0,"1.0",0,1,87,92,"2015-10-28"
"35","Sacramento Kings",0,1,0,"1.0",0,1,104,111,"2015-10-28"
"36","New Orleans Pelicans",0,2,0,"1.5",0,2,94.5,111.5,"2015-10-28"
"37","Detroit Pistons*",2,0,1,"—",2,0,99,90.5,"2015-10-29"
"38","Chicago Bulls",2,0,1,"—",2,0,106,97.5,"2015-10-29"
"39","Miami Heat*",1,0,1,"0.5",1,0,104,94,"2015-10-29"
"40","Toronto Raptors*",1,0,1,"0.5",1,0,106,99,"2015-10-29"
"41","Boston Celtics*",1,0,1,"0.5",1,0,112,95,"2015-10-29"
"42","Washington Wizards",1,0,1,"0.5",1,0,88,87,"2015-10-29"
"43","Cleveland Cavaliers*",1,1,0.5,"1.0",2,0,100.5,86.5,"2015-10-29"
"44","Atlanta Hawks*",1,1,0.5,"1.0",1,1,103,103.5,"2015-10-29"
"45","New York Knicks",1,1,0.5,"1.0",1,1,111.5,104.5,"2015-10-29"
"46","Charlotte Hornets*",0,1,0,"1.5",0,1,94,104,"2015-10-29"
"47","Brooklyn Nets",0,1,0,"1.5",0,1,100,115,"2015-10-29"
"48","Philadelphia 76ers",0,1,0,"1.5",0,1,95,112,"2015-10-29"
"49","Milwaukee Bucks",0,1,0,"1.5",0,1,97,122,"2015-10-29"
"50","Orlando Magic",0,1,0,"1.5",0,1,87,88,"2015-10-29"
"51","Indiana Pacers*",0,2,0,"2.0",1,1,101,109,"2015-10-29"
"52","Los Angeles Clippers*",2,0,1,"—",2,0,107.5,96,"2015-10-29"
"53","Golden State Warriors*",1,0,1,"0.5",1,0,111,95,"2015-10-29"
"54","Oklahoma City Thunder*",1,0,1,"0.5",1,0,112,106,"2015-10-29"
"55","Portland Trail Blazers*",1,0,1,"0.5",1,0,112,94,"2015-10-29"
"56","Denver Nuggets",1,0,1,"0.5",1,0,105,85,"2015-10-29"
"57","Minnesota Timberwolves",1,0,1,"0.5",1,0,112,111,"2015-10-29"
"58","Memphis Grizzlies*",1,1,0.5,"1.0",0,2,94,104.5,"2015-10-29"
"59","Dallas Mavericks*",1,1,0.5,"1.0",1,1,99.5,99.5,"2015-10-29"
"60","San Antonio Spurs*",0,1,0,"1.5",0,1,106,112,"2015-10-29"
"61","Houston Rockets*",0,1,0,"1.5",0,1,85,105,"2015-10-29"
"62","Los Angeles Lakers",0,1,0,"1.5",0,1,111,112,"2015-10-29"
"63","Phoenix Suns",0,1,0,"1.5",0,1,95,111,"2015-10-29"
"64","Utah Jazz",0,1,0,"1.5",0,1,87,92,"2015-10-29"
"65","Sacramento Kings",0,1,0,"1.5",0,1,104,111,"2015-10-29"
"66","New Orleans Pelicans",0,2,0,"2.0",0,2,94.5,111.5,"2015-10-29"
"67","Detroit Pistons*",3,0,1,"—",2,1,98.7,91.7,"2015-10-30"
"68","Toronto Raptors*",2,0,1,"0.5",2,0,109.5,101,"2015-10-30"
"69","Washington Wizards",2,0,1,"0.5",1,1,103,100,"2015-10-30"
"70","Cleveland Cavaliers*",2,1,0.667,"1.0",3,0,101,88.3,"2015-10-30"
"71","Atlanta Hawks*",2,1,0.667,"1.0",2,1,101,100.3,"2015-10-30"
"72","Chicago Bulls",2,1,0.667,"1.0",2,1,102,97.7,"2015-10-30"
"73","Miami Heat*",1,1,0.5,"1.5",1,1,98,98,"2015-10-30"
"74","Boston Celtics*",1,1,0.5,"1.5",1,1,107.5,104,"2015-10-30"
"75","New York Knicks",1,1,0.5,"1.5",1,1,111.5,104.5,"2015-10-30"
"76","Indiana Pacers*",0,2,0,"2.5",1,1,101,109,"2015-10-30"
"77","Charlotte Hornets*",0,2,0,"2.5",1,1,94,100.5,"2015-10-30"
"78","Brooklyn Nets",0,2,0,"2.5",0,2,87.5,108.5,"2015-10-30"
"79","Philadelphia 76ers",0,2,0,"2.5",0,2,83,105.5,"2015-10-30"
"80","Milwaukee Bucks",0,2,0,"2.5",0,2,105,120,"2015-10-30"
"81","Orlando Magic",0,2,0,"2.5",1,1,111.5,113.5,"2015-10-30"
"82","Golden State Warriors*",2,0,1,"—",2,0,111.5,93.5,"2015-10-30"
"83","Oklahoma City Thunder*",2,0,1,"—",1,1,125.5,121,"2015-10-30"
"84","Los Angeles Clippers*",2,0,1,"—",2,0,107.5,96,"2015-10-30"
"85","Minnesota Timberwolves",2,0,1,"—",2,0,103.5,94.5,"2015-10-30"
"86","San Antonio Spurs*",1,1,0.5,"1.0",2,0,104,93.5,"2015-10-30"
"87","Memphis Grizzlies*",1,1,0.5,"1.0",0,2,94,104.5,"2015-10-30"
"88","Dallas Mavericks*",1,1,0.5,"1.0",1,1,99.5,99.5,"2015-10-30"
"89","Portland Trail Blazers*",1,1,0.5,"1.0",1,1,102,102,"2015-10-30"
"90","Denver Nuggets",1,1,0.5,"1.0",1,1,91.5,90,"2015-10-30"
"91","Phoenix Suns",1,1,0.5,"1.0",1,1,102.5,101.5,"2015-10-30"
"92","Utah Jazz",1,1,0.5,"1.0",2,0,93,81.5,"2015-10-30"
"93","Sacramento Kings",1,1,0.5,"1.0",1,1,118,112.5,"2015-10-30"
"94","Houston Rockets*",0,2,0,"2.0",0,2,88.5,108.5,"2015-10-30"
"95","Los Angeles Lakers",0,2,0,"2.0",0,2,112.5,122,"2015-10-30"
"96","New Orleans Pelicans",0,2,0,"2.0",0,2,94.5,111.5,"2015-10-30"
"97","Detroit Pistons*",3,0,1,"—",2,1,98.7,91.7,"2015-10-31"
"98","Toronto Raptors*",2,0,1,"0.5",2,0,109.5,101,"2015-10-31"
"99","Cleveland Cavaliers*",2,1,0.667,"1.0",3,0,101,88.3,"2015-10-31"
"100","Atlanta Hawks*",2,1,0.667,"1.0",2,1,101,100.3,"2015-10-31"
"101","Chicago Bulls",2,1,0.667,"1.0",2,1,102,97.7,"2015-10-31"
"102","New York Knicks",2,1,0.667,"1.0",2,1,113.3,106.3,"2015-10-31"
