Date,Team,Season,Month,Week,Opponent,Visitor,City,Win,Distance,Route,Rest,TZ,shift,direction,Latitude,Longitude,B2B,b2b_2nd,b2b_1st,three_in_four,four_in_five,five_in_seven,flight_duration,team_id,game_id,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,score_diff
2016-11-01,Utah Jazz,2016-17,Nov,44,San Antonio Spurs,TRUE,San Antonio,TRUE,1210,Los Angeles - San Antonio,1,America/Chicago,2,East,29.46,-98.51,Yes,Yes,No,No,No,No,2.2,1610612762,21600053,38,76,0.5,15,31,0.484,15,18,0.833,2,37,39,22,11,5,8,5,20,15,106,15
2016-11-02,Atlanta Hawks,2016-17,Nov,44,Los Angeles Lakers,FALSE,Atlanta,FALSE,0,No Travel,1,America/New_York,0,-,33.76,-84.42,No,No,No,No,No,No,0,1610612737,21600059,41,85,0.482,11,32,0.344,23,29,0.793,10,27,37,30,18,10,1,9,19,25,116,-7
2016-11-02,Boston Celtics,2016-17,Nov,44,Chicago Bulls,FALSE,Boston,TRUE,722,Charlotte - Boston,3,America/New_York,0,-,42.34,-71.02,Yes,Yes,No,No,No,No,1.31,1610612738,21600061,41,87,0.471,14,32,0.438,11,17,0.647,10,29,39,28,12,10,4,7,24,19,107,7
2016-11-02,Brooklyn Nets,2016-17,Nov,44,Detroit Pistons,FALSE,New York,TRUE,0,No Travel,1,America/New_York,0,-,40.67,-73.94,No,No,No,No,No,No,0,1610612751,21600057,41,76,0.539,13,27,0.481,14,17,0.824,5,40,45,27,19,10,3,6,23,18,109,8
2016-11-02,Charlotte Hornets,2016-17,Nov,44,Philadelphia 76ers,FALSE,Charlotte,TRUE,0,No Travel,3,America/New_York,0,-,35.2,-80.83,No,No,No,No,No,No,0,1610612766,21600056,39,79,0.494,13,34,0.382,18,26,0.692,9,35,44,25,15,8,3,2,17,24,109,16
2016-11-02,Chicago Bulls,2016-17,Nov,44,Boston Celtics,TRUE,Boston,FALSE,190,New York - Boston,1,America/New_York,0,-,42.34,-71.02,No,No,No,No,No,No,1,1610612741,21600061,35,81,0.432,7,20,0.35,23,31,0.742,15,34,49,21,19,7,7,4,19,24,100,-7
2016-11-02,Dallas Mavericks,2016-17,Nov,44,Utah Jazz,TRUE,Salt Lake City,FALSE,1201,Houston - Salt Lake City,2,America/Denver,-1,West,40.78,-111.93,No,No,No,No,No,No,2.18,1610612742,21600062,33,77,0.429,7,26,0.269,8,10,0.8,6,30,36,18,13,4,4,3,20,21,81,-16
2016-11-02,Detroit Pistons,2016-17,Nov,44,Brooklyn Nets,TRUE,New York,FALSE,488,Detroit - New York,0,America/New_York,0,-,40.67,-73.94,Yes,No,Yes,Yes,No,No,1,1610612765,21600057,37,88,0.42,9,25,0.36,18,21,0.857,10,28,38,21,13,11,6,3,18,23,101,-8
2016-11-02,Houston Rockets,2016-17,Nov,44,New York Knicks,TRUE,New York,TRUE,407,Cleveland - New York,0,America/New_York,0,-,40.67,-73.94,Yes,No,Yes,Yes,No,No,1,1610612745,21600058,42,89,0.472,15,40,0.375,19,27,0.704,19,35,54,25,20,12,8,6,21,22,118,19
2016-11-02,Los Angeles Lakers,2016-17,Nov,44,Atlanta Hawks,TRUE,Atlanta,TRUE,427,Indianapolis - Atlanta,0,America/New_York,0,-,33.76,-84.42,Yes,No,Yes,Yes,No,No,1,1610612747,21600059,48,90,0.533,9,22,0.409,18,20,0.9,11,31,42,24,15,11,9,1,25,19,123,7
2016-11-02,Memphis Grizzlies,2016-17,Nov,44,New Orleans Pelicans,FALSE,Memphis,TRUE,702,Minneapolis - Memphis,0,America/Chicago,0,-,35.11,-90.01,Yes,No,Yes,Yes,Yes,No,1.28,1610612763,21600060,33,94,0.351,8,27,0.296,15,20,0.75,13,39,52,20,20,12,5,9,22,26,89,6
2016-11-02,New Orleans Pelicans,2016-17,Nov,44,Memphis Grizzlies,TRUE,Memphis,FALSE,348,New Orleans - Memphis,0,America/Chicago,0,-,35.11,-90.01,Yes,No,Yes,No,No,No,1,1610612740,21600060,30,81,0.37,11,34,0.324,12,16,0.75,5,38,43,17,22,8,9,5,26,22,83,-6
2016-11-02,New York Knicks,2016-17,Nov,44,Houston Rockets,FALSE,New York,FALSE,488,Detroit - New York,0,America/New_York,0,-,40.67,-73.94,Yes,No,Yes,No,No,No,1,1610612752,21600058,37,85,0.435,8,20,0.4,17,25,0.68,7,27,34,18,16,10,6,8,22,21,99,-19
2016-11-02,Oklahoma City Thunder,2016-17,Nov,44,Los Angeles Clippers,TRUE,Los Angeles,TRUE,1188,Oklahoma City - Los Angeles,2,America/Los_Angeles,-2,West,34.11,-118.41,Yes,Yes,No,No,No,No,2.16,1610612760,21600064,34,84,0.405,5,20,0.25,12,20,0.6,10,42,52,14,22,8,4,5,24,19,85,2
2016-11-02,Philadelphia 76ers,2016-17,Nov,44,Charlotte Hornets,TRUE,Charlotte,FALSE,456,Philadelphia - Charlotte,0,America/New_York,0,-,35.2,-80.83,Yes,No,Yes,No,No,No,1,1610612755,21600056,34,86,0.395,12,38,0.316,13,15,0.867,8,29,37,23,19,8,2,3,24,17,93,-16
2016-11-02,Phoenix Suns,2016-17,Nov,44,Portland Trail Blazers,FALSE,Phoenix,TRUE,366,Los Angeles - Phoenix,1,America/Phoenix,1,East,33.54,-112.07,No,No,No,Yes,No,No,1,1610612756,21600063,44,103,0.427,5,16,0.313,25,30,0.833,14,45,59,15,12,10,5,8,20,23,118,3
2016-11-02,Portland Trail Blazers,2016-17,Nov,44,Phoenix Suns,TRUE,Phoenix,FALSE,1001,Portland - Phoenix,0,America/Phoenix,1,East,33.54,-112.07,Yes,No,Yes,No,No,No,1.82,1610612757,21600063,42,101,0.416,12,33,0.364,19,21,0.905,10,43,53,25,15,8,8,5,23,20,115,-3
2016-11-02,Toronto Raptors,2016-17,Nov,44,Washington Wizards,TRUE,Washington,TRUE,350,Toronto - Washington,1,America/New_York,0,-,38.91,-77.02,No,No,No,No,No,No,1,1610612761,21600055,43,77,0.558,10,25,0.4,17,25,0.68,4,27,31,21,13,16,2,5,24,20,113,10
2016-11-02,Utah Jazz,2016-17,Nov,44,Dallas Mavericks,FALSE,Salt Lake City,TRUE,1087,San Antonio - Salt Lake City,0,America/Denver,-1,West,40.78,-111.93,Yes,No,Yes,Yes,No,No,1.98,1610612762,21600062,35,77,0.455,12,25,0.48,15,26,0.577,7,34,41,18,12,6,3,4,21,20,97,16
2016-11-02,Washington Wizards,2016-17,Nov,44,Toronto Raptors,FALSE,Washington,FALSE,763,Memphis - Washington,2,America/New_York,1,East,38.91,-77.02,No,No,No,No,No,No,1.39,1610612764,21600055,42,72,0.583,3,10,0.3,16,24,0.667,6,30,36,21,21,8,5,2,20,24,103,-10
2016-11-03,Boston Celtics,2016-17,Nov,44,Cleveland Cavaliers,TRUE,Cleveland,FALSE,551,Boston - Cleveland,0,America/New_York,0,-,41.48,-81.68,Yes,No,Yes,No,No,No,NA,1610612738,21600068,46,96,0.479,11,32,0.344,19,22,0.864,10,29,39,25,8,4,6,6,28,19,122,-6
2016-11-03,Cleveland Cavaliers,2016-17,Nov,44,Boston Celtics,FALSE,Cleveland,TRUE,0,No Travel,1,America/New_York,0,-,41.48,-81.68,No,No,No,No,No,No,0,1610612739,21600068,41,84,0.488,14,34,0.412,32,37,0.865,7,35,42,24,8,6,6,6,19,28,128,6
2016-11-03,Denver Nuggets,2016-17,Nov,44,Minnesota Timberwolves,TRUE,Minneapolis,TRUE,692,Toronto - Minneapolis,2,America/Chicago,-1,West,44.96,-93.27,No,No,No,No,No,No,1.26,1610612743,21600067,39,81,0.481,6,22,0.273,18,25,0.72,7,37,44,24,22,10,2,4,24,22,102,3
2016-11-03,Golden State Warriors,2016-17,Nov,44,Oklahoma City Thunder,FALSE,San Francisco,TRUE,537,Portland - San Francisco,1,America/Los_Angeles,0,-,37.77,-122.45,Yes,Yes,No,No,No,No,1,1610612744,21600069,46,89,0.517,14,30,0.467,16,20,0.8,15,31,46,27,16,9,14,6,18,20,122,26
2016-11-03,Indiana Pacers,2016-17,Nov,44,Milwaukee Bucks,TRUE,Milwaukee,FALSE,246,Indianapolis - Milwaukee,1,America/Chicago,-1,West,43.06,-87.97,No,No,No,No,No,No,1,1610612754,21600066,38,81,0.469,10,23,0.435,21,27,0.778,10,22,32,29,21,14,4,6,23,23,107,-18
2016-11-03,Milwaukee Bucks,2016-17,Nov,44,Indiana Pacers,FALSE,Milwaukee,TRUE,904,New Orleans - Milwaukee,1,America/Chicago,0,-,43.06,-87.97,No,No,No,No,No,No,1.64,1610612749,21600066,47,82,0.573,12,27,0.444,19,24,0.792,12,29,41,32,21,10,6,4,23,23,125,18
