Opponent,Team,Date,Season,Month,Week,Visitor,City,Win,Distance,Route,Rest,TZ,shift,direction,Latitude,Longitude,B2B,b2b_2nd,b2b_1st,three_in_four,four_in_five,five_in_seven,flight_duration,game_id,matchup,score_diff,traveling_west,traveling_east,avg_score_diff_home,avg_score_diff_away,adjusted_score_diff,w,l,w_lpercent,ps_g,pa_g,opp_win_percent,win_percent_diff,off_rating,def_rating,net_rating,pace,opp_off_rating,opp_def_rating,opp_net_rating,opp_pace,net_rating_diff,pace_diff
Philadelphia 76ers,Utah Jazz,2015-10-30,2015-16,Oct,44,TRUE,Philadelphia,TRUE,446,Detroit - Philadelphia,1,America/New_York,0,-,40.01,-75.13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,21500023,UTA @ PHI,28,FALSE,FALSE,5.512195121951219,-1.85,29.85,1,1,0.5,93,81.5,0,0.5,105,103.2,1.8,91.66,98.4,108.6,-10.2,98.44,12,-6.780000000000001
Philadelphia 76ers,Phoenix Suns,2015-12-26,2015-16,Dec,52,FALSE,Phoenix,FALSE,0,No Travel,2,America/Phoenix,0,-,33.54,-112.07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21500451,PHX vs. PHI,-7,FALSE,FALSE,-2.375,-10.609756097560975,-4.625,12,20,0.375,103.7,105.4,0.063,0.312,101.5,107.9,-6.5,99.39,98.4,108.6,-10.2,98.44,3.6999999999999993,0.9500000000000028
Philadelphia 76ers,Boston Celtics,2015-11-25,2015-16,Nov,47,FALSE,Boston,TRUE,938,Atlanta - Boston,0,America/New_York,0,-,42.34,-71.02,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1.71,21500217,BOS vs. PHI,4,FALSE,FALSE,5.275,0.8536585365853658,-1.2750000000000004,8,7,0.533,101.9,98.1,0,0.533,105.8,102.5,3.3,99.43,98.4,108.6,-10.2,98.44,13.5,0.9900000000000091
Philadelphia 76ers,New York Knicks,2015-12-18,2015-16,Dec,51,TRUE,Philadelphia,TRUE,78,New York - Philadelphia,1,America/New_York,0,-,40.01,-75.13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,21500388,NYK @ PHI,10,FALSE,FALSE,-1.4878048780487805,-4.7,14.7,13,14,0.481,98,99.3,0.036,0.445,103.9,106.7,-2.8,94.12,98.4,108.6,-10.2,98.44,7.3999999999999995,-4.319999999999993
Philadelphia 76ers,Memphis Grizzlies,2015-11-29,2015-16,Nov,48,FALSE,Memphis,TRUE,0,No Travel,1,America/Chicago,0,-,35.11,-90.01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21500251,MEM vs. PHI,8,FALSE,FALSE,1.125,-4.853658536585366,6.875,10,8,0.556,96.2,99.5,0,0.556,104.7,107.1,-2.4,93.95,98.4,108.6,-10.2,98.44,7.799999999999999,-4.489999999999995
Philadelphia 76ers,Cleveland Cavaliers,2015-11-06,2015-16,Nov,45,FALSE,Cleveland,TRUE,0,No Travel,1,America/New_York,0,-,41.48,-81.68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21500078,CLE vs. PHI,6,FALSE,FALSE,8.24390243902439,3.9,-2.2439024390243905,5,1,0.833,102.3,92.2,0,0.833,110.2,103.9,6.3,93.82,98.4,108.6,-10.2,98.44,16.5,-4.6200000000000045
Philadelphia 76ers,Houston Rockets,2015-11-27,2015-16,Nov,48,FALSE,Houston,TRUE,0,No Travel,1,America/Chicago,0,-,29.77,-95.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21500232,HOU vs. PHI,2,FALSE,FALSE,2.225,-1.2926829268292683,-0.2250000000000001,6,10,0.375,100.8,107.3,0,0.375,107.3,107.3,0,98.42,98.4,108.6,-10.2,98.44,10.2,-0.01999999999999602
Philadelphia 76ers,Golden State Warriors,2016-03-27,2015-16,Mar,13,FALSE,San Francisco,TRUE,0,No Travel,1,America/Los_Angeles,0,-,37.77,-122.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21501094,GSW vs. PHI,12,FALSE,FALSE,14.35,7.121951219512195,-2.3499999999999996,66,7,0.904,115.5,104.3,0.122,0.782,113.5,102.8,10.6,100.24,98.4,108.6,-10.2,98.44,20.799999999999997,1.7999999999999972
Philadelphia 76ers,Washington Wizards,2016-02-05,2015-16,Feb,6,FALSE,Washington,TRUE,0,No Travel,1,America/New_York,0,-,38.91,-77.02,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,21500753,WAS vs. PHI,12,FALSE,FALSE,2.5365853658536586,-3.65,9.463414634146341,22,26,0.458,102.7,105.4,0.14,0.318,104.5,105.1,-0.5,99.16,98.4,108.6,-10.2,98.44,9.7,0.7199999999999989
Philadelphia 76ers,Minnesota Timberwolves,2015-11-23,2015-16,Nov,47,FALSE,Minneapolis,TRUE,0,No Travel,2,America/Chicago,0,-,44.96,-93.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21500206,MIN vs. PHI,5,FALSE,FALSE,-3.8048780487804876,-3.375,8.804878048780488,6,8,0.429,101.5,102.2,0,0.429,105.4,109,-3.5,96.2,98.4,108.6,-10.2,98.44,6.699999999999999,-2.239999999999995
