"","isActive","isRookie","namePlayer","idPlayer","countSeasons","yearSeasonFirst","yearSeasonLast"
"307",FALSE,FALSE,"Dairis Bertans",1629541,0,2018,2018
"308",TRUE,FALSE,"Davis Bertans",202722,4,2016,2020
"309",FALSE,FALSE,"Del Beshore",76159,1,1978,1979
"310",FALSE,FALSE,"Travis Best",696,9,1995,2004
"311",TRUE,FALSE,"Patrick Beverley",201976,8,2012,2020
"312",TRUE,TRUE,"Saddiq Bey",1630180,0,2020,2020
"313",TRUE,TRUE,"Tyler Bey",1630189,0,2020,2020
"314",FALSE,FALSE,"Sim Bhullar",204021,0,2014,2014
"315",FALSE,FALSE,"Al Bianchi",76160,9,1956,1965
"316",FALSE,FALSE,"Hank Biasatti",76161,0,1946,1946
"317",FALSE,FALSE,"Henry Bibby",76162,8,1972,1980
"318",FALSE,FALSE,"Mike Bibby",1710,13,1998,2011
"319",FALSE,FALSE,"Ed Biedenbach",76163,0,1968,1968
"320",FALSE,FALSE,"Andris Biedrins",2740,9,2004,2013
"321",FALSE,FALSE,"Don Bielke",76164,0,1955,1955
"322",FALSE,FALSE,"Bob Bigelow",76165,3,1975,1978
"323",FALSE,FALSE,"Chauncey Billups",1497,16,1997,2013
"324",FALSE,FALSE,"Dave Bing",76166,11,1966,1977
"325",FALSE,FALSE,"Joe Binion",76167,0,1986,1986
"326",TRUE,FALSE,"Khem Birch",203920,3,2017,2020
"327",FALSE,FALSE,"Jabari Bird",1628444,0,2017,2017
"328",FALSE,FALSE,"Jerry Bird",76168,0,1958,1958
"329",FALSE,FALSE,"Larry Bird",1449,12,1979,1991
"330",FALSE,FALSE,"Otis Birdsong",76170,11,1977,1988
"331",FALSE,FALSE,"Gale Bishop",76171,0,1948,1948
"332",TRUE,FALSE,"Goga Bitadze",1629048,1,2019,2020
"333",TRUE,FALSE,"Bismack Biyombo",202687,9,2011,2020
"334",TRUE,FALSE,"Nemanja Bjelica",202357,5,2015,2020
"335",FALSE,FALSE,"Uwe Blab",76172,4,1985,1989
"336",FALSE,FALSE,"Charlie Black",76173,3,1948,1951
"337",FALSE,FALSE,"Norman Black",76174,0,1980,1980
"338",FALSE,FALSE,"Tarik Black",204028,3,2014,2017
"339",FALSE,FALSE,"Tom Black",76175,0,1970,1970
"340",FALSE,FALSE,"Rolando Blackman",76176,12,1981,1993
"341",FALSE,FALSE,"Alex Blackwell",76180,0,1992,1992
"342",FALSE,FALSE,"Cory Blackwell",76177,0,1984,1984
"343",FALSE,FALSE,"James Blackwell",1806,0,1994,1994
