"","test_actual","test_fold","type","test_preds"
"129",-12.8,"6","w_40",-10.9847073438454
"130",-12.8,"6","w40_t",-11.3025662329211
"131",-12.8,"6","w40_td",-11.0842884635086
"132",-12.8,"6","w60_tf",-11.9085256358247
"133",-11.4,"6","sn_net_rating_diff",-2.74818897994164
"134",-11.4,"6","w60_en",-3.07537853606344
"135",-11.4,"6","w_40",-2.9276859192748
"136",-11.4,"6","w40_t",-3.15440369433964
"137",-11.4,"6","w40_td",-3.272282463295
"138",-11.4,"6","w60_tf",-2.84469858019554
"139",-11.1,"6","sn_net_rating_diff",1.00962786831547
"140",-11.1,"6","w60_en",0.404276531234868
"141",-11.1,"6","w_40",0.737636890754577
"142",-11.1,"6","w40_t",1.15714831623309
"143",-11.1,"6","w40_td",0.62148030190028
"144",-11.1,"6","w60_tf",-0.0172288808181182
"145",-5.7,"6","sn_net_rating_diff",6.11640461081871
"146",-5.7,"6","w60_en",5.30485304988296
"147",-5.7,"6","w_40",5.990853050951
"148",-5.7,"6","w40_t",6.42144322411006
"149",-5.7,"6","w40_td",5.47256397786639
"150",-5.7,"6","w60_tf",7.50347438781
"151",15.5,"6","sn_net_rating_diff",4.38202760393082
"152",15.5,"6","w60_en",2.69424743697083
"153",15.5,"6","w_40",5.09914474507998
"154",15.5,"6","w40_t",4.82022557630809
"155",15.5,"6","w40_td",4.97593284911859
"156",15.5,"6","w60_tf",4.37967463438822
"157",-8.8,"6","sn_net_rating_diff",-16.4304964787239
"158",-8.8,"6","w60_en",-13.7772659157109
"159",-8.8,"6","w_40",-16.7533661499741
"160",-8.8,"6","w40_t",-16.8419455709574
"161",-8.8,"6","w40_td",-15.7203031911642
"162",-8.8,"6","w60_tf",-16.6470663112067
"163",-16.5,"6","sn_net_rating_diff",-3.61537748338558
"164",-16.5,"6","w60_en",-4.57320755728493
"165",-16.5,"6","w_40",-3.22643628950504
"166",-16.5,"6","w40_t",-3.86313795525622
"167",-16.5,"6","w40_td",-3.37685272124307
"168",-16.5,"6","w60_tf",-3.68259986170549
"169",1,"6","sn_net_rating_diff",6.30911316713959
"170",1,"6","w60_en",4.51908707693279
"171",1,"6","w_40",6.11119472545859
"172",1,"6","w40_t",6.28662571428527
"173",1,"6","w40_td",5.34625141971404
"174",1,"6","w60_tf",5.9441190127219
"175",-2.9,"6","sn_net_rating_diff",-10.071114120135
"176",-2.9,"6","w60_en",-8.75230447773855
"177",-2.9,"6","w_40",-10.5308944624229
"178",-2.9,"6","w40_t",-11.0710140902672
"179",-2.9,"6","w40_td",-10.8976688487149
"180",-2.9,"6","w60_tf",-10.1727989900821
"181",-15.1,"6","sn_net_rating_diff",1.00962786831547
"182",-15.1,"6","w60_en",0.382723402182608
"183",-15.1,"6","w_40",0.895476801006846
"184",-15.1,"6","w40_t",1.24206067918314
"185",-15.1,"6","w40_td",0.911326489416884
"186",-15.1,"6","w60_tf",0.145130645998153
"187",-17.4,"6","sn_net_rating_diff",-9.3966341730119
"188",-17.4,"6","w60_en",-8.34670429375729
"189",-17.4,"6","w_40",-9.66763384107108
"190",-17.4,"6","w40_t",-10.2459279839605
"191",-17.4,"6","w40_td",-10.1430395393624
"192",-17.4,"6","w60_tf",-10.6022819073856
"193",7.1,"6","sn_net_rating_diff",8.13984445218792
"194",7.1,"6","w60_en",5.1635328940596
"195",7.1,"6","w_40",9.02062779131829
"196",7.1,"6","w40_t",8.62197450115345
"197",7.1,"6","w40_td",8.63489665571767
"198",7.1,"6","w60_tf",7.74121488079999
"199",0.1,"6","sn_net_rating_diff",2.64765059704292
"200",0.1,"6","w60_en",0.754406390304291
"201",0.1,"6","w_40",2.90214935323255
"202",0.1,"6","w40_t",2.40011939651044
"203",0.1,"6","w40_td",2.23910043480823
"204",0.1,"6","w60_tf",1.81112673964028
"205",-5.5,"6","sn_net_rating_diff",0.91327359015503
"206",-5.5,"6","w60_en",-0.500677183322996
"207",-5.5,"6","w_40",1.34103407715083
"208",-5.5,"6","w40_t",0.53540635330934
"209",-5.5,"6","w40_td",0.634680668648472
"210",-5.5,"6","w60_tf",0.722399613103898
"211",8.6,"6","sn_net_rating_diff",9.77786718091538
"212",8.6,"6","w60_en",7.62316377297799
"213",8.6,"6","w_40",10.0098168170729
"214",8.6,"6","w40_t",10.3712915738819
"215",8.6,"6","w40_td",9.72660946577507
"216",8.6,"6","w60_tf",9.52734422236422
"217",-20,"6","sn_net_rating_diff",-7.18048577532181
"218",-20,"6","w60_en",-6.64145703535196
"219",-20,"6","w_40",-6.86634739491602
"220",-20,"6","w40_t",-7.37925443145554
"221",-20,"6","w40_td",-6.79630219642291
"222",-20,"6","w60_tf",-6.70477957145673
"223",-5.4,"6","sn_net_rating_diff",-5.06069165579216
"224",-5.4,"6","w60_en",-4.113409151117
"225",-5.4,"6","w_40",-5.43786464347067
"226",-5.4,"6","w40_t",-5.45651928436501
"227",-5.4,"6","w40_td",-5.68451293877721
"228",-5.4,"6","w60_tf",-4.02681376736641
"229",-5.7,"6","sn_net_rating_diff",-8.52944566956795
"230",-5.7,"6","w60_en",-7.0187256539075
"231",-5.7,"6","w_40",-8.58043733203894
"232",-5.7,"6","w40_t",-8.4361515918497
"233",-5.7,"6","w40_td",-7.89054371667605
"234",-5.7,"6","w60_tf",-6.91027419291788
"235",-15.6,"6","sn_net_rating_diff",-2.6518347017812
"236",-15.6,"6","w60_en",-2.45589988642379
"237",-15.6,"6","w_40",-2.57876975694138
