"team_id","team_abbreviation","team_name","gp","w","l","min","min1","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","season"
1610612750,"MIN","Minnesota Timberwolves",81,16,65,241.54,241.54,88603.26,16.78,8.93,7.85,4.17,4.44,3.9,2014
1610612740,"NOP","New Orleans Pelicans",82,45,37,241.22,241.22,87535.76,16.58,9.13,7.44,4.13,4.44,3.8,2014
1610612752,"NYK","New York Knicks",81,17,64,242.16,242.16,89794.77,17.01,9.4,7.61,4.23,4.52,3.91,2014
1610612760,"OKC","Oklahoma City Thunder",82,45,37,241.83,241.83,88371.78,16.74,8.9,7.84,4.17,4.5,3.85,2014
1610612753,"ORL","Orlando Magic",82,25,57,240.91,240.91,88379.2,16.74,8.87,7.87,4.18,4.51,3.86,2014
1610612755,"PHI","Philadelphia 76ers",82,18,64,241.52,241.52,91838.06,17.39,9.34,8.05,4.33,4.65,4.01,2014
1610612756,"PHX","Phoenix Suns",82,39,43,242.44,242.44,87428.16,16.56,8.63,7.93,4.1,4.38,3.83,2014
1610612757,"POR","Portland Trail Blazers",82,51,31,242.13,242.13,89627.06,16.97,9.29,7.68,4.21,4.54,3.88,2014
1610612758,"SAC","Sacramento Kings",82,29,53,242.13,242.13,88883.51,16.83,9.04,7.8,4.17,4.45,3.89,2014
1610612759,"SAS","San Antonio Spurs",82,55,27,243.35,243.35,93333.52,17.68,9.74,7.93,4.37,4.75,3.97,2014
1610612761,"TOR","Toronto Raptors",82,49,33,242.13,242.13,87292.35,16.53,8.84,7.69,4.1,4.3,3.9,2014
1610612762,"UTA","Utah Jazz",82,38,44,240.3,240.3,89414.74,16.93,9.37,7.56,4.24,4.52,3.93,2014
1610612764,"WAS","Washington Wizards",82,46,36,243.35,243.35,88890.22,16.84,8.94,7.9,4.15,4.45,3.85,2014
1610612737,"ATL","Atlanta Hawks",82,48,34,241.83,241.83,90725.74,17.18,8.97,8.21,4.28,4.63,3.94,2015
