"player_id","player_name","team_id","team_abbreviation","gp","w","l","min","min1","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","date"
203118,"Mike Scott",1610612737,"ATL",1,0,1,5.48,5.48,2138,0.4,0.2,0.2,4.4,5.2,3.81,"10/27/2015"
2590,"Mo Williams",1610612739,"CLE",1,0,1,37.15,37.15,13608,2.58,1.41,1.17,4.21,4.4,3.99,"10/27/2015"
101126,"Nate Robinson",1610612740,"NOP",1,0,1,19.05,19.05,7212,1.37,0.76,0.61,4.52,4.87,4.12,"10/27/2015"
202703,"Nikola Mirotic",1610612741,"CHI",1,1,0,25.23,25.23,9785,1.85,1,0.86,4.52,4.83,4.22,"10/27/2015"
2200,"Pau Gasol",1610612741,"CHI",1,1,0,31.55,31.55,11919,2.26,1.21,1.04,4.38,4.75,3.67,"10/27/2015"
200794,"Paul Millsap",1610612737,"ATL",1,0,1,36,36,12584,2.38,1.24,1.14,4.01,4.39,3.38,"10/27/2015"
202704,"Reggie Jackson",1610612765,"DET",1,1,0,32.12,32.12,11500,2.18,1.25,0.93,4.12,4.11,3.71,"10/27/2015"
2210,"Richard Jefferson",1610612739,"CLE",1,0,1,16.95,16.95,6444,1.22,0.63,0.59,4.25,4.09,4.41,"10/27/2015"
201583,"Ryan Anderson",1610612740,"NOP",1,0,1,28.67,28.67,10488,1.99,1.04,0.94,4.19,4.1,3.86,"10/27/2015"
2733,"Shaun Livingston",1610612744,"GSW",1,1,0,21.33,21.33,8321,1.58,0.87,0.71,4.51,5.69,3.56,"10/27/2015"
1626169,"Stanley Johnson",1610612765,"DET",1,1,0,24.48,24.48,9685,1.83,1.05,0.79,4.42,4.55,4.26,"10/27/2015"
201939,"Stephen Curry",1610612744,"GSW",1,1,0,35.62,35.62,14650,2.77,1.58,1.2,4.72,5.34,4.09,"10/27/2015"
2581,"Steve Blake",1610612765,"DET",1,1,0,15.88,15.88,6269,1.19,0.62,0.56,4.56,4.52,4.6,"10/27/2015"
201959,"Taj Gibson",1610612741,"CHI",1,1,0,22.1,22.1,7984,1.51,0.8,0.71,4.08,4.5,3.68,"10/27/2015"
200757,"Thabo Sefolosha",1610612737,"ATL",1,0,1,18.93,18.93,7083,1.34,0.66,0.68,4.13,4.74,4.18,"10/27/2015"
201168,"Tiago Splitter",1610612737,"ATL",1,0,1,16.3,16.3,5858,1.11,0.6,0.51,4.06,4.67,3.5,"10/27/2015"
202389,"Timofey Mozgov",1610612739,"CLE",1,0,1,20.9,20.9,8494,1.61,0.87,0.74,4.6,4.86,4.3,"10/27/2015"
203503,"Tony Snell",1610612741,"CHI",1,1,0,28.8,28.8,10958,2.08,1.09,0.99,4.23,4.56,3.93,"10/27/2015"
202684,"Tristan Thompson",1610612739,"CLE",1,0,1,24.92,24.92,9864,1.87,1,0.87,4.58,4.79,4.36,"10/27/2015"
201166,"Aaron Brooks",1610612741,"CHI",1,1,0,16.4,16.4,6250,1.18,0.61,0.57,4.4,4.61,4.19,"10/28/2015"
203932,"Aaron Gordon",1610612753,"ORL",1,0,1,17.02,17.02,7219,1.37,0.78,0.59,4.95,5.29,4.56,"10/28/2015"
203940,"Adreian Payne",1610612750,"MIN",1,1,0,3.78,3.78,1497,0.28,0.16,0.12,4.77,5.34,3.92,"10/28/2015"
2744,"Al Jefferson",1610612766,"CHA",1,0,1,21.77,21.77,7651,1.45,0.81,0.64,3.87,4.15,3.56,"10/28/2015"
202329,"Al-Farouq Aminu",1610612757,"POR",1,1,0,31.13,31.13,12340,2.34,1.22,1.12,4.44,4.8,4.1,"10/28/2015"
202692,"Alec Burks",1610612762,"UTA",1,0,1,26.43,26.43,10025,1.9,0.96,0.94,4.31,4.72,3.94,"10/28/2015"
203458,"Alex Len",1610612756,"PHX",1,0,1,13.55,13.55,5107,0.97,0.53,0.43,4.42,4.4,3.56,"10/28/2015"
201582,"Alexis Ajinca",1610612740,"NOP",1,0,1,7.35,7.35,2590,0.49,0.27,0.22,4.09,4.48,3.61,"10/28/2015"
203459,"Allen Crabbe",1610612757,"POR",1,1,0,21.57,21.57,8820,1.67,0.97,0.7,4.73,5.42,4.01,"10/28/2015"
202087,"Alonzo Gee",1610612740,"NOP",1,0,1,17.92,17.92,7970,1.51,0.88,0.63,5.03,5.34,4.62,"10/28/2015"
101161,"Amir Johnson",1610612738,"BOS",1,1,0,20.03,20.03,7444,1.41,0.66,0.75,4.19,4.8,3.72,"10/28/2015"
2760,"Anderson Varejao",1610612744,"GSW",1,1,0,10.87,10.87,4126,0.78,0.44,0.34,4.44,4.51,3.28,"10/28/2015"
203083,"Andre Drummond",1610612765,"DET",1,1,0,36.12,36.12,11621,2.2,1.13,1.07,3.66,3.75,3.57,"10/28/2015"
203460,"Andre Roberson",1610612760,"OKC",1,1,0,16.58,16.58,7043,1.33,0.65,0.68,4.72,4.72,4.72,"10/28/2015"
