"idGame","slugTeam","namePlayer","groupStartPosition","idTeam","idPlayer","fgm","fga","pctFG","fg3m","fg3a","pctFG3","pctFT","fg2m","fg2a","pctFG2","cityTeam","teamName","isStarter","minExact","ftm","fta","oreb","dreb","treb","ast","stl","blk","tov","pf","pts","plusminus","season"
21200002,"BOS","Rajon Rondo","G",1610612738,200765,9,14,0.643,0,2,0,0.5,9,12,0.75,"Boston","Rajon",TRUE,43.55,2,4,0,7,7,13,0,0,4,4,20,-13,2013
21200002,"BOS","Jared Sullinger",NA,1610612738,203096,1,2,0.5,0,0,0,0,1,2,0.5,"Boston","Jared",TRUE,8.1,0,0,0,1,1,0,0,0,0,1,2,-3,2013
21200002,"BOS","Jason Terry",NA,1610612738,1891,2,7,0.286,0,3,0,1,2,4,0.5,"Boston","Jason",TRUE,24.85,4,4,0,0,0,1,1,0,3,3,8,-10,2013
21200002,"BOS","Jeff Green",NA,1610612738,201145,0,4,0,0,0,0,0.75,0,4,0,"Boston","Jeff",TRUE,23.0666666666667,3,4,0,3,3,0,1,0,1,0,3,-7,2013
21200002,"BOS","Leandro Barbosa",NA,1610612738,2571,6,8,0.75,3,3,1,0.5,3,5,0.6,"Boston","Leandro",TRUE,15.8333333333333,1,2,0,1,1,1,0,0,0,1,16,4,2013
21200002,"MIA","LeBron James","F",1610612748,2544,10,16,0.625,2,4,0.5,0.8,8,12,0.666666666666667,"Miami","LeBron",TRUE,28.8666666666667,4,5,1,9,10,3,2,0,0,2,26,12,2013
21200002,"MIA","Shane Battier","F",1610612748,2203,2,4,0.5,2,3,0.666666666666667,0,0,1,0,"Miami","Shane",TRUE,29.0833333333333,0,0,0,2,2,1,1,0,0,3,6,12,2013
21200002,"MIA","Chris Bosh","C",1610612748,2547,8,15,0.533,0,1,0,0.75,8,14,0.571428571428571,"Miami","Chris",TRUE,36.95,3,4,2,8,10,1,0,3,1,3,19,15,2013
21200002,"MIA","Dwyane Wade","G",1610612748,2548,10,22,0.455,0,0,0,0.818,10,22,0.454545454545455,"Miami","Dwyane",TRUE,35.1166666666667,9,11,2,1,3,4,2,1,4,3,29,-6,2013
21200002,"MIA","Mario Chalmers","G",1610612748,201596,3,7,0.429,0,1,0,1,3,6,0.5,"Miami","Mario",TRUE,36.4833333333333,2,2,0,1,1,11,3,0,1,3,8,11,2013
21200002,"MIA","Ray Allen",NA,1610612748,951,5,7,0.714,2,3,0.666666666666667,0.875,3,4,0.75,"Miami","Ray",TRUE,30.5833333333333,7,8,0,2,2,2,0,0,0,1,19,9,2013
21200002,"MIA","Udonis Haslem",NA,1610612748,2617,0,1,0,0,0,0,0,0,1,0,"Miami","Udonis",TRUE,11.05,0,0,0,3,3,0,0,0,1,1,0,-2,2013
21200002,"MIA","Rashard Lewis",NA,1610612748,1740,4,5,0.8,1,2,0.5,0.5,3,3,1,"Miami","Rashard",TRUE,18.9166666666667,1,2,0,5,5,1,0,1,0,1,10,1,2013
21200002,"MIA","Norris Cole",NA,1610612748,202708,1,2,0.5,1,2,0.5,0,0,0,0,"Miami","Norris",TRUE,6.35,0,0,0,0,0,1,0,0,1,2,3,5,2013
21200002,"MIA","Mike Miller",NA,1610612748,2034,0,0,0,0,0,0,0,0,0,0,"Miami","Mike",TRUE,6.6,0,0,0,0,0,1,0,0,0,1,0,8,2013
21200003,"DAL","Shawn Marion","F",1610612742,1890,5,11,0.455,0,0,0,1,5,11,0.454545454545455,"Dallas","Shawn",TRUE,32.8833333333333,1,1,2,7,9,4,1,1,2,4,11,-2,2013
21200003,"DAL","Elton Brand","F",1610612742,1882,3,10,0.3,0,0,0,1,3,10,0.3,"Dallas","Elton",TRUE,36.2,2,2,2,9,11,2,1,1,0,4,8,7,2013
21200003,"DAL","Brandan Wright","C",1610612742,201148,5,5,1,0,0,0,0.8,5,5,1,"Dallas","Brandan",TRUE,19.5166666666667,4,5,1,4,5,0,0,3,3,3,14,4,2013
21200003,"DAL","O.J. Mayo","G",1610612742,201564,4,13,0.308,2,4,0.5,1,2,9,0.222222222222222,"Dallas","O.J.",TRUE,31.1666666666667,2,2,1,0,1,3,1,0,2,0,12,-1,2013
21200003,"DAL","Darren Collison","G",1610612742,201954,8,12,0.667,0,1,0,0.5,8,11,0.727272727272727,"Dallas","Darren",TRUE,32,1,2,0,2,2,4,3,0,2,2,17,0,2013
21200003,"DAL","Vince Carter",NA,1610612742,1713,5,12,0.417,0,4,0,0.5,5,8,0.625,"Dallas","Vince",TRUE,26.8333333333333,1,2,0,4,4,2,1,0,1,3,11,13,2013
21200003,"DAL","Eddy Curry",NA,1610612742,2201,3,7,0.429,0,0,0,0.5,3,7,0.428571428571429,"Dallas","Eddy",TRUE,16.7333333333333,1,2,2,2,4,0,0,0,1,4,7,6,2013
21200003,"DAL","Jae Crowder",NA,1610612742,203109,3,7,0.429,2,4,0.5,0,1,3,0.333333333333333,"Dallas","Jae",TRUE,19.5,0,0,0,3,3,2,1,0,0,1,8,2,2013
21200003,"DAL","Rodrigue Beaubois",NA,1610612742,201958,4,8,0.5,1,2,0.5,1,3,6,0.5,"Dallas","Rodrigue",TRUE,16.8333333333333,2,2,1,0,1,5,1,0,0,2,11,9,2013
21200003,"DAL","Dahntay Jones",NA,1610612742,2563,0,0,0,0,0,0,0,0,0,0,"Dallas","Dahntay",TRUE,8.36666666666667,0,0,0,0,0,0,0,0,0,2,0,2,2013
21200003,"LAL","Metta World Peace","F",1610612747,1897,1,8,0.125,0,3,0,0.5,1,5,0.2,"Los Angeles","Metta",TRUE,36.4833333333333,1,2,2,6,8,4,3,0,3,1,3,-5,2013
21200003,"LAL","Pau Gasol","F",1610612747,2200,8,19,0.421,1,1,1,0.75,7,18,0.388888888888889,"Los Angeles","Pau",TRUE,40.3166666666667,6,8,4,9,13,6,0,3,2,2,23,3,2013
21200003,"LAL","Dwight Howard","C",1610612747,2730,8,12,0.667,0,0,0,0.214,8,12,0.666666666666667,"Los Angeles","Dwight",TRUE,37.9833333333333,3,14,4,6,10,2,0,1,3,6,19,-13,2013
21200003,"LAL","Kobe Bryant","G",1610612747,977,11,14,0.786,0,0,0,0,11,14,0.785714285714286,"Los Angeles","Kobe",TRUE,34.8666666666667,0,0,0,1,1,0,1,0,2,3,22,-1,2013
21200003,"LAL","Steve Nash","G",1610612747,959,3,9,0.333,1,4,0.25,0,2,5,0.4,"Los Angeles","Steve",TRUE,34.15,0,0,0,2,2,4,0,1,1,1,7,-3,2013
21200003,"LAL","Steve Blake",NA,1610612747,2581,0,2,0,0,1,0,0,0,1,0,"Los Angeles","Steve",TRUE,13.85,0,0,0,0,0,6,1,0,1,2,0,-5,2013
21200003,"LAL","Jodie Meeks",NA,1610612747,201975,1,3,0.333,1,3,0.333333333333333,0,0,0,0,"Los Angeles","Jodie",TRUE,13.0666666666667,0,0,0,2,2,0,0,0,1,1,3,-7,2013
21200003,"LAL","Antawn Jamison",NA,1610612747,1712,2,4,0.5,0,1,0,1,2,3,0.666666666666667,"Los Angeles","Antawn",TRUE,15.0333333333333,1,1,1,4,5,2,1,0,0,3,5,0,2013
21200003,"LAL","Jordan Hill",NA,1610612747,201941,4,6,0.667,0,0,0,0.167,4,6,0.666666666666667,"Los Angeles","Jordan",TRUE,14.25,1,6,4,1,5,0,0,0,1,2,9,-9,2013
21200004,"IND","Gerald Green","F",1610612754,101123,2,7,0.286,2,4,0.5,0,0,3,0,"Indiana","Gerald",TRUE,36.6833333333333,0,0,0,2,2,2,0,1,6,1,6,1,2013
21200004,"IND","David West","F",1610612754,2561,12,19,0.632,0,1,0,1,12,18,0.666666666666667,"Indiana","David",TRUE,27.9,1,1,0,2,2,1,1,0,0,3,25,0,2013
21200004,"IND","Roy Hibbert","C",1610612754,201579,6,13,0.462,0,0,0,0.5,6,13,0.461538461538462,"Indiana","Roy",TRUE,29.2333333333333,2,4,3,7,10,3,1,5,0,3,14,7,2013
21200004,"IND","Paul George","G",1610612754,202331,7,15,0.467,0,0,0,0,7,15,0.466666666666667,"Indiana","Paul",TRUE,35.1666666666667,0,0,2,13,15,5,0,1,5,2,14,3,2013
21200004,"IND","George Hill","G",1610612754,201588,3,9,0.333,1,4,0.25,0.5,2,5,0.4,"Indiana","George",TRUE,32.8,1,2,0,1,1,7,0,1,1,3,8,2,2013
21200004,"IND","Tyler Hansbrough",NA,1610612754,201946,2,5,0.4,0,0,0,1,2,5,0.4,"Indiana","Tyler",TRUE,20.1166666666667,4,4,0,3,3,1,0,0,0,0,8,2,2013
21200004,"IND","Sam Young",NA,1610612754,201970,2,2,1,0,0,0,0,2,2,1,"Indiana","Sam",TRUE,11.35,0,0,1,2,3,1,0,0,0,0,4,1,2013
21200004,"IND","D.J. Augustin",NA,1610612754,201571,1,4,0.25,1,1,1,0.667,0,3,0,"Indiana","D.J.",TRUE,15.2,2,3,0,1,1,2,1,0,2,1,5,0,2013
21200004,"IND","Ian Mahinmi",NA,1610612754,101133,0,1,0,0,0,0,0.5,0,1,0,"Indiana","Ian",TRUE,18.7333333333333,1,2,2,3,5,0,0,2,4,3,1,-5,2013
21200004,"IND","Lance Stephenson",NA,1610612754,202362,2,3,0.667,1,1,1,0,1,2,0.5,"Indiana","Lance",TRUE,12.8333333333333,0,0,1,3,4,0,0,0,0,0,5,-1,2013
21200004,"TOR","Landry Fields","F",1610612761,202361,0,6,0,0,1,0,0,0,5,0,"Toronto","Landry",TRUE,24.0833333333333,0,0,0,2,2,1,1,0,1,1,0,6,2013
21200004,"TOR","Andrea Bargnani","F",1610612761,200745,4,15,0.267,1,4,0.25,0.875,3,11,0.272727272727273,"Toronto","Andrea",TRUE,34.3666666666667,7,8,0,3,3,1,0,3,3,2,16,-3,2013
21200004,"TOR","Jonas Valanciunas","C",1610612761,202685,6,15,0.4,0,0,0,0,6,15,0.4,"Toronto","Jonas",TRUE,23.0833333333333,0,0,6,4,10,0,0,1,0,4,12,-7,2013
21200004,"TOR","DeMar DeRozan","G",1610612761,201942,5,14,0.357,0,0,0,0,5,14,0.357142857142857,"Toronto","DeMar",TRUE,27.4833333333333,0,0,3,2,5,1,0,1,0,1,10,-5,2013
21200004,"TOR","Kyle Lowry","G",1610612761,200768,6,11,0.545,2,3,0.666666666666667,1,4,8,0.5,"Toronto","Kyle",TRUE,36.2,7,7,1,6,7,8,5,0,2,3,21,-1,2013
21200004,"TOR","Terrence Ross",NA,1610612761,203082,0,2,0,0,2,0,0,0,0,0,"Toronto","Terrence",TRUE,6.4,0,0,0,1,1,0,0,0,0,0,0,4,2013
21200004,"TOR","Ed Davis",NA,1610612761,202334,2,4,0.5,0,0,0,0.5,2,4,0.5,"Toronto","Ed",TRUE,13.6333333333333,1,2,1,1,2,0,0,2,2,1,5,1,2013
21200004,"TOR","Jose Calderon",NA,1610612761,101181,6,12,0.5,3,6,0.5,0,3,6,0.5,"Toronto","Jose",TRUE,25.7166666666667,0,0,0,1,1,3,1,0,1,1,15,-8,2013
21200004,"TOR","Amir Johnson",NA,1610612761,101161,2,6,0.333,0,0,0,0.5,2,6,0.333333333333333,"Toronto","Amir",TRUE,17.0833333333333,1,2,3,4,7,0,2,1,0,3,5,4,2013
21200004,"TOR","Alan Anderson",NA,1610612761,101187,0,3,0,0,1,0,0,0,2,0,"Toronto","Alan",TRUE,18.8333333333333,0,0,1,1,2,4,3,0,1,0,0,1,2013
21200004,"TOR","Aaron Gray",NA,1610612761,201189,2,2,1,0,0,0,0,2,2,1,"Toronto","Aaron",TRUE,7.8,0,0,0,1,1,0,0,0,0,2,4,1,2013
21200004,"TOR","John Lucas III",NA,1610612761,101249,0,1,0,0,0,0,0,0,1,0,"Toronto","John",TRUE,5.31666666666667,0,0,0,1,1,0,0,0,0,0,0,-3,2013
21200005,"DEN","Jordan Hamilton","F",1610612743,202706,2,5,0.4,0,2,0,0,2,3,0.666666666666667,"Denver","Jordan",TRUE,12.85,0,0,0,6,6,2,0,0,0,2,4,-5,2013
21200005,"DEN","Kenneth Faried","F",1610612743,202702,3,9,0.333,0,0,0,0,3,9,0.333333333333333,"Denver","Kenneth",TRUE,17.1166666666667,0,0,5,2,7,0,1,0,2,2,6,-7,2013
21200005,"DEN","Kosta Koufos","C",1610612743,201585,2,3,0.667,0,0,0,0.5,2,3,0.666666666666667,"Denver","Kosta",TRUE,29.6666666666667,2,4,4,5,9,0,1,1,1,3,6,0,2013
21200005,"DEN","Andre Iguodala","G",1610612743,2738,5,13,0.385,0,4,0,0.333,5,9,0.555555555555556,"Denver","Andre",TRUE,34.8,1,3,1,3,4,4,2,1,4,0,11,-19,2013
21200005,"DEN","Ty Lawson","G",1610612743,201951,7,17,0.412,1,2,0.5,0.5,6,15,0.4,"Denver","Ty",TRUE,36.6333333333333,1,2,1,4,5,7,2,0,0,4,16,-3,2013
21200005,"DEN","Andre Miller",NA,1610612743,1889,5,15,0.333,0,1,0,0,5,14,0.357142857142857,"Denver","Andre",TRUE,32.35,0,0,1,6,7,5,2,0,3,2,10,0,2013
21200005,"DEN","Corey Brewer",NA,1610612743,201147,3,9,0.333,2,6,0.333333333333333,0,1,3,0.333333333333333,"Denver","Corey",TRUE,27.3666666666667,0,0,0,6,6,0,1,0,5,4,8,0,2013
21200005,"DEN","JaVale McGee",NA,1610612743,201580,2,5,0.4,0,0,0,0,2,5,0.4,"Denver","JaVale",TRUE,18.3333333333333,0,0,4,3,7,0,0,3,3,0,4,-9,2013
21200005,"DEN","Wilson Chandler",NA,1610612743,201163,2,8,0.25,0,1,0,0.5,2,7,0.285714285714286,"Denver","Wilson",TRUE,20.5666666666667,1,2,0,3,3,0,0,0,1,4,5,-7,2013
21200005,"DEN","Evan Fournier",NA,1610612743,203095,2,4,0.5,1,2,0.5,0,1,2,0.5,"Denver","Evan",TRUE,10.3166666666667,0,0,0,0,0,1,0,0,1,1,5,5,2013
21200005,"PHI","Evan Turner","F",1610612755,202323,2,7,0.286,0,1,0,1,2,6,0.333333333333333,"Philadelphia","Evan",TRUE,28.4666666666667,1,1,0,6,6,2,0,0,3,4,5,10,2013
21200005,"PHI","Thaddeus Young","F",1610612755,201152,6,12,0.5,0,0,0,0.333,6,12,0.5,"Philadelphia","Thaddeus",TRUE,36.45,1,3,1,4,5,1,2,1,1,2,13,18,2013
21200005,"PHI","Lavoy Allen","C",1610612755,202730,1,5,0.2,0,0,0,0.5,1,5,0.2,"Philadelphia","Lavoy",TRUE,16.9666666666667,1,2,4,0,4,0,0,1,1,0,3,-1,2013
