"","nameTable","typeMeasure","modeSearch","slugSeason","yearSeason","typeSeason","idPlayer","namePlayer","idPlayer1","typeFilter","gp","pctWins","fgm","fga","pctFG","fg3m","fg3a","pctFG3","pctFT","gpRank","pctWinsRank","minutesRank","fgmRank","fgaRank","pctFGRank","fg3mRank","fg3aRank","pctFG3Rank","pctFTRank","fg2m","fg2a","pctFG2","wins","losses","minutes","ftm","fta","oreb","dreb","treb","ast","tov","stl","blk","pf","pfd","pts","plusminus","fptsNBAActual","dd2","winsRank","lossesRank","rankFTM","rankFTA","orebRank","drebRank","trebRank","astRank","tovRank","stlRank","blkRank","blkaRank","pfRank","pfdRank","ptsRank","plusminusRank","fptsRank","dd2Rank","td3Rank","blka","td3","urlPlayerStats","urlPlayerThumbnail","urlPlayerHeadshot","urlPlayerActionPhoto","urlPlayerPhoto"
"4264","ByHalfPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1629168,"BJ Johnson",1629168,"Second Half",6,0.333,0.7,1.2,0.571,0.2,0.3,0.666666666666667,1,1,1,2,2,2,1,2,2,1,1,0.5,0.9,0.555555555555556,2,4,3.7,0.3,0.3,0,0.2,0.2,NA,0,0,NA,0.2,0.2,1.8,-1.7,2,NA,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,1,2,1,1,0,NA,"https://stats.nba.com/player/1629168","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://stats.nba.com/media/players/700/1629168.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"4265","ByPeriodPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1629168,"BJ Johnson",1629168,"1",2,0.5,2,2.5,0.8,0.5,1,0.5,0,4,1,1,1,1,2,1,1,2,2,1.5,1.5,1,1,1,6.7,0,0,0,2,2,NA,0.5,0.5,NA,0,0.5,4.5,0.5,7.9,NA,2,4,2,2,2,1,1,1,1,1,1,2,3,1,1,1,1,1,1,0,NA,"https://stats.nba.com/player/1629168","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://stats.nba.com/media/players/700/1629168.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"4266","ByPeriodPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1629168,"BJ Johnson",1629168,"2",3,0.333,0.3,2,0.167,0.3,1,0.3,0,2,3,2,4,2,4,2,1,3,2,0,1,0,1,2,4.6,0,0,0.7,0.3,1,NA,0.3,0.3,NA,1,0,1,-2.3,2.9,NA,2,1,2,2,1,2,2,1,2,2,1,1,1,3,4,4,2,1,1,0.7,NA,"https://stats.nba.com/player/1629168","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://stats.nba.com/media/players/700/1629168.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"4267","ByPeriodPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1629168,"BJ Johnson",1629168,"3",3,0.333,0.7,0.7,1,0.3,0.3,1,0,2,3,4,2,4,1,2,3,1,2,0.4,0.4,1,1,2,2.7,0,0,0,0.3,0.3,NA,0,0,NA,0,0,1.7,-1,2.1,NA,2,1,2,2,2,2,3,1,3,3,1,2,3,3,2,2,3,1,1,0,NA,"https://stats.nba.com/player/1629168","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://stats.nba.com/media/players/700/1629168.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"4268","ByPeriodPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1629168,"BJ Johnson",1629168,"4",4,0.5,0.5,1.3,0.4,0,0.3,0,1,1,1,3,3,3,3,4,4,4,1,0.5,1,0.5,2,2,3.5,0.5,0.5,0,0,0,NA,0,0,NA,0.3,0.3,1.5,-1.8,1.5,NA,1,1,1,1,2,4,4,1,3,3,1,2,2,2,3,3,4,1,1,0,NA,"https://stats.nba.com/player/1629168","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://stats.nba.com/media/players/700/1629168.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"4269","ByScoreMarginPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1629168,"BJ Johnson",1629168,"Tied",2,0,0,0,0,0,0,0,0,3,5,6,4,5,4,3,3,3,2,0,0,0,0,2,0.6,0,0,0,0,0,NA,0,0,NA,0,0,0,-2,0,NA,5,3,2,2,2,3,3,1,3,2,1,2,3,3,5,4,5,1,1,0,NA,"https://stats.nba.com/player/1629168","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://stats.nba.com/media/players/700/1629168.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"4270","ByScoreMarginPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1629168,"BJ Johnson",1629168,"1 - 5 Points",5,0.2,1.4,2.6,0.538,0.4,1,0.4,0,1,3,1,1,1,2,1,1,2,2,1,1.6,0.625,1,4,5.3,0,0,0.4,1,1.4,NA,0.2,0.4,NA,0.6,0.2,3.2,-0.6,5.9,NA,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,0.4,NA,"https://stats.nba.com/player/1629168","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://stats.nba.com/media/players/700/1629168.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"4271","ByScoreMarginPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1629168,"BJ Johnson",1629168,"6 - 10 Points",5,0.2,0.2,0.4,0.5,0.2,0.4,0.5,0,1,3,3,3,4,3,2,2,1,2,0,0,0,1,4,3.2,0,0,0,0.2,0.2,NA,0.2,0,NA,0.2,0,0.6,-0.2,0.6,NA,1,1,2,2,2,2,2,1,1,2,1,2,2,3,4,2,4,1,1,0,NA,"https://stats.nba.com/player/1629168","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://stats.nba.com/media/players/700/1629168.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"4272","ByScoreMarginPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1629168,"BJ Johnson",1629168,"11 - 15 Points",1,1,0,0,0,0,0,0,0,4,1,4,4,5,4,3,3,3,2,0,0,0,1,0,1,0,0,0,0,0,NA,0,0,NA,0,0,0,-4,0,NA,1,5,2,2,2,3,3,1,3,2,1,2,3,3,5,5,5,1,1,0,NA,"https://stats.nba.com/player/1629168","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://stats.nba.com/media/players/700/1629168.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"4273","ByScoreMarginPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1629168,"BJ Johnson",1629168,"16 - 20 Points",1,0,1,1,1,0,0,0,0,4,5,5,2,3,1,3,3,3,2,1,1,1,0,1,0.8,0,0,0,0,0,NA,0,0,NA,0,0,2,2,2,NA,5,4,2,2,2,3,3,1,3,2,1,2,3,3,2,1,2,1,1,0,NA,"https://stats.nba.com/player/1629168","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://stats.nba.com/media/players/700/1629168.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
