Date,Team,Season,Month,Week,Opponent,Visitor,City,Win,Distance,Route,Rest,TZ,shift,direction,Latitude,Longitude,B2B,b2b_2nd,b2b_1st,three_in_four,four_in_five,five_in_seven,flight_duration,game_id,matchup,score_diff,traveling_west,traveling_east,avg_score_diff_home,avg_score_diff_away,adjusted_score_diff,w,l,w_lpercent,ps_g,pa_g,opp_win_percent,win_percent_diff
2014-10-28,Dallas Mavericks,2014-15,Oct,43,San Antonio Spurs,TRUE,San Antonio,FALSE,252,Dallas - San Antonio,15,America/Chicago,0,-,29.46,-98.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,21400002,DAL @ SAS,-1,FALSE,FALSE,4.195121951219512,1.6097560975609757,-2.6097560975609757,0,1,0,100,101,1,-1
2014-10-28,Houston Rockets,2014-15,Oct,43,Los Angeles Lakers,TRUE,Los Angeles,TRUE,1380,Houston - Los Angeles,15,America/Los_Angeles,-2,West,34.11,-118.41,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2.51,21400003,HOU @ LAL,18,TRUE,FALSE,5.560975609756097,1.3170731707317074,16.682926829268293,1,0,1,108,90,0,1
2014-10-28,Los Angeles Lakers,2014-15,Oct,43,Houston Rockets,FALSE,Los Angeles,FALSE,0,No Travel,15,America/Los_Angeles,0,-,34.11,-118.41,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,21400003,LAL vs. HOU,-18,FALSE,FALSE,-5.219512195121951,-8.463414634146341,-12.78048780487805,0,1,0,90,108,1,-1
2014-10-28,New Orleans Pelicans,2014-15,Oct,43,Orlando Magic,FALSE,New Orleans,TRUE,0,No Travel,15,America/Chicago,0,-,30.07,-89.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21400001,NOP vs. ORL,17,FALSE,FALSE,4.073170731707317,-2.4878048780487805,12.926829268292682,1,0,1,101,84,0,1
2014-10-28,Orlando Magic,2014-15,Oct,43,New Orleans Pelicans,TRUE,New Orleans,FALSE,527,Orlando - New Orleans,15,America/Chicago,-1,West,30.07,-89.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,21400001,ORL @ NOP,-17,TRUE,FALSE,-5.219512195121951,-6.219512195121951,-10.78048780487805,0,1,0,84,101,1,-1
2014-10-28,San Antonio Spurs,2014-15,Oct,43,Dallas Mavericks,FALSE,San Antonio,TRUE,0,No Travel,15,America/Chicago,0,-,29.46,-98.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21400002,SAS vs. DAL,1,FALSE,FALSE,9.585365853658537,2.8048780487804876,-8.585365853658537,1,0,1,101,100,0,1
2014-10-29,Atlanta Hawks,2014-15,Oct,44,Toronto Raptors,TRUE,Toronto,FALSE,735,Atlanta - Toronto,15,America/Toronto,0,-,43.65,-79.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.34,21400008,ATL @ TOR,-7,FALSE,FALSE,8.536585365853659,2.317073170731707,-9.317073170731707,0,1,0,102,109,1,-1
2014-10-29,Boston Celtics,2014-15,Oct,44,Brooklyn Nets,FALSE,Boston,TRUE,0,No Travel,15,America/New_York,0,-,42.34,-71.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21400006,BOS vs. BKN,16,FALSE,FALSE,1.5609756097560976,-1.2439024390243902,14.439024390243903,1,0,1,121,105,0,1
2014-10-29,Brooklyn Nets,2014-15,Oct,44,Boston Celtics,TRUE,Boston,FALSE,190,New York - Boston,15,America/New_York,0,-,42.34,-71.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,21400006,BKN @ BOS,-16,FALSE,FALSE,-2.317073170731707,-3.4390243902439024,-12.560975609756097,0,1,0,105,121,1,-1
2014-10-29,Charlotte Hornets,2014-15,Oct,44,Milwaukee Bucks,FALSE,Charlotte,TRUE,0,No Travel,15,America/New_York,0,-,35.2,-80.83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21400004,CHA vs. MIL,2,FALSE,FALSE,-1.6097560975609757,-4.7317073170731705,3.6097560975609757,1,0,1,108,106,0,1
2014-10-29,Chicago Bulls,2014-15,Oct,44,New York Knicks,TRUE,New York,TRUE,718,Chicago - New York,15,America/New_York,1,East,40.67,-73.94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.31,21400010,CHI @ NYK,24,FALSE,TRUE,4.317073170731708,1.6829268292682926,22.317073170731707,1,0,1,104,80,0,1
2014-10-29,Denver Nuggets,2014-15,Oct,44,Detroit Pistons,FALSE,Denver,TRUE,0,No Travel,15,America/Denver,0,-,39.77,-104.87,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21400011,DEN vs. DET,10,FALSE,FALSE,0.3170731707317073,-7.414634146341464,9.682926829268293,1,0,1,89,79,0,1
2014-10-29,Detroit Pistons,2014-15,Oct,44,Denver Nuggets,TRUE,Denver,FALSE,1146,Detroit - Denver,15,America/Denver,-2,West,39.77,-104.87,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2.08,21400011,DET @ DEN,-10,TRUE,FALSE,0.34146341463414637,-2.341463414634146,-7.658536585365853,0,1,0,79,89,1,-1
2014-10-29,Golden State Warriors,2014-15,Oct,44,Sacramento Kings,TRUE,Sacramento,TRUE,77,San Francisco - Sacramento,15,America/Los_Angeles,0,-,38.57,-121.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,21400014,GSW @ SAC,18,FALSE,FALSE,14.585365853658537,5.609756097560975,12.390243902439025,1,0,1,95,77,0,1
2014-10-29,Houston Rockets,2014-15,Oct,44,Utah Jazz,TRUE,Salt Lake City,TRUE,582,Los Angeles - Salt Lake City,0,America/Denver,1,East,40.78,-111.93,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1.06,21400012,HOU @ UTA,11,FALSE,TRUE,5.560975609756097,1.3170731707317074,9.682926829268293,2,0,1,106,91.5,0,1
2014-10-29,Indiana Pacers,2014-15,Oct,44,Philadelphia 76ers,FALSE,Indianapolis,TRUE,0,No Travel,15,America/Indiana/Indianapolis,0,-,39.78,-86.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21400005,IND vs. PHI,12,FALSE,FALSE,2.707317073170732,-2.1463414634146343,9.292682926829269,1,0,1,103,91,0,1
2014-10-29,Los Angeles Lakers,2014-15,Oct,44,Phoenix Suns,TRUE,Phoenix,FALSE,366,Los Angeles - Phoenix,0,America/Phoenix,1,East,33.54,-112.07,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,21400013,LAL @ PHX,-20,FALSE,TRUE,-5.219512195121951,-8.463414634146341,-11.536585365853659,0,2,0,94.5,113.5,1,-1
2014-10-29,Memphis Grizzlies,2014-15,Oct,44,Minnesota Timberwolves,FALSE,Memphis,TRUE,0,No Travel,15,America/Chicago,0,-,35.11,-90.01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21400009,MEM vs. MIN,4,FALSE,FALSE,6.2926829268292686,0.1951219512195122,-2.2926829268292686,1,0,1,105,101,0,1
2014-10-29,Miami Heat,2014-15,Oct,44,Washington Wizards,FALSE,Miami,TRUE,0,No Travel,15,America/New_York,0,-,25.78,-80.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21400007,MIA vs. WAS,12,FALSE,FALSE,-1.024390243902439,-4.170731707317073,13.024390243902438,1,0,1,107,95,0,1
2014-10-29,Milwaukee Bucks,2014-15,Oct,44,Charlotte Hornets,TRUE,Charlotte,FALSE,664,Milwaukee - Charlotte,15,America/New_York,1,East,35.2,-80.83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.21,21400004,MIL @ CHA,-2,FALSE,TRUE,1.6341463414634145,-0.7804878048780488,-1.2195121951219512,0,1,0,106,108,1,-1
