Date,Team,Season,Month,Week,Opponent,Visitor,City,Win,Distance,Route,Rest,TZ,shift,direction,Latitude,Longitude,B2B,b2b_2nd,b2b_1st,three_in_four,four_in_five,five_in_seven,flight_duration,game_id,matchup,score_diff,traveling_west,traveling_east,avg_score_diff_home,avg_score_diff_away,adjusted_score_diff,w,l,w_lpercent,ps_g,pa_g,opp_win_percent,win_percent_diff
2019-10-23,Minnesota Timberwolves,2019-20,Oct,43,Brooklyn Nets,TRUE,New York,TRUE,1021,Minneapolis - New York,15,America/New_York,1,East,40.67,-73.94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.86,21900006,MIN @ BKN,1,FALSE,TRUE,-4.65625,-3.9375,4.9375,1,0,1,127,126,0,1
2019-10-23,New York Knicks,2019-20,Oct,43,San Antonio Spurs,TRUE,San Antonio,FALSE,1584,New York - San Antonio,15,America/Chicago,-1,West,29.46,-98.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.88,21900010,NYK @ SAS,-9,TRUE,FALSE,-5.090909090909091,-7.818181818181818,-1.1818181818181817,0,1,0,111,120,1,-1
2019-10-23,Oklahoma City Thunder,2019-20,Oct,43,Utah Jazz,TRUE,Salt Lake City,FALSE,864,Oklahoma City - Salt Lake City,15,America/Denver,-1,West,40.78,-111.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.57,21900011,OKC @ UTA,-5,TRUE,FALSE,4.216216216216216,-0.37142857142857144,-4.628571428571428,0,1,0,95,100,1,-1
2019-10-23,Orlando Magic,2019-20,Oct,43,Cleveland Cavaliers,FALSE,Orlando,TRUE,0,No Travel,15,America/New_York,0,-,28.5,-81.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21900005,ORL vs. CLE,9,FALSE,FALSE,-0.34285714285714286,-1.631578947368421,9.342857142857143,1,0,1,94,85,0,1
2019-10-23,Philadelphia 76ers,2019-20,Oct,43,Boston Celtics,FALSE,Philadelphia,TRUE,0,No Travel,15,America/New_York,0,-,40.01,-75.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21900008,PHI vs. BOS,14,FALSE,FALSE,9,-3.710526315789474,5,1,0,1,107,93,0,1
2019-10-23,Phoenix Suns,2019-20,Oct,43,Sacramento Kings,FALSE,Phoenix,TRUE,0,No Travel,15,America/Phoenix,0,-,33.54,-112.07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21900012,PHX vs. SAC,29,FALSE,FALSE,1.8717948717948718,-1.6764705882352942,27.128205128205128,1,0,1,124,95,0,1
2019-10-23,Portland Trail Blazers,2019-20,Oct,43,Denver Nuggets,FALSE,Portland,FALSE,0,No Travel,15,America/Los_Angeles,0,-,45.54,-122.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21900013,POR vs. DEN,-8,FALSE,FALSE,2,-4.131578947368421,-10,0,1,0,100,108,1,-1
2019-10-23,Sacramento Kings,2019-20,Oct,43,Phoenix Suns,TRUE,Phoenix,FALSE,629,Sacramento - Phoenix,15,America/Phoenix,1,East,33.54,-112.07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.14,21900012,SAC @ PHX,-29,FALSE,TRUE,-1.8571428571428572,-2.2162162162162162,-26.783783783783782,0,1,0,95,124,1,-1
2019-10-23,San Antonio Spurs,2019-20,Oct,43,New York Knicks,FALSE,San Antonio,TRUE,0,No Travel,15,America/Chicago,0,-,29.46,-98.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21900010,SAS vs. NYK,9,FALSE,FALSE,1.7941176470588236,-3.7837837837837838,7.205882352941177,1,0,1,120,111,0,1
2019-10-23,Utah Jazz,2019-20,Oct,43,Oklahoma City Thunder,FALSE,Salt Lake City,TRUE,0,No Travel,15,America/Denver,0,-,40.78,-111.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21900011,UTA vs. OKC,5,FALSE,FALSE,3.8857142857142857,1.135135135135135,1.1142857142857143,1,0,1,100,95,0,1
