Date,Team,Season,Month,Week,Opponent,Visitor,City,Win,Distance,Route,Rest,TZ,shift,direction,Latitude,Longitude,B2B,b2b_2nd,b2b_1st,three_in_four,four_in_five,five_in_seven,flight_duration,game_id,matchup,score_diff,traveling_west,traveling_east,avg_score_diff_home,avg_score_diff_away,adjusted_score_diff,w,l,w_lpercent,ps_g,pa_g,opp_win_percent,win_percent_diff
2012-10-30,Boston Celtics,2012-13,Oct,44,Miami Heat,TRUE,Miami,FALSE,1258,Boston - Miami,15,America/New_York,0,-,25.78,-80.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.29,21200002,BOS @ MIA,-13,FALSE,FALSE,4.55,-4.878048780487805,-8.121951219512194,0,1,0,107,120,1,-1
2012-10-30,Cleveland Cavaliers,2012-13,Oct,44,Washington Wizards,FALSE,Cleveland,TRUE,0,No Travel,15,America/New_York,0,-,41.48,-81.68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21200001,CLE vs. WAS,10,FALSE,FALSE,-3.024390243902439,-6.341463414634147,13.024390243902438,1,0,1,94,84,0,1
2012-10-30,Dallas Mavericks,2012-13,Oct,44,Los Angeles Lakers,TRUE,Los Angeles,TRUE,1249,Dallas - Los Angeles,15,America/Los_Angeles,-2,West,34.11,-118.41,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2.27,21200003,DAL @ LAL,8,TRUE,FALSE,2.3902439024390243,-3.5853658536585367,11.585365853658537,1,0,1,99,91,0,1
2012-10-30,Los Angeles Lakers,2012-13,Oct,44,Dallas Mavericks,FALSE,Los Angeles,FALSE,0,No Travel,15,America/Los_Angeles,0,-,34.11,-118.41,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,21200003,LAL vs. DAL,-8,FALSE,FALSE,5.219512195121951,-2.902439024390244,-13.21951219512195,0,1,0,91,99,1,-1
2012-10-30,Miami Heat,2012-13,Oct,44,Boston Celtics,FALSE,Miami,TRUE,0,No Travel,15,America/New_York,0,-,25.78,-80.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21200002,MIA vs. BOS,13,FALSE,FALSE,10.731707317073171,5,2.2682926829268286,1,0,1,120,107,0,1
2012-10-30,Washington Wizards,2012-13,Oct,44,Cleveland Cavaliers,TRUE,Cleveland,FALSE,303,Washington - Cleveland,15,America/New_York,0,-,41.48,-81.68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,21200001,WAS @ CLE,-10,FALSE,FALSE,2.707317073170732,-7.780487804878049,-2.2195121951219514,0,1,0,84,94,1,-1
2012-10-31,Chicago Bulls,2012-13,Oct,44,Sacramento Kings,FALSE,Chicago,TRUE,0,No Travel,15,America/Chicago,0,-,41.84,-87.68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21200007,CHI vs. SAC,6,FALSE,FALSE,2.048780487804878,-1.4146341463414633,3.951219512195122,1,0,1,93,87,0,1
2012-10-31,Dallas Mavericks,2012-13,Oct,44,Utah Jazz,TRUE,Salt Lake City,FALSE,582,Los Angeles - Salt Lake City,0,America/Denver,1,East,40.78,-111.93,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1.06,21200009,DAL @ UTA,-19,FALSE,TRUE,2.3902439024390243,-3.5853658536585367,-15.414634146341463,1,1,0.5,96.5,102,1,-0.5
2012-10-31,Denver Nuggets,2012-13,Oct,44,Philadelphia 76ers,TRUE,Philadelphia,FALSE,1570,Denver - Philadelphia,15,America/New_York,2,East,40.01,-75.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.85,21200005,DEN @ PHI,-9,FALSE,TRUE,10.731707317073171,-0.5609756097560976,-8.439024390243903,0,1,0,75,84,1,-1
2012-10-31,Detroit Pistons,2012-13,Oct,44,Houston Rockets,FALSE,Detroit,FALSE,0,No Travel,15,America/Detroit,0,-,42.38,-83.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21200006,DET vs. HOU,-9,FALSE,FALSE,-0.5853658536585366,-7.390243902439025,-8.414634146341463,0,1,0,96,105,1,-1
2012-10-31,Golden State Warriors,2012-13,Oct,44,Phoenix Suns,TRUE,Phoenix,TRUE,652,San Francisco - Phoenix,15,America/Phoenix,1,East,33.54,-112.07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.19,21200010,GSW @ PHX,2,FALSE,TRUE,4.146341463414634,-2.3658536585365852,4.365853658536585,1,0,1,87,85,0,1
2012-10-31,Houston Rockets,2012-13,Oct,44,Detroit Pistons,TRUE,Detroit,TRUE,1107,Houston - Detroit,15,America/Detroit,1,East,42.38,-83.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.01,21200006,HOU @ DET,9,FALSE,TRUE,7.2926829268292686,-0.34146341463414637,9.341463414634147,1,0,1,105,96,0,1
2012-10-31,Indiana Pacers,2012-13,Oct,44,Toronto Raptors,TRUE,Toronto,TRUE,440,Indianapolis - Toronto,15,America/Toronto,0,-,43.65,-79.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,21200004,IND @ TOR,2,FALSE,FALSE,7.7073170731707314,0.25,1.75,1,0,1,90,88,0,1
2012-10-31,Los Angeles Clippers,2012-13,Oct,44,Memphis Grizzlies,FALSE,Los Angeles,TRUE,0,No Travel,15,America/Los_Angeles,0,-,34.11,-118.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21200011,LAC vs. MEM,9,FALSE,FALSE,10.829268292682928,2.073170731707317,-1.8292682926829276,1,0,1,101,92,0,1
2012-10-31,Los Angeles Lakers,2012-13,Oct,44,Portland Trail Blazers,TRUE,Portland,FALSE,821,Los Angeles - Portland,0,America/Los_Angeles,0,-,45.54,-122.66,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1.49,21200012,LAL @ POR,-10,FALSE,FALSE,5.219512195121951,-2.902439024390244,-7.097560975609756,0,2,0,98.5,107.5,1,-1
2012-10-31,Memphis Grizzlies,2012-13,Oct,44,Los Angeles Clippers,TRUE,Los Angeles,FALSE,1612,Memphis - Los Angeles,15,America/Los_Angeles,-2,West,34.11,-118.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.93,21200011,MEM @ LAC,-9,TRUE,FALSE,6.2926829268292686,2,-11,0,1,0,92,101,1,-1
2012-10-31,New Orleans Hornets,2012-13,Oct,44,San Antonio Spurs,FALSE,New Orleans,FALSE,0,No Travel,15,America/Chicago,0,-,30.07,-89.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21200008,NOH vs. SAS,-4,FALSE,FALSE,-2.1463414634146343,-5.585365853658536,-1.8536585365853657,0,1,0,95,99,1,-1
2012-10-31,Philadelphia 76ers,2012-13,Oct,44,Denver Nuggets,FALSE,Philadelphia,TRUE,0,No Travel,15,America/New_York,0,-,40.01,-75.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21200005,PHI vs. DEN,9,FALSE,FALSE,-1.2195121951219512,-5.463414634146342,10.21951219512195,1,0,1,84,75,0,1
2012-10-31,Phoenix Suns,2012-13,Oct,44,Golden State Warriors,FALSE,Phoenix,FALSE,0,No Travel,15,America/Phoenix,0,-,33.54,-112.07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21200010,PHX vs. GSW,-2,FALSE,FALSE,-3.1951219512195124,-9.731707317073171,1.1951219512195124,0,1,0,85,87,1,-1
2012-10-31,Portland Trail Blazers,2012-13,Oct,44,Los Angeles Lakers,FALSE,Portland,TRUE,0,No Travel,15,America/Los_Angeles,0,-,45.54,-122.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21200012,POR vs. LAL,10,FALSE,FALSE,0.34146341463414637,-6.682926829268292,9.658536585365853,1,0,1,116,106,0,1
2012-10-31,Sacramento Kings,2012-13,Oct,44,Chicago Bulls,TRUE,Chicago,FALSE,1787,Sacramento - Chicago,15,America/Chicago,2,East,41.84,-87.68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.25,21200007,SAC @ CHI,-6,FALSE,TRUE,-0.24390243902439024,-9.512195121951219,3.512195121951219,0,1,0,87,93,1,-1
2012-10-31,San Antonio Spurs,2012-13,Oct,44,New Orleans Hornets,TRUE,New Orleans,TRUE,516,San Antonio - New Orleans,15,America/Chicago,0,-,30.07,-89.93,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,21200008,SAS @ NOH,4,FALSE,FALSE,10.268292682926829,2.5365853658536586,1.4634146341463414,1,0,1,99,95,0,1
2012-10-31,Toronto Raptors,2012-13,Oct,44,Indiana Pacers,FALSE,Toronto,FALSE,0,No Travel,15,America/Toronto,0,-,43.65,-79.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21200004,TOR vs. IND,-2,FALSE,FALSE,1.829268292682927,-4.780487804878049,-3.8292682926829267,0,1,0,88,90,1,-1
2012-10-31,Utah Jazz,2012-13,Oct,44,Dallas Mavericks,FALSE,Salt Lake City,TRUE,0,No Travel,15,America/Denver,0,-,40.78,-111.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21200009,UTA vs. DAL,19,FALSE,FALSE,5.097560975609756,-5.2682926829268295,13.902439024390244,1,0,1,113,94,0.5,0.5
2012-11-01,Oklahoma City Thunder,2012-13,Nov,44,San Antonio Spurs,TRUE,San Antonio,FALSE,420,Oklahoma City - San Antonio,15,America/Chicago,0,-,29.46,-98.51,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,21200014,OKC @ SAS,-2,FALSE,FALSE,13,5.414634146341464,-7.414634146341464,0,1,0,84,86,1,-1
2012-11-01,San Antonio Spurs,2012-13,Nov,44,Oklahoma City Thunder,FALSE,San Antonio,TRUE,516,New Orleans - San Antonio,0,America/Chicago,0,-,29.46,-98.51,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,21200014,SAS vs. OKC,2,FALSE,FALSE,10.268292682926829,2.5365853658536586,-8.268292682926829,2,0,1,92.5,89.5,0,1
2012-11-02,Atlanta Hawks,2012-13,Nov,44,Houston Rockets,FALSE,Atlanta,FALSE,0,No Travel,15,America/New_York,0,-,33.76,-84.42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21200018,ATL vs. HOU,-7,FALSE,FALSE,1.0731707317073171,-0.2682926829268293,-8.073170731707318,0,1,0,102,109,1,-1
2012-11-02,Boston Celtics,2012-13,Nov,44,Milwaukee Bucks,FALSE,Boston,FALSE,1258,Miami - Boston,2,America/New_York,0,-,42.34,-71.02,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2.29,21200017,BOS vs. MIL,-11,FALSE,FALSE,4.55,-4.878048780487805,-15.55,0,2,0,97.5,109.5,1,-1
2012-11-02,Charlotte Bobcats,2012-13,Nov,44,Indiana Pacers,FALSE,Charlotte,TRUE,0,No Travel,15,America/New_York,0,-,35.2,-80.83,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,21200015,CHA vs. IND,1,FALSE,FALSE,-4.219512195121951,-14.24390243902439,5.219512195121951,1,0,1,90,89,0.5,0.5
2012-11-02,Chicago Bulls,2012-13,Nov,44,Cleveland Cavaliers,TRUE,Cleveland,TRUE,311,Chicago - Cleveland,1,America/New_York,1,East,41.48,-81.68,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,21200019,CHI @ CLE,29,FALSE,TRUE,2.048780487804878,-1.4146341463414633,30.414634146341463,2,0,1,104,86.5,0.5,0.5
2012-11-02,Cleveland Cavaliers,2012-13,Nov,44,Chicago Bulls,FALSE,Cleveland,FALSE,0,No Travel,2,America/New_York,0,-,41.48,-81.68,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,21200019,CLE vs. CHI,-29,FALSE,FALSE,-3.024390243902439,-6.341463414634147,-25.975609756097562,1,1,0.5,90,99.5,1,-0.5
2012-11-02,Denver Nuggets,2012-13,Nov,44,Orlando Magic,TRUE,Orlando,FALSE,871,Philadelphia - Orlando,1,America/New_York,0,-,28.5,-81.37,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1.58,21200016,DEN @ ORL,-13,FALSE,FALSE,10.731707317073171,-0.5609756097560976,-12.439024390243903,0,2,0,82,93,1,-1
2012-11-02,Detroit Pistons,2012-13,Nov,44,Phoenix Suns,TRUE,Phoenix,FALSE,1683,Detroit - Phoenix,1,America/Phoenix,-2,West,33.54,-112.07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.06,21200024,DET @ PHX,-3,TRUE,FALSE,-0.5853658536585366,-7.390243902439025,4.390243902439025,0,2,0,92.5,98.5,0.5,-0.5
2012-11-02,Golden State Warriors,2012-13,Nov,44,Memphis Grizzlies,FALSE,San Francisco,FALSE,652,Phoenix - San Francisco,1,America/Los_Angeles,-1,West,37.77,-122.45,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1.19,21200026,GSW vs. MEM,-10,TRUE,FALSE,4.146341463414634,-2.3658536585365852,-14.146341463414634,1,1,0.5,90.5,94.5,0.5,0
2012-11-02,Houston Rockets,2012-13,Nov,44,Atlanta Hawks,TRUE,Atlanta,TRUE,600,Detroit - Atlanta,1,America/New_York,0,-,33.76,-84.42,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1.09,21200018,HOU @ ATL,7,FALSE,FALSE,7.2926829268292686,-0.34146341463414637,7.341463414634147,2,0,1,107,99,0,1
2012-11-02,Indiana Pacers,2012-13,Nov,44,Charlotte Bobcats,TRUE,Charlotte,FALSE,589,Toronto - Charlotte,1,America/New_York,0,-,35.2,-80.83,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1.07,21200015,IND @ CHA,-1,FALSE,FALSE,7.7073170731707314,0.25,-1.25,1,1,0.5,89.5,89,1,-0.5
2012-11-02,Los Angeles Clippers,2012-13,Nov,44,Los Angeles Lakers,TRUE,Los Angeles,TRUE,0,No Travel,1,America/Los_Angeles,0,-,34.11,-118.41,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,21200025,LAC @ LAL,10,FALSE,FALSE,10.829268292682928,2.073170731707317,7.926829268292683,2,0,1,103,93.5,0,1
2012-11-02,Los Angeles Lakers,2012-13,Nov,44,Los Angeles Clippers,FALSE,Los Angeles,FALSE,821,Portland - Los Angeles,1,America/Los_Angeles,0,-,34.11,-118.41,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.49,21200025,LAL vs. LAC,-10,FALSE,FALSE,5.219512195121951,-2.902439024390244,-15.21951219512195,0,3,0,97.3,106.7,1,-1
2012-11-02,Memphis Grizzlies,2012-13,Nov,44,Golden State Warriors,TRUE,San Francisco,TRUE,339,Los Angeles - San Francisco,1,America/Los_Angeles,0,-,37.77,-122.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,21200026,MEM @ GSW,10,FALSE,FALSE,6.2926829268292686,2,8,1,1,0.5,98,97.5,0.5,0
