"player_id","date","player_name","team_id","team_abbreviation","gp","w","l","min.x","drives","drive_fgm","drive_fga","drive_fg_pct","drive_ftm","drive_fta","drive_ft_pct","drive_pts","drive_pts_pct","drive_passes","drive_passes_pct","drive_ast","drive_ast_pct","drive_tov","drive_tov_pct","drive_pf","drive_pf_pct","min.y","min1","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def"
101107,"11/30/2019","Marvin Williams",1610612749,"MIL",1,0,1,18.6,2,0,1,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,18.63,18.63,7009,1.33,0.7,0.62,3.96,4.21,3.7
101107,"11/5/2019","Marvin Williams",1610612749,"MIL",1,1,0,16.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.63,16.63,6357,1.2,0.6,0.6,3.97,3.99,3.95
101107,"11/7/2019","Marvin Williams",1610612749,"MIL",1,0,1,17.6,2,1,2,0.5,0,0,0,2,1,0,0,0,0,0,0,0,0,17.58,17.58,6889,1.3,0.68,0.62,4.11,4.31,3.9
101107,"11/9/2019","Marvin Williams",1610612749,"MIL",1,0,1,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.32,16.32,6648,1.26,0.65,0.61,4.42,4.6,4.22
101107,"12/17/2019","Marvin Williams",1610612749,"MIL",1,1,0,25.3,3,1,1,1,0,0,0,2,0.667,1,0.333,0,0,1,0.333,0,0,25.25,25.25,9556,1.81,0.98,0.83,3.99,3.99,3.99
101107,"12/18/2019","Marvin Williams",1610612749,"MIL",1,0,1,29.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.3,29.3,10685,2.02,1.03,0.99,3.76,3.83,3.68
101107,"12/2/2019","Marvin Williams",1610612749,"MIL",1,0,1,31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.2,31.2,11855,2.25,1.25,1,3.92,4.04,3.79
101107,"12/21/2019","Marvin Williams",1610612749,"MIL",1,0,1,24.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.93,24.93,9531,1.81,0.96,0.85,4.01,4.64,3.42
101107,"12/22/2019","Marvin Williams",1610612749,"MIL",1,0,1,18.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,18.75,6939,1.31,0.71,0.6,3.8,3.7,3.93
101107,"12/27/2019","Marvin Williams",1610612749,"MIL",1,0,1,14.4,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,14.35,14.35,5426,1.03,0.56,0.46,3.92,4.27,4.37
