"player_id","date","player_name","team_id","team_abbreviation","gp","w","l","min.x","drives","drive_fgm","drive_fga","drive_fg_pct","drive_ftm","drive_fta","drive_ft_pct","drive_pts","drive_pts_pct","drive_passes","drive_passes_pct","drive_ast","drive_ast_pct","drive_tov","drive_tov_pct","drive_pf","drive_pf_pct","min.y","min1","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def"
101106,"3/18/2019","Andrew Bogut",1610612744,"GSW",1,0,1,19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.08,19.08,7132,1.35,0.7,0.65,4.15,4.47,3.87
101106,"3/19/2019","Andrew Bogut",1610612744,"GSW",1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,12.98,4969,0.94,0.5,0.44,3.95,4.58,3.38
101106,"3/21/2019","Andrew Bogut",1610612744,"GSW",1,1,0,9,1,1,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,9,9,3358,0.64,0.35,0.28,3.72,4.54,4.1
101106,"3/24/2019","Andrew Bogut",1610612744,"GSW",1,1,0,24,1,1,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,23.95,23.95,8418,1.59,0.84,0.76,3.83,4.18,3.54
101106,"3/27/2019","Andrew Bogut",1610612744,"GSW",1,1,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57,6.57,2383,0.45,0.25,0.2,4.43,3.3,3.81
101106,"3/29/2019","Andrew Bogut",1610612744,"GSW",1,0,1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,1.57,584,0.11,0.07,0.04,3.57,5.74,0
101106,"3/31/2019","Andrew Bogut",1610612744,"GSW",1,1,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.13,11.13,3765,0.71,0.36,0.35,3.6,4.64,2.78
101106,"4/10/2019","Andrew Bogut",1610612744,"GSW",1,0,1,17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.77,17.77,6512,1.23,0.66,0.57,3.88,4.42,3.97
101106,"4/2/2019","Andrew Bogut",1610612744,"GSW",1,1,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,3.9,1523,0.29,0.16,0.12,4.37,5.83,2.92
101106,"4/5/2019","Andrew Bogut",1610612744,"GSW",1,1,0,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.93,20.93,NA,NA,NA,NA,NA,NA,NA
101106,"4/7/2019","Andrew Bogut",1610612744,"GSW",1,1,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,7.48,2851,0.54,0.27,0.27,3.58,4.42,4.19
101107,"1/11/2019","Marvin Williams",1610612766,"CHA",1,0,1,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.37,23.37,9073,1.72,0.94,0.78,4.2,4.19,4.22
101107,"1/12/2019","Marvin Williams",1610612766,"CHA",1,0,1,32.7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.72,32.72,11689,2.21,1.16,1.06,3.78,4.31,3.62
