"player_id","player_name","team_id","team_abbreviation","gp","w","l","min","drives","drive_fgm","drive_fga","drive_fg_pct","drive_ftm","drive_fta","drive_ft_pct","drive_pts","drive_pts_pct","drive_passes","drive_passes_pct","drive_ast","drive_ast_pct","drive_tov","drive_tov_pct","drive_pf","drive_pf_pct","date"
203903,"Jordan Clarkson",1610612747,"LAL",1,0,1,20.4,6,0,1,0,2,2,1,2,0.333,1,0.167,1,0.167,2,0.333,1,0.167,"10/28/2014"
201941,"Jordan Hill",1610612747,"LAL",1,0,1,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/28/2014"
201950,"Jrue Holiday",1610612740,"NOP",1,1,0,27,6,2,3,0.667,0,0,0,4,0.667,1,0.167,1,0.167,1,0.167,0,0,"10/28/2014"
203944,"Julius Randle",1610612747,"LAL",1,0,1,13.6,5,1,2,0.5,0,2,0,2,0.4,2,0.4,0,0,0,0,1,0.2,"10/28/2014"
977,"Kobe Bryant",1610612747,"LAL",1,0,1,29,8,1,3,0.333,2,2,1,4,0.5,3,0.375,0,0,1,0.125,1,0.125,"10/28/2014"
203123,"Kostas Papanikolaou",1610612745,"HOU",1,1,0,19.9,4,2,2,1,0,0,0,4,1,1,0.25,1,0.25,0,0,0,0,"10/28/2014"
203124,"Kyle O'Quinn",1610612753,"ORL",1,0,1,21.4,2,1,2,0.5,0,0,0,2,1,0,0,0,0,0,0,0,0,"10/28/2014"
202337,"Luke Babbitt",1610612740,"NOP",1,1,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/28/2014"
2557,"Luke Ridnour",1610612753,"ORL",1,0,1,17.2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/28/2014"
1938,"Manu Ginobili",1610612759,"SAS",1,1,0,27.7,14,2,4,0.5,4,4,1,8,0.571,5,0.357,2,0.143,1,0.071,2,0.143,"10/28/2014"
201158,"Marco Belinelli",1610612759,"SAS",1,1,0,30.8,5,2,2,1,0,0,0,4,0.8,2,0.4,0,0,1,0.2,0,0,"10/28/2014"
2588,"Matt Bonner",1610612759,"SAS",1,1,0,14.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/28/2014"
101145,"Monta Ellis",1610612742,"DAL",1,0,1,37.2,14,3,6,0.5,0,0,0,6,0.429,2,0.143,4,0.286,2,0.143,0,0,"10/28/2014"
202696,"Nikola Vucevic",1610612753,"ORL",1,0,1,35.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/28/2014"
201600,"Omer Asik",1610612740,"NOP",1,1,0,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/28/2014"
201976,"Patrick Beverley",1610612745,"HOU",1,1,0,30.9,10,0,2,0,2,4,0.5,2,0.2,4,0.4,1,0.1,1,0.1,2,0.2,"10/28/2014"
2210,"Richard Jefferson",1610612742,"DAL",1,0,1,13.4,3,0,1,0,1,2,0.5,1,0.333,0,0,1,0.333,0,0,1,0.333,"10/28/2014"
203135,"Robert Sacre",1610612747,"LAL",1,0,1,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/28/2014"
101179,"Ronnie Price",1610612747,"LAL",1,0,1,26.9,5,0,1,0,0,0,0,0,0,1,0.2,2,0.4,1,0.2,0,0,"10/28/2014"
201583,"Ryan Anderson",1610612740,"NOP",1,1,0,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/28/2014"
204028,"Tarik Black",1610612747,"LAL",1,1,0,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/28/2014"
203093,"Terrence Jones",1610612745,"HOU",1,1,0,30.5,1,1,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,"10/28/2014"
1495,"Tim Duncan",1610612759,"SAS",1,1,0,30.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/28/2014"
202699,"Tobias Harris",1610612753,"ORL",1,0,1,36.5,5,0,3,0,2,2,1,2,0.4,0,0,0,0,1,0.2,1,0.2,"10/28/2014"
2225,"Tony Parker",1610612759,"SAS",1,1,0,34.8,17,4,7,0.571,0,0,0,9,0.529,9,0.529,1,0.059,0,0,0,0,"10/28/2014"
2772,"Trevor Ariza",1610612745,"HOU",1,1,0,29.6,2,0,1,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,"10/28/2014"
203584,"Troy Daniels",1610612766,"CHA",1,1,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/28/2014"
201936,"Tyreke Evans",1610612740,"NOP",1,1,0,34.7,17,3,7,0.429,0,0,0,6,0.353,6,0.353,3,0.176,1,0.059,0,0,"10/28/2014"
2199,"Tyson Chandler",1610612742,"DAL",1,0,1,27.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/28/2014"
202325,"Wesley Johnson",1610612747,"LAL",1,0,1,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/28/2014"
2584,"Willie Green",1610612753,"ORL",1,0,1,4.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/28/2014"
202333,"Xavier Henry",1610612747,"LAL",1,0,1,18.5,2,0,1,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,"10/28/2014"
201166,"Aaron Brooks",1610612741,"CHI",1,1,0,23.7,11,2,3,0.667,0,0,0,4,0.364,4,0.364,3,0.273,0,0,1,0.091,"10/29/2014"
201143,"Al Horford",1610612737,"ATL",1,0,1,31.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
2744,"Al Jefferson",1610612766,"CHA",1,1,0,40.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
101187,"Alan Anderson",1610612751,"BKN",1,0,1,24.8,1,1,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,"10/29/2014"
202692,"Alec Burks",1610612762,"UTA",1,0,1,35.9,2,1,2,0.5,0,0,0,2,1,0,0,0,0,0,0,0,0,"10/29/2014"
203458,"Alex Len",1610612756,"PHX",1,1,0,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
203144,"Alexey Shved",1610612752,"NYK",1,0,1,23.9,16,0,2,0,4,4,1,4,0.25,10,0.625,2,0.125,0,0,2,0.125,"10/29/2014"
203459,"Allen Crabbe",1610612757,"POR",1,1,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
202087,"Alonzo Gee",1610612757,"POR",1,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
2405,"Amar'e Stoudemire",1610612742,"DAL",1,0,1,23.9,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,"10/29/2014"
101161,"Amir Johnson",1610612761,"TOR",1,1,0,31.4,2,0,1,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,"10/29/2014"
203083,"Andre Drummond",1610612765,"DET",1,0,1,27.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
2738,"Andre Iguodala",1610612744,"GSW",1,1,0,29.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"10/29/2014"
