"team","w","l","w_lpercent","gb","pw","pl","ps_g","pa_g","date"
"Orlando Magic","0","1",".000","—","0","1","84.0","101.0","2014-10-28"
"Los Angeles Lakers","0","1",".000","—","0","1","90.0","108.0","2014-10-28"
"Houston Rockets*","1","0","1.000","—","1","0","108.0","90.0","2014-10-28"
"New Orleans Pelicans*","1","0","1.000","—","1","0","101.0","84.0","2014-10-28"
"San Antonio Spurs*","1","0","1.000","—","1","0","101.0","100.0","2014-10-28"
"Dallas Mavericks*","0","1",".000","1.0","0","1","100.0","101.0","2014-10-28"
"Toronto Raptors*","1","0","1.000","—","1","0","109.0","102.0","2014-10-29"
"Boston Celtics*","1","0","1.000","—","1","0","121.0","105.0","2014-10-29"
"Brooklyn Nets*","0","1",".000","1.0","0","1","105.0","121.0","2014-10-29"
"Philadelphia 76ers","0","1",".000","1.0","0","1","91.0","103.0","2014-10-29"
"New York Knicks","0","1",".000","1.0","0","1","80.0","104.0","2014-10-29"
"Chicago Bulls*","1","0","1.000","—","1","0","104.0","80.0","2014-10-29"
"Indiana Pacers","1","0","1.000","—","1","0","103.0","91.0","2014-10-29"
"Milwaukee Bucks*","0","1",".000","1.0","0","1","106.0","108.0","2014-10-29"
"Detroit Pistons","0","1",".000","1.0","0","1","79.0","89.0","2014-10-29"
"Charlotte Hornets","1","0","1.000","—","1","0","108.0","106.0","2014-10-29"
"Miami Heat","1","0","1.000","—","1","0","107.0","95.0","2014-10-29"
"Atlanta Hawks*","0","1",".000","1.0","0","1","102.0","109.0","2014-10-29"
"Washington Wizards*","0","1",".000","1.0","0","1","95.0","107.0","2014-10-29"
"Orlando Magic","0","1",".000","1.0","0","1","84.0","101.0","2014-10-29"
"Portland Trail Blazers*","1","0","1.000","—","1","0","106.0","89.0","2014-10-29"
"Denver Nuggets","1","0","1.000","—","1","0","89.0","79.0","2014-10-29"
"Minnesota Timberwolves","0","1",".000","1.0","0","1","101.0","105.0","2014-10-29"
"Oklahoma City Thunder","0","1",".000","1.0","0","1","89.0","106.0","2014-10-29"
"Utah Jazz","0","1",".000","1.0","0","1","93.0","104.0","2014-10-29"
"Golden State Warriors*","1","0","1.000","—","1","0","95.0","77.0","2014-10-29"
"Phoenix Suns","1","0","1.000","—","1","0","119.0","99.0","2014-10-29"
"Sacramento Kings","0","1",".000","1.0","0","1","77.0","95.0","2014-10-29"
"Los Angeles Lakers","0","2",".000","1.5","0","2","94.5","113.5","2014-10-29"
"Houston Rockets*","2","0","1.000","—","2","0","106.0","91.5","2014-10-29"
"New Orleans Pelicans*","1","0","1.000","0.5","1","0","101.0","84.0","2014-10-29"
"Memphis Grizzlies*","1","0","1.000","0.5","1","0","105.0","101.0","2014-10-29"
"San Antonio Spurs*","1","0","1.000","0.5","1","0","101.0","100.0","2014-10-29"
"Dallas Mavericks*","0","1",".000","1.5","0","1","100.0","101.0","2014-10-29"
"Toronto Raptors*","1","0","1.000","—","1","0","109.0","102.0","2014-10-30"
"Boston Celtics*","1","0","1.000","—","1","0","121.0","105.0","2014-10-30"
"New York Knicks","1","1",".500","0.5","0","2","87.5","97.0","2014-10-30"
"Brooklyn Nets*","0","1",".000","1.0","0","1","105.0","121.0","2014-10-30"
"Philadelphia 76ers","0","1",".000","1.0","0","1","91.0","103.0","2014-10-30"
"Chicago Bulls*","1","0","1.000","—","1","0","104.0","80.0","2014-10-30"
"Indiana Pacers","1","0","1.000","—","1","0","103.0","91.0","2014-10-30"
"Cleveland Cavaliers*","0","1",".000","1.0","0","1","90.0","95.0","2014-10-30"
"Milwaukee Bucks*","0","1",".000","1.0","0","1","106.0","108.0","2014-10-30"
"Detroit Pistons","0","2",".000","1.5","0","2","85.0","93.0","2014-10-30"
"Charlotte Hornets","1","0","1.000","—","1","0","108.0","106.0","2014-10-30"
"Miami Heat","1","0","1.000","—","1","0","107.0","95.0","2014-10-30"
"Washington Wizards*","1","1",".500","0.5","1","1","100.0","102.5","2014-10-30"
"Atlanta Hawks*","0","1",".000","1.0","0","1","102.0","109.0","2014-10-30"
"Orlando Magic","0","2",".000","1.5","0","2","91.0","103.0","2014-10-30"
"Portland Trail Blazers*","1","0","1.000","—","1","0","106.0","89.0","2014-10-30"
