"team","w","l","w_lpercent","gb","pw","pl","ps_g","pa_g","date"
"Indiana Pacers*","1","0","1.000","—","1","0","97.0","87.0","2013-10-29"
"Chicago Bulls*","0","1",".000","1.0","0","1","95.0","107.0","2013-10-29"
"Miami Heat*","1","0","1.000","—","1","0","107.0","95.0","2013-10-29"
"Orlando Magic","0","1",".000","1.0","0","1","87.0","97.0","2013-10-29"
"Los Angeles Lakers","1","0","1.000","—","1","0","116.0","103.0","2013-10-29"
"Los Angeles Clippers*","0","1",".000","1.0","0","1","103.0","116.0","2013-10-29"
"Toronto Raptors*","1","0","1.000","—","1","0","93.0","87.0","2013-10-30"
"New York Knicks","1","0","1.000","—","1","0","90.0","83.0","2013-10-30"
"Philadelphia 76ers","1","0","1.000","—","1","0","114.0","110.0","2013-10-30"
"Brooklyn Nets*","0","1",".000","1.0","0","1","94.0","98.0","2013-10-30"
"Boston Celtics","0","1",".000","1.0","0","1","87.0","93.0","2013-10-30"
"Indiana Pacers*","2","0","1.000","—","2","0","96.0","88.5","2013-10-30"
"Detroit Pistons","1","0","1.000","0.5","1","0","113.0","102.0","2013-10-30"
"Cleveland Cavaliers","1","0","1.000","0.5","1","0","98.0","94.0","2013-10-30"
"Chicago Bulls*","0","1",".000","1.5","0","1","95.0","107.0","2013-10-30"
"Milwaukee Bucks","0","1",".000","1.5","0","1","83.0","90.0","2013-10-30"
"Miami Heat*","1","1",".500","—","1","1","108.5","104.5","2013-10-30"
"Atlanta Hawks*","0","1",".000","0.5","0","1","109.0","118.0","2013-10-30"
"Washington Wizards*","0","1",".000","0.5","0","1","102.0","113.0","2013-10-30"
"Charlotte Bobcats*","0","1",".000","0.5","0","1","83.0","96.0","2013-10-30"
"Orlando Magic","0","2",".000","1.0","1","1","101.0","108.5","2013-10-30"
"Oklahoma City Thunder*","1","0","1.000","—","1","0","101.0","98.0","2013-10-30"
"Minnesota Timberwolves","1","0","1.000","—","1","0","120.0","115.0","2013-10-30"
"Portland Trail Blazers*","0","1",".000","1.0","0","1","91.0","104.0","2013-10-30"
"Denver Nuggets","0","1",".000","1.0","0","1","88.0","90.0","2013-10-30"
"Utah Jazz","0","1",".000","1.0","0","1","98.0","101.0","2013-10-30"
"Golden State Warriors*","1","0","1.000","—","1","0","125.0","94.0","2013-10-30"
"Phoenix Suns","1","0","1.000","—","1","0","104.0","91.0","2013-10-30"
"Sacramento Kings","1","0","1.000","—","1","0","90.0","88.0","2013-10-30"
"Los Angeles Lakers","1","1",".500","0.5","0","2","105.0","114.0","2013-10-30"
"Los Angeles Clippers*","0","1",".000","1.0","0","1","103.0","116.0","2013-10-30"
"San Antonio Spurs*","1","0","1.000","—","1","0","101.0","94.0","2013-10-30"
"Houston Rockets*","1","0","1.000","—","1","0","96.0","83.0","2013-10-30"
"Dallas Mavericks*","1","0","1.000","—","1","0","118.0","109.0","2013-10-30"
"Memphis Grizzlies*","0","1",".000","1.0","0","1","94.0","101.0","2013-10-30"
"New Orleans Pelicans","0","1",".000","1.0","0","1","90.0","95.0","2013-10-30"
"Toronto Raptors*","1","0","1.000","—","1","0","93.0","87.0","2013-10-31"
"Philadelphia 76ers","1","0","1.000","—","1","0","114.0","110.0","2013-10-31"
"New York Knicks","1","1",".500","0.5","1","1","85.5","82.5","2013-10-31"
"Brooklyn Nets*","0","1",".000","1.0","0","1","94.0","98.0","2013-10-31"
"Boston Celtics","0","1",".000","1.0","0","1","87.0","93.0","2013-10-31"
"Indiana Pacers*","2","0","1.000","—","2","0","96.0","88.5","2013-10-31"
"Detroit Pistons","1","0","1.000","0.5","1","0","113.0","102.0","2013-10-31"
"Cleveland Cavaliers","1","0","1.000","0.5","1","0","98.0","94.0","2013-10-31"
"Chicago Bulls*","1","1",".500","1.0","1","1","88.5","94.0","2013-10-31"
"Milwaukee Bucks","0","1",".000","1.5","0","1","83.0","90.0","2013-10-31"
"Miami Heat*","1","1",".500","—","1","1","108.5","104.5","2013-10-31"
"Atlanta Hawks*","0","1",".000","0.5","0","1","109.0","118.0","2013-10-31"
"Washington Wizards*","0","1",".000","0.5","0","1","102.0","113.0","2013-10-31"
"Charlotte Bobcats*","0","1",".000","0.5","0","1","83.0","96.0","2013-10-31"
"Orlando Magic","0","2",".000","1.0","1","1","101.0","108.5","2013-10-31"
"Oklahoma City Thunder*","1","0","1.000","—","1","0","101.0","98.0","2013-10-31"
"Minnesota Timberwolves","1","0","1.000","—","1","0","120.0","115.0","2013-10-31"
"Portland Trail Blazers*","0","1",".000","1.0","0","1","91.0","104.0","2013-10-31"
"Denver Nuggets","0","1",".000","1.0","0","1","88.0","90.0","2013-10-31"
"Utah Jazz","0","1",".000","1.0","0","1","98.0","101.0","2013-10-31"
"Phoenix Suns","1","0","1.000","—","1","0","104.0","91.0","2013-10-31"
"Sacramento Kings","1","0","1.000","—","1","0","90.0","88.0","2013-10-31"
"Los Angeles Clippers*","1","1",".500","0.5","1","1","114.5","115.5","2013-10-31"
"Golden State Warriors*","1","1",".500","0.5","2","0","120.0","110.0","2013-10-31"
"Los Angeles Lakers","1","1",".500","0.5","0","2","105.0","114.0","2013-10-31"
"San Antonio Spurs*","1","0","1.000","—","1","0","101.0","94.0","2013-10-31"
"Houston Rockets*","1","0","1.000","—","1","0","96.0","83.0","2013-10-31"
"Dallas Mavericks*","1","0","1.000","—","1","0","118.0","109.0","2013-10-31"
"Memphis Grizzlies*","0","1",".000","1.0","0","1","94.0","101.0","2013-10-31"
"New Orleans Pelicans","0","1",".000","1.0","0","1","90.0","95.0","2013-10-31"
"Philadelphia 76ers","2","0","1.000","—","1","1","111.5","106.0","2013-11-1"
"Toronto Raptors*","1","1",".500","1.0","1","1","94.0","94.5","2013-11-1"
"Brooklyn Nets*","1","1",".500","1.0","1","1","97.5","99.0","2013-11-1"
"New York Knicks","1","1",".500","1.0","1","1","85.5","82.5","2013-11-1"
"Boston Celtics","0","2",".000","2.0","1","1","92.5","99.0","2013-11-1"
"Indiana Pacers*","2","0","1.000","—","2","0","96.0","88.5","2013-11-1"
"Chicago Bulls*","1","1",".500","1.0","1","1","88.5","94.0","2013-11-1"
"Detroit Pistons","1","1",".500","1.0","1","1","110.5","106.5","2013-11-1"
"Cleveland Cavaliers","1","1",".500","1.0","1","1","91.0","92.0","2013-11-1"
"Milwaukee Bucks","1","1",".500","1.0","1","1","94.0","94.0","2013-11-1"
"Atlanta Hawks*","1","1",".500","—","1","1","105.5","106.5","2013-11-1"
"Charlotte Bobcats*","1","1",".500","—","1","1","86.5","90.0","2013-11-1"
"Miami Heat*","1","2",".333","0.5","2","1","105.7","103.3","2013-11-1"
"Orlando Magic","1","2",".333","0.5","2","1","104.0","102.3","2013-11-1"
"Washington Wizards*","0","2",".000","1.0","0","2","102.0","111.0","2013-11-1"
"Minnesota Timberwolves","2","0","1.000","—","2","0","110.0","98.0","2013-11-1"
"Oklahoma City Thunder*","1","1",".500","1.0","0","2","91.0","99.0","2013-11-1"
"Portland Trail Blazers*","1","1",".500","1.0","1","1","102.0","101.0","2013-11-1"
"Denver Nuggets","0","2",".000","2.0","0","2","93.0","101.5","2013-11-1"
"Utah Jazz","0","2",".000","2.0","1","1","91.0","94.0","2013-11-1"
"Phoenix Suns","2","0","1.000","—","2","0","95.5","87.5","2013-11-1"
"Los Angeles Clippers*","2","1",".667","0.5","2","1","113.0","110.7","2013-11-1"
"Golden State Warriors*","1","1",".500","1.0","2","0","120.0","110.0","2013-11-1"
"Sacramento Kings","1","1",".500","1.0","1","1","95.5","99.0","2013-11-1"
"Los Angeles Lakers","1","2",".333","1.5","1","2","98.3","106.3","2013-11-1"
"San Antonio Spurs*","2","0","1.000","—","1","1","96.0","89.5","2013-11-1"
"Houston Rockets*","2","0","1.000","—","2","0","104.5","94.0","2013-11-1"
"Memphis Grizzlies*","1","1",".500","1.0","1","1","102.5","104.5","2013-11-1"
"Dallas Mavericks*","1","1",".500","1.0","1","1","111.5","111.0","2013-11-1"
"New Orleans Pelicans","0","2",".000","2.0","0","2","90.0","102.5","2013-11-1"
"Philadelphia 76ers","3","0","1.000","—","2","1","110.0","105.3","2013-11-2"
"Toronto Raptors*","2","1",".667","1.0","2","1","95.0","93.0","2013-11-2"
"Brooklyn Nets*","1","1",".500","1.5","1","1","97.5","99.0","2013-11-2"
"New York Knicks","1","1",".500","1.5","1","1","85.5","82.5","2013-11-2"
"Boston Celtics","0","2",".000","2.5","1","1","92.5","99.0","2013-11-2"
"Indiana Pacers*","3","0","1.000","—","2","1","93.7","83.7","2013-11-2"
"Detroit Pistons","1","1",".500","1.5","1","1","110.5","106.5","2013-11-2"
"Chicago Bulls*","1","2",".333","2.0","1","2","93.7","98.3","2013-11-2"
"Cleveland Cavaliers","1","2",".333","2.0","1","2","85.3","91.0","2013-11-2"
"Milwaukee Bucks","1","2",".333","2.0","1","2","92.7","95.0","2013-11-2"
"Atlanta Hawks*","1","1",".500","—","1","1","105.5","106.5","2013-11-2"
"Miami Heat*","1","2",".333","0.5","2","1","105.7","103.3","2013-11-2"
"Charlotte Bobcats*","1","2",".333","0.5","1","2","85.7","95.0","2013-11-2"
"Orlando Magic","1","2",".333","0.5","2","1","104.0","102.3","2013-11-2"
"Washington Wizards*","0","2",".000","1.0","0","2","102.0","111.0","2013-11-2"
"Minnesota Timberwolves","2","0","1.000","—","2","0","110.0","98.0","2013-11-2"
"Portland Trail Blazers*","2","1",".667","0.5","2","1","106.3","102.3","2013-11-2"
"Oklahoma City Thunder*","1","1",".500","1.0","0","2","91.0","99.0","2013-11-2"
"Denver Nuggets","0","2",".000","2.0","0","2","93.0","101.5","2013-11-2"
"Utah Jazz","0","3",".000","2.5","1","2","91.7","97.3","2013-11-2"
