"team","w","l","w_lpercent","gb","pw","pl","ps_g","pa_g","date"
"Phoenix Suns","2","0","1.000","—","2","0","95.5","87.5","2013-11-2"
"Los Angeles Clippers*","2","1",".667","0.5","2","1","113.0","110.7","2013-11-2"
"Golden State Warriors*","2","1",".667","0.5","2","1","112.7","102.3","2013-11-2"
"Los Angeles Lakers","1","2",".333","1.5","1","2","98.3","106.3","2013-11-2"
"Sacramento Kings","1","2",".333","1.5","1","2","92.7","98.7","2013-11-2"
"Houston Rockets*","3","0","1.000","—","2","1","104.3","93.7","2013-11-2"
"San Antonio Spurs*","2","1",".667","1.0","2","1","99.0","98.0","2013-11-2"
"Dallas Mavericks*","2","1",".667","1.0","2","1","111.3","107.0","2013-11-2"
"Memphis Grizzlies*","1","2",".333","2.0","1","2","101.3","106.7","2013-11-2"
"New Orleans Pelicans","1","2",".333","2.0","1","2","95.0","96.3","2013-11-2"
"Philadelphia 76ers","3","0","1.000","—","2","1","110.0","105.3","2013-11-3"
"Toronto Raptors*","2","1",".667","1.0","2","1","95.0","93.0","2013-11-3"
"Brooklyn Nets*","1","2",".333","2.0","1","2","93.7","101.7","2013-11-3"
"New York Knicks","1","2",".333","2.0","1","2","90.3","91.3","2013-11-3"
"Boston Celtics","0","3",".000","3.0","1","2","87.3","95.0","2013-11-3"
"Indiana Pacers*","3","0","1.000","—","2","1","93.7","83.7","2013-11-3"
"Detroit Pistons","2","1",".667","1.0","2","1","102.7","96.7","2013-11-3"
"Chicago Bulls*","1","2",".333","2.0","1","2","93.7","98.3","2013-11-3"
"Cleveland Cavaliers","1","2",".333","2.0","1","2","85.3","91.0","2013-11-3"
"Milwaukee Bucks","1","2",".333","2.0","1","2","92.7","95.0","2013-11-3"
"Miami Heat*","2","2",".500","—","3","1","105.0","100.8","2013-11-3"
"Orlando Magic","2","2",".500","—","3","1","104.8","98.3","2013-11-3"
"Atlanta Hawks*","1","2",".333","0.5","1","2","104.7","106.0","2013-11-3"
"Charlotte Bobcats*","1","2",".333","0.5","1","2","85.7","95.0","2013-11-3"
"Washington Wizards*","0","3",".000","1.5","1","2","99.0","108.3","2013-11-3"
"Minnesota Timberwolves","3","0","1.000","—","2","1","109.7","98.7","2013-11-3"
"Oklahoma City Thunder*","2","1",".667","1.0","1","2","95.0","98.0","2013-11-3"
"Portland Trail Blazers*","2","1",".667","1.0","2","1","106.3","102.3","2013-11-3"
"Denver Nuggets","0","2",".000","2.5","0","2","93.0","101.5","2013-11-3"
"Utah Jazz","0","3",".000","3.0","1","2","91.7","97.3","2013-11-3"
"Los Angeles Clippers*","2","1",".667","—","2","1","113.0","110.7","2013-11-3"
"Golden State Warriors*","2","1",".667","—","2","1","112.7","102.3","2013-11-3"
"Phoenix Suns","2","1",".667","—","2","1","95.7","92.7","2013-11-3"
"Los Angeles Lakers","2","2",".500","0.5","1","3","100.0","105.5","2013-11-3"
"Sacramento Kings","1","2",".333","1.0","1","2","92.7","98.7","2013-11-3"
"Houston Rockets*","3","0","1.000","—","2","1","104.3","93.7","2013-11-3"
"San Antonio Spurs*","2","1",".667","1.0","2","1","99.0","98.0","2013-11-3"
"Dallas Mavericks*","2","1",".667","1.0","2","1","111.3","107.0","2013-11-3"
"Memphis Grizzlies*","1","2",".333","2.0","1","2","101.3","106.7","2013-11-3"
"New Orleans Pelicans","1","2",".333","2.0","1","2","95.0","96.3","2013-11-3"
"Philadelphia 76ers","3","1",".750","—","2","2","105.0","106.5","2013-11-4"
"Toronto Raptors*","2","1",".667","0.5","2","1","95.0","93.0","2013-11-4"
"Brooklyn Nets*","1","2",".333","1.5","1","2","93.7","101.7","2013-11-4"
"New York Knicks","1","2",".333","1.5","1","2","90.3","91.3","2013-11-4"
"Boston Celtics","0","4",".000","3.0","1","3","87.5","95.0","2013-11-4"
"Indiana Pacers*","3","0","1.000","—","2","1","93.7","83.7","2013-11-4"
"Detroit Pistons","2","1",".667","1.0","2","1","102.7","96.7","2013-11-4"
"Cleveland Cavaliers","2","2",".500","1.5","1","3","87.3","91.3","2013-11-4"
"Chicago Bulls*","1","2",".333","2.0","1","2","93.7","98.3","2013-11-4"
"Milwaukee Bucks","1","2",".333","2.0","1","2","92.7","95.0","2013-11-4"
"Miami Heat*","2","2",".500","—","3","1","105.0","100.8","2013-11-4"
"Orlando Magic","2","2",".500","—","3","1","104.8","98.3","2013-11-4"
"Atlanta Hawks*","1","2",".333","0.5","1","2","104.7","106.0","2013-11-4"
"Charlotte Bobcats*","1","2",".333","0.5","1","2","85.7","95.0","2013-11-4"
"Washington Wizards*","0","3",".000","1.5","1","2","99.0","108.3","2013-11-4"
"Minnesota Timberwolves","3","1",".750","—","3","1","105.3","97.3","2013-11-4"
"Oklahoma City Thunder*","2","1",".667","0.5","1","2","95.0","98.0","2013-11-4"
"Portland Trail Blazers*","2","1",".667","0.5","2","1","106.3","102.3","2013-11-4"
"Denver Nuggets","0","2",".000","2.0","0","2","93.0","101.5","2013-11-4"
"Utah Jazz","0","3",".000","2.5","1","2","91.7","97.3","2013-11-4"
"Los Angeles Clippers*","3","1",".750","—","3","1","119.0","112.5","2013-11-4"
"Golden State Warriors*","3","1",".750","—","3","1","112.0","99.3","2013-11-4"
"Phoenix Suns","2","1",".667","0.5","2","1","95.7","92.7","2013-11-4"
"Los Angeles Lakers","2","2",".500","1.0","1","3","100.0","105.5","2013-11-4"
"Sacramento Kings","1","2",".333","1.5","1","2","92.7","98.7","2013-11-4"
"Houston Rockets*","3","1",".750","—","2","2","107.8","104.5","2013-11-4"
"San Antonio Spurs*","2","1",".667","0.5","2","1","99.0","98.0","2013-11-4"
"Dallas Mavericks*","2","1",".667","0.5","2","1","111.3","107.0","2013-11-4"
"Memphis Grizzlies*","2","2",".500","1.0","2","2","99.8","102.0","2013-11-4"
"New Orleans Pelicans","1","2",".333","1.5","1","2","95.0","96.3","2013-11-4"
"Philadelphia 76ers","3","1",".750","—","2","2","105.0","106.5","2013-11-5"
"Toronto Raptors*","2","2",".500","1.0","2","2","95.0","95.8","2013-11-5"
"Brooklyn Nets*","2","2",".500","1.0","2","2","96.3","98.3","2013-11-5"
"New York Knicks","1","3",".250","2.0","2","2","92.0","94.0","2013-11-5"
"Boston Celtics","0","4",".000","3.0","1","3","87.5","95.0","2013-11-5"
"Indiana Pacers*","4","0","1.000","—","3","1","95.0","85.5","2013-11-5"
"Detroit Pistons","2","2",".500","2.0","2","2","99.8","97.3","2013-11-5"
"Cleveland Cavaliers","2","2",".500","2.0","1","3","87.3","91.3","2013-11-5"
"Chicago Bulls*","1","2",".333","2.5","1","2","93.7","98.3","2013-11-5"
"Milwaukee Bucks","1","2",".333","2.5","1","2","92.7","95.0","2013-11-5"
"Miami Heat*","3","2",".600","—","3","2","104.8","99.6","2013-11-5"
"Atlanta Hawks*","2","2",".500","0.5","2","2","104.8","104.5","2013-11-5"
"Charlotte Bobcats*","2","2",".500","0.5","1","3","89.8","95.5","2013-11-5"
"Orlando Magic","2","2",".500","0.5","3","1","104.8","98.3","2013-11-5"
"Washington Wizards*","0","3",".000","2.0","1","2","99.0","108.3","2013-11-5"
"Minnesota Timberwolves","3","1",".750","—","3","1","105.3","97.3","2013-11-5"
"Oklahoma City Thunder*","2","1",".667","0.5","1","2","95.0","98.0","2013-11-5"
"Portland Trail Blazers*","2","2",".500","1.0","2","2","105.0","105.8","2013-11-5"
"Denver Nuggets","0","3",".000","2.5","1","2","93.3","101.7","2013-11-5"
"Utah Jazz","0","4",".000","3.0","1","3","90.8","99.0","2013-11-5"
"Los Angeles Clippers*","3","1",".750","—","3","1","119.0","112.5","2013-11-5"
"Golden State Warriors*","3","1",".750","—","3","1","112.0","99.3","2013-11-5"
"Phoenix Suns","3","1",".750","—","3","1","97.8","94.0","2013-11-5"
"Los Angeles Lakers","2","3",".400","1.5","1","4","100.8","109.0","2013-11-5"
"Sacramento Kings","1","3",".250","2.0","1","3","94.5","100.3","2013-11-5"
"Houston Rockets*","4","1",".800","—","3","2","109.4","103.8","2013-11-5"
"San Antonio Spurs*","3","1",".750","0.5","2","2","99.8","97.0","2013-11-5"
"Dallas Mavericks*","3","1",".750","0.5","3","1","114.3","106.3","2013-11-5"
"Memphis Grizzlies*","2","2",".500","1.5","2","2","99.8","102.0","2013-11-5"
"New Orleans Pelicans","1","3",".250","2.5","2","2","95.8","98.3","2013-11-5"
"Philadelphia 76ers","3","2",".600","—","2","3","104.4","108.4","2013-11-6"
"Brooklyn Nets*","2","2",".500","0.5","2","2","96.3","98.3","2013-11-6"
"Toronto Raptors*","2","3",".400","1.0","2","3","94.0","95.0","2013-11-6"
"New York Knicks","1","3",".250","1.5","2","2","92.0","94.0","2013-11-6"
"Boston Celtics","1","4",".200","2.0","2","3","89.4","93.4","2013-11-6"
"Indiana Pacers*","5","0","1.000","—","4","1","95.4","84.4","2013-11-6"
"Detroit Pistons","2","2",".500","2.5","2","2","99.8","97.3","2013-11-6"
"Milwaukee Bucks","2","2",".500","2.5","2","2","96.8","97.3","2013-11-6"
"Cleveland Cavaliers","2","3",".400","3.0","2","3","90.6","94.8","2013-11-6"
"Chicago Bulls*","1","3",".250","3.5","1","3","90.3","98.0","2013-11-6"
"Miami Heat*","3","2",".600","—","3","2","104.8","99.6","2013-11-6"
"Charlotte Bobcats*","3","2",".600","—","2","3","90.2","94.4","2013-11-6"
"Orlando Magic","3","2",".600","—","4","1","103.4","96.6","2013-11-6"
"Atlanta Hawks*","2","2",".500","0.5","2","2","104.8","104.5","2013-11-6"
"Washington Wizards*","1","3",".250","1.5","2","2","103.3","106.8","2013-11-6"
"Oklahoma City Thunder*","3","1",".750","—","2","2","98.0","96.8","2013-11-6"
"Minnesota Timberwolves","3","2",".600","0.5","3","2","102.8","99.0","2013-11-6"
"Portland Trail Blazers*","2","2",".500","1.0","2","2","105.0","105.8","2013-11-6"
"Denver Nuggets","0","3",".000","2.5","1","2","93.3","101.7","2013-11-6"
"Utah Jazz","0","5",".000","3.5","1","4","90.0","98.6","2013-11-6"
"Golden State Warriors*","4","1",".800","—","4","1","110.8","98.0","2013-11-6"
"Los Angeles Clippers*","3","2",".600","1.0","3","2","113.2","109.6","2013-11-6"
"Phoenix Suns","3","2",".600","1.0","3","2","97.4","95.0","2013-11-6"
"Los Angeles Lakers","2","3",".400","2.0","1","4","100.8","109.0","2013-11-6"
"Sacramento Kings","1","3",".250","2.5","1","3","94.5","100.3","2013-11-6"
"San Antonio Spurs*","4","1",".800","—","3","2","99.6","96.8","2013-11-6"
"Houston Rockets*","4","1",".800","—","3","2","109.4","103.8","2013-11-6"
"Dallas Mavericks*","3","2",".600","1.0","3","2","110.0","106.4","2013-11-6"
"Memphis Grizzlies*","2","3",".400","2.0","2","3","96.6","101.4","2013-11-6"
"New Orleans Pelicans","2","3",".400","2.0","3","2","96.4","95.4","2013-11-6"
"Philadelphia 76ers","3","2",".600","—","2","3","104.4","108.4","2013-11-7"
"Brooklyn Nets*","2","2",".500","0.5","2","2","96.3","98.3","2013-11-7"
"Toronto Raptors*","2","3",".400","1.0","2","3","94.0","95.0","2013-11-7"
"New York Knicks","1","3",".250","1.5","2","2","92.0","94.0","2013-11-7"
"Boston Celtics","1","4",".200","2.0","2","3","89.4","93.4","2013-11-7"
"Indiana Pacers*","5","0","1.000","—","4","1","95.4","84.4","2013-11-7"
"Detroit Pistons","2","2",".500","2.5","2","2","99.8","97.3","2013-11-7"
"Milwaukee Bucks","2","2",".500","2.5","2","2","96.8","97.3","2013-11-7"
"Cleveland Cavaliers","2","3",".400","3.0","2","3","90.6","94.8","2013-11-7"
"Chicago Bulls*","1","3",".250","3.5","1","3","90.3","98.0","2013-11-7"
"Miami Heat*","4","2",".667","—","4","2","104.3","99.2","2013-11-7"
"Charlotte Bobcats*","3","2",".600","0.5","2","3","90.2","94.4","2013-11-7"
"Orlando Magic","3","2",".600","0.5","4","1","103.4","96.6","2013-11-7"
"Atlanta Hawks*","2","3",".400","1.5","2","3","105.2","105.4","2013-11-7"
"Washington Wizards*","1","3",".250","2.0","2","2","103.3","106.8","2013-11-7"
"Oklahoma City Thunder*","3","1",".750","—","2","2","98.0","96.8","2013-11-7"
"Minnesota Timberwolves","3","2",".600","0.5","3","2","102.8","99.0","2013-11-7"
"Portland Trail Blazers*","2","2",".500","1.0","2","2","105.0","105.8","2013-11-7"
"Denver Nuggets","1","3",".250","2.0","1","3","97.3","103.0","2013-11-7"
"Utah Jazz","0","5",".000","3.5","1","4","90.0","98.6","2013-11-7"
"Golden State Warriors*","4","1",".800","—","4","1","110.8","98.0","2013-11-7"
"Phoenix Suns","3","2",".600","1.0","3","2","97.4","95.0","2013-11-7"
"Los Angeles Clippers*","3","3",".500","1.5","3","3","110.5","108.3","2013-11-7"
"Los Angeles Lakers","3","3",".500","1.5","2","4","100.5","107.2","2013-11-7"
"Sacramento Kings","1","3",".250","2.5","1","3","94.5","100.3","2013-11-7"
"San Antonio Spurs*","4","1",".800","—","3","2","99.6","96.8","2013-11-7"
"Houston Rockets*","4","2",".667","0.5","4","2","107.5","103.0","2013-11-7"
"Dallas Mavericks*","3","2",".600","1.0","3","2","110.0","106.4","2013-11-7"
"Memphis Grizzlies*","2","3",".400","2.0","2","3","96.6","101.4","2013-11-7"
"New Orleans Pelicans","2","3",".400","2.0","3","2","96.4","95.4","2013-11-7"
"Philadelphia 76ers","4","2",".667","—","3","3","102.7","103.5","2013-11-8"
"Brooklyn Nets*","2","3",".400","1.5","2","3","98.6","101.0","2013-11-8"
"New York Knicks","2","3",".400","1.5","3","2","93.8","93.4","2013-11-8"
"Toronto Raptors*","2","4",".333","2.0","3","3","92.3","94.3","2013-11-8"
"Boston Celtics","2","4",".333","2.0","2","4","89.7","92.7","2013-11-8"
"Indiana Pacers*","6","0","1.000","—","5","1","94.7","84.3","2013-11-8"
"Milwaukee Bucks","2","2",".500","3.0","2","2","96.8","97.3","2013-11-8"
"Chicago Bulls*","2","3",".400","3.5","2","3","91.6","93.0","2013-11-8"
"Detroit Pistons","2","3",".400","3.5","3","2","101.8","101.6","2013-11-8"
"Cleveland Cavaliers","2","4",".333","4.0","2","4","88.7","94.7","2013-11-8"
"Miami Heat*","4","2",".667","—","4","2","104.3","99.2","2013-11-8"
"Charlotte Bobcats*","3","3",".500","1.0","2","4","90.3","95.5","2013-11-8"
"Orlando Magic","3","3",".500","1.0","4","2","101.0","95.7","2013-11-8"
"Atlanta Hawks*","2","3",".400","1.5","2","3","105.2","105.4","2013-11-8"
"Washington Wizards*","2","3",".400","1.5","2","3","105.0","107.0","2013-11-8"
"Oklahoma City Thunder*","4","1",".800","—","3","2","102.2","99.4","2013-11-8"
"Minnesota Timberwolves","4","2",".667","0.5","4","2","105.0","100.5","2013-11-8"
"Portland Trail Blazers*","3","2",".600","1.0","3","2","104.8","102.8","2013-11-8"
"Denver Nuggets","1","4",".200","3.0","1","4","98.4","105.2","2013-11-8"
"Utah Jazz","0","6",".000","4.5","1","5","87.2","98.3","2013-11-8"
"Golden State Warriors*","4","2",".667","—","5","1","104.7","94.3","2013-11-8"
"Phoenix Suns","4","2",".667","—","4","2","100.2","96.3","2013-11-8"
"Los Angeles Clippers*","3","3",".500","1.0","3","3","110.5","108.3","2013-11-8"
"Los Angeles Lakers","3","4",".429","1.5","2","5","98.3","105.6","2013-11-8"
"Sacramento Kings","1","4",".200","2.5","1","4","93.8","101.0","2013-11-8"
"San Antonio Spurs*","5","1",".833","—","4","2","95.7","93.0","2013-11-8"
"Houston Rockets*","4","2",".667","1.0","4","2","107.5","103.0","2013-11-8"
"Dallas Mavericks*","3","3",".500","2.0","3","3","109.7","108.0","2013-11-8"
"New Orleans Pelicans","3","3",".500","2.0","4","2","96.3","93.7","2013-11-8"
"Memphis Grizzlies*","2","3",".400","2.5","2","3","96.6","101.4","2013-11-8"
"Philadelphia 76ers","4","3",".571","—","3","4","105.9","106.9","2013-11-9"
"Toronto Raptors*","3","4",".429","1.0","4","3","95.6","93.9","2013-11-9"
"Boston Celtics","3","4",".429","1.0","3","4","92.7","95.1","2013-11-9"
"New York Knicks","2","3",".400","1.0","3","2","93.8","93.4","2013-11-9"
"Brooklyn Nets*","2","4",".333","1.5","2","4","97.3","100.2","2013-11-9"
"Indiana Pacers*","7","0","1.000","—","6","1","94.9","85.3","2013-11-9"
"Cleveland Cavaliers","3","4",".429","4.0","2","5","94.1","99.0","2013-11-9"
"Chicago Bulls*","2","3",".400","4.0","2","3","91.6","93.0","2013-11-9"
"Detroit Pistons","2","3",".400","4.0","3","2","101.8","101.6","2013-11-9"
"Milwaukee Bucks","2","3",".400","4.0","2","3","94.0","96.0","2013-11-9"
"Miami Heat*","4","3",".571","—","4","3","105.1","100.9","2013-11-9"
"Atlanta Hawks*","3","3",".500","0.5","3","3","105.0","103.5","2013-11-9"
"Charlotte Bobcats*","3","3",".500","0.5","2","4","90.3","95.5","2013-11-9"
"Orlando Magic","3","4",".429","1.0","4","3","100.0","96.9","2013-11-9"
"Washington Wizards*","2","3",".400","1.0","2","3","105.0","107.0","2013-11-9"
"Oklahoma City Thunder*","4","1",".800","—","3","2","102.2","99.4","2013-11-9"
"Portland Trail Blazers*","4","2",".667","0.5","4","2","103.3","99.8","2013-11-9"
"Minnesota Timberwolves","4","2",".667","0.5","4","2","105.0","100.5","2013-11-9"
"Denver Nuggets","1","4",".200","3.0","1","4","98.4","105.2","2013-11-9"
"Utah Jazz","0","7",".000","5.0","1","6","87.7","100.7","2013-11-9"
"Phoenix Suns","4","2",".667","—","4","2","100.2","96.3","2013-11-9"
"Los Angeles Clippers*","4","3",".571","0.5","4","3","110.0","106.3","2013-11-9"
"Golden State Warriors*","4","3",".571","0.5","5","2","102.6","96.3","2013-11-9"
"Los Angeles Lakers","3","4",".429","1.5","2","5","98.3","105.6","2013-11-9"
"Sacramento Kings","1","5",".167","3.0","1","5","92.3","100.2","2013-11-9"
"San Antonio Spurs*","5","1",".833","—","4","2","95.7","93.0","2013-11-9"
"Houston Rockets*","4","3",".571","1.5","4","3","105.6","103.6","2013-11-9"
