"team","w","l","w_lpercent","gb","pw","pl","ps_g","pa_g","date"
"Philadelphia 76ers*","49","23","0.681","—","48","24","113.6","108.1","2011-11-31"
"Brooklyn Nets*","48","24","0.667","1.0","46","26","118.6","114.1","2011-11-31"
"Milwaukee Bucks*","46","26","0.639","3.0","48","24","120.1","114.2","2011-11-31"
"Atlanta Hawks*","41","31","0.569","8.0","41","31","113.7","111.4","2011-11-31"
"New York Knicks*","41","31","0.569","8.0","41","31","107","104.7","2011-11-31"
"Miami Heat*","40","32","0.556","9.0","36","36","108.1","108","2011-11-31"
"Boston Celtics*","36","36","0.5","13.0","39","33","112.6","111.2","2011-11-31"
"Washington Wizards*","34","38","0.472","15.0","32","40","116.6","118.5","2011-11-31"
"Indiana Pacers","34","38","0.472","15.0","36","36","115.3","115.3","2011-11-31"
"Charlotte Hornets","33","39","0.458","16.0","32","40","109.5","111.4","2011-11-31"
"Chicago Bulls","31","41","0.431","18.0","34","38","110.7","111.6","2011-11-31"
"Toronto Raptors","27","45","0.375","22.0","35","37","111.3","111.7","2011-11-31"
"Cleveland Cavaliers","22","50","0.306","27.0","18","54","103.8","112.3","2011-11-31"
"Orlando Magic","21","51","0.292","28.0","17","55","104","113.3","2011-11-31"
"Detroit Pistons","20","52","0.278","29.0","26","46","106.6","111.1","2011-11-31"
"Utah Jazz*","52","20","0.722","—","55","17","116.4","107.2","2011-11-31"
"Phoenix Suns*","51","21","0.708","1.0","49","23","115.3","109.5","2011-11-31"
"Los Angeles Clippers*","47","25","0.653","5.0","49","23","114","107.8","2011-11-31"
"Denver Nuggets*","47","25","0.653","5.0","47","25","115.1","110.1","2011-11-31"
"Dallas Mavericks*","42","30","0.583","10.0","41","31","112.4","110.2","2011-11-31"
"Portland Trail Blazers*","42","30","0.583","10.0","40","32","116.1","114.3","2011-11-31"
"Los Angeles Lakers*","42","30","0.583","10.0","42","30","109.5","106.8","2011-11-31"
"Golden State Warriors","39","33","0.542","13.0","38","34","113.7","112.7","2011-11-31"
"Memphis Grizzlies*","38","34","0.528","14.0","38","34","113.3","112.3","2011-11-31"
"San Antonio Spurs","33","39","0.458","19.0","32","40","111.1","112.8","2011-11-31"
"New Orleans Pelicans","31","41","0.431","21.0","35","37","114.6","114.9","2011-11-31"
"Sacramento Kings","31","41","0.431","21.0","28","44","113.7","117.4","2011-11-31"
"Minnesota Timberwolves","23","49","0.319","29.0","24","48","112.1","117.7","2011-11-31"
"Oklahoma City Thunder","22","50","0.306","30.0","15","57","105","115.6","2011-11-31"
"Houston Rockets","17","55","0.236","35.0","20","52","108.8","116.7","2011-11-31"
"New York Knicks*","1","0","1.000","—","1","0","106.0","104.0","2011-12-25"
"Boston Celtics*","0","1",".000","1.0","0","1","104.0","106.0","2011-12-25"
"Chicago Bulls*","1","0","1.000","—","1","0","88.0","87.0","2011-12-25"
"Miami Heat*","1","0","1.000","—","1","0","105.0","94.0","2011-12-25"
"Orlando Magic*","0","1",".000","1.0","0","1","89.0","97.0","2011-12-25"
"Oklahoma City Thunder*","1","0","1.000","—","1","0","97.0","89.0","2011-12-25"
"Los Angeles Clippers*","1","0","1.000","—","1","0","105.0","86.0","2011-12-25"
"Los Angeles Lakers*","0","1",".000","1.0","0","1","87.0","88.0","2011-12-25"
"Golden State Warriors","0","1",".000","1.0","0","1","86.0","105.0","2011-12-25"
"Dallas Mavericks*","0","1",".000","—","0","1","94.0","105.0","2011-12-25"
"New York Knicks*","1","0","1.000","—","1","0","106.0","104.0","2011-12-26"
"New Jersey Nets","1","0","1.000","—","1","0","90.0","84.0","2011-12-26"
"Toronto Raptors","1","0","1.000","—","1","0","104.0","96.0","2011-12-26"
"Boston Celtics*","0","1",".000","1.0","0","1","104.0","106.0","2011-12-26"
"Philadelphia 76ers*","0","1",".000","1.0","0","1","103.0","107.0","2011-12-26"
"Indiana Pacers*","1","0","1.000","—","1","0","91.0","79.0","2011-12-26"
"Chicago Bulls*","1","1",".500","0.5","1","1","89.5","93.0","2011-12-26"
"Cleveland Cavaliers","0","1",".000","1.0","0","1","96.0","104.0","2011-12-26"
"Milwaukee Bucks","0","1",".000","1.0","0","1","95.0","96.0","2011-12-26"
"Detroit Pistons","0","1",".000","1.0","0","1","79.0","91.0","2011-12-26"
"Miami Heat*","1","0","1.000","—","1","0","105.0","94.0","2011-12-26"
"Charlotte Bobcats","1","0","1.000","—","1","0","96.0","95.0","2011-12-26"
"Orlando Magic*","1","1",".500","0.5","1","1","96.5","96.0","2011-12-26"
"Washington Wizards","0","1",".000","1.0","0","1","84.0","90.0","2011-12-26"
"Oklahoma City Thunder*","2","0","1.000","—","1","1","100.5","94.5","2011-12-26"
"Denver Nuggets*","1","0","1.000","0.5","1","0","115.0","93.0","2011-12-26"
"Portland Trail Blazers","1","0","1.000","0.5","1","0","107.0","103.0","2011-12-26"
"Minnesota Timberwolves","0","1",".000","1.5","0","1","100.0","104.0","2011-12-26"
"Los Angeles Clippers*","1","0","1.000","—","1","0","105.0","86.0","2011-12-26"
"Sacramento Kings","1","0","1.000","—","1","0","100.0","91.0","2011-12-26"
"Golden State Warriors","1","1",".500","0.5","1","1","92.5","98.0","2011-12-26"
"Phoenix Suns","0","1",".000","1.0","0","1","84.0","85.0","2011-12-26"
"Los Angeles Lakers*","0","2",".000","1.5","1","1","89.0","94.0","2011-12-26"
"San Antonio Spurs*","1","0","1.000","—","1","0","95.0","82.0","2011-12-26"
"New Orleans Hornets","1","0","1.000","—","1","0","85.0","84.0","2011-12-26"
"Memphis Grizzlies*","0","1",".000","1.0","0","1","82.0","95.0","2011-12-26"
"Houston Rockets","0","1",".000","1.0","0","1","95.0","104.0","2011-12-26"
"Dallas Mavericks*","0","2",".000","1.5","0","2","93.5","110.0","2011-12-26"
"New York Knicks*","1","0","1.000","—","1","0","106.0","104.0","2011-12-27"
"Toronto Raptors","1","0","1.000","—","1","0","104.0","96.0","2011-12-27"
"New Jersey Nets","1","1",".500","0.5","0","2","80.0","95.0","2011-12-27"
"Philadelphia 76ers*","0","1",".000","1.0","0","1","103.0","107.0","2011-12-27"
"Boston Celtics*","0","2",".000","1.5","1","1","105.5","110.5","2011-12-27"
"Indiana Pacers*","1","0","1.000","—","1","0","91.0","79.0","2011-12-27"
"Chicago Bulls*","1","1",".500","0.5","1","1","89.5","93.0","2011-12-27"
"Milwaukee Bucks","1","1",".500","0.5","1","1","96.5","95.5","2011-12-27"
"Cleveland Cavaliers","0","1",".000","1.0","0","1","96.0","104.0","2011-12-27"
"Detroit Pistons","0","1",".000","1.0","0","1","79.0","91.0","2011-12-27"
"Miami Heat*","2","0","1.000","—","2","0","110.0","100.5","2011-12-27"
"Atlanta Hawks*","1","0","1.000","0.5","1","0","106.0","70.0","2011-12-27"
"Charlotte Bobcats","1","0","1.000","0.5","1","0","96.0","95.0","2011-12-27"
"Orlando Magic*","1","1",".500","1.0","1","1","96.5","96.0","2011-12-27"
"Washington Wizards","0","1",".000","1.5","0","1","84.0","90.0","2011-12-27"
"Oklahoma City Thunder*","2","0","1.000","—","1","1","100.5","94.5","2011-12-27"
"Portland Trail Blazers","2","0","1.000","—","2","0","104.0","91.0","2011-12-27"
"Denver Nuggets*","1","0","1.000","0.5","1","0","115.0","93.0","2011-12-27"
"Utah Jazz*","0","1",".000","1.5","0","1","71.0","96.0","2011-12-27"
"Minnesota Timberwolves","0","2",".000","2.0","1","1","97.5","101.0","2011-12-27"
"Los Angeles Clippers*","1","0","1.000","—","1","0","105.0","86.0","2011-12-27"
"Golden State Warriors","1","1",".500","0.5","1","1","92.5","98.0","2011-12-27"
"Sacramento Kings","1","1",".500","0.5","1","1","89.5","96.0","2011-12-27"
"Los Angeles Lakers*","1","2",".333","1.0","2","1","91.3","86.3","2011-12-27"
"Phoenix Suns","0","1",".000","1.0","0","1","84.0","85.0","2011-12-27"
"San Antonio Spurs*","1","0","1.000","—","1","0","95.0","82.0","2011-12-27"
"New Orleans Hornets","1","0","1.000","—","1","0","85.0","84.0","2011-12-27"
"Memphis Grizzlies*","0","1",".000","1.0","0","1","82.0","95.0","2011-12-27"
"Houston Rockets","0","1",".000","1.0","0","1","95.0","104.0","2011-12-27"
"Dallas Mavericks*","0","2",".000","1.5","0","2","93.5","110.0","2011-12-27"
"New York Knicks*","1","1",".500","—","1","1","92.0","98.0","2011-12-28"
"Philadelphia 76ers*","1","1",".500","—","2","0","103.0","95.0","2011-12-28"
"New Jersey Nets","1","1",".500","—","0","2","80.0","95.0","2011-12-28"
"Toronto Raptors","1","1",".500","—","1","1","94.5","93.0","2011-12-28"
"Boston Celtics*","0","3",".000","1.5","1","2","96.3","106.0","2011-12-28"
"Indiana Pacers*","2","0","1.000","—","2","0","90.5","82.0","2011-12-28"
"Chicago Bulls*","1","1",".500","1.0","1","1","89.5","93.0","2011-12-28"
"Cleveland Cavaliers","1","1",".500","1.0","1","1","100.5","96.5","2011-12-28"
"Milwaukee Bucks","1","1",".500","1.0","1","1","96.5","95.5","2011-12-28"
"Detroit Pistons","0","2",".000","2.0","0","2","84.0","98.0","2011-12-28"
"Miami Heat*","3","0","1.000","—","2","1","105.3","98.7","2011-12-28"
"Atlanta Hawks*","2","0","1.000","0.5","2","0","103.5","76.5","2011-12-28"
"Orlando Magic*","1","1",".500","1.5","1","1","96.5","96.0","2011-12-28"
"Charlotte Bobcats","1","1",".500","1.5","1","1","95.5","95.5","2011-12-28"
"Washington Wizards","0","2",".000","2.5","0","2","83.5","95.5","2011-12-28"
"Oklahoma City Thunder*","3","0","1.000","—","2","1","99.7","94.7","2011-12-28"
"Denver Nuggets*","2","0","1.000","0.5","2","0","116.0","96.5","2011-12-28"
"Portland Trail Blazers","2","0","1.000","0.5","2","0","104.0","91.0","2011-12-28"
"Utah Jazz*","0","2",".000","2.5","0","2","85.5","106.5","2011-12-28"
"Minnesota Timberwolves","0","2",".000","2.5","1","1","97.5","101.0","2011-12-28"
"Golden State Warriors","2","1",".667","—","2","1","92.3","91.3","2011-12-28"
"Los Angeles Clippers*","1","1",".500","0.5","1","1","97.5","100.5","2011-12-28"
"Sacramento Kings","1","1",".500","0.5","1","1","89.5","96.0","2011-12-28"
"Los Angeles Lakers*","1","2",".333","1.0","2","1","91.3","86.3","2011-12-28"
"Phoenix Suns","0","2",".000","1.5","0","2","83.5","94.0","2011-12-28"
"San Antonio Spurs*","2","0","1.000","—","2","0","105.0","86.0","2011-12-28"
"New Orleans Hornets","2","0","1.000","—","2","0","91.0","81.0","2011-12-28"
"Houston Rockets","0","1",".000","1.5","0","1","95.0","104.0","2011-12-28"
"Dallas Mavericks*","0","2",".000","2.0","0","2","93.5","110.0","2011-12-28"
"Memphis Grizzlies*","0","2",".000","2.0","0","2","88.5","96.5","2011-12-28"
"Philadelphia 76ers*","1","1",".500","—","2","0","103.0","95.0","2011-12-29"
"Toronto Raptors","1","1",".500","—","1","1","94.5","93.0","2011-12-29"
"New York Knicks*","1","2",".333","0.5","1","2","88.7","98.3","2011-12-29"
"New Jersey Nets","1","2",".333","0.5","0","3","79.3","94.7","2011-12-29"
"Boston Celtics*","0","3",".000","1.5","1","2","96.3","106.0","2011-12-29"
"Indiana Pacers*","2","0","1.000","—","2","0","90.5","82.0","2011-12-29"
"Chicago Bulls*","2","1",".667","0.5","2","1","95.7","94.7","2011-12-29"
"Cleveland Cavaliers","1","1",".500","1.0","1","1","100.5","96.5","2011-12-29"
"Milwaukee Bucks","1","1",".500","1.0","1","1","96.5","95.5","2011-12-29"
"Detroit Pistons","0","2",".000","2.0","0","2","84.0","98.0","2011-12-29"
"Miami Heat*","3","0","1.000","—","2","1","105.3","98.7","2011-12-29"
"Atlanta Hawks*","2","0","1.000","0.5","2","0","103.5","76.5","2011-12-29"
"Orlando Magic*","2","1",".667","1.0","2","1","95.7","90.0","2011-12-29"
"Charlotte Bobcats","1","1",".500","1.5","1","1","95.5","95.5","2011-12-29"
"Washington Wizards","0","2",".000","2.5","0","2","83.5","95.5","2011-12-29"
"Oklahoma City Thunder*","4","0","1.000","—","3","1","100.8","96.5","2011-12-29"
"Portland Trail Blazers","3","0","1.000","0.5","3","0","106.3","94.7","2011-12-29"
"Denver Nuggets*","2","1",".667","1.5","2","1","111.3","101.3","2011-12-29"
"Utah Jazz*","0","2",".000","3.0","0","2","85.5","106.5","2011-12-29"
"Minnesota Timberwolves","0","2",".000","3.0","1","1","97.5","101.0","2011-12-29"
"Golden State Warriors","2","1",".667","—","2","1","92.3","91.3","2011-12-29"
"Los Angeles Lakers*","2","2",".500","0.5","3","1","93.3","85.3","2011-12-29"
"Los Angeles Clippers*","1","1",".500","0.5","1","1","97.5","100.5","2011-12-29"
"Sacramento Kings","1","2",".333","1.0","1","2","92.3","100.0","2011-12-29"
"Phoenix Suns","0","2",".000","1.5","0","2","83.5","94.0","2011-12-29"
"New Orleans Hornets","2","0","1.000","—","2","0","91.0","81.0","2011-12-29"
"San Antonio Spurs*","2","1",".667","0.5","2","1","98.3","92.3","2011-12-29"
"Houston Rockets","1","1",".500","1.0","1","1","100.0","94.5","2011-12-29"
"Memphis Grizzlies*","0","2",".000","2.0","0","2","88.5","96.5","2011-12-29"
"Dallas Mavericks*","0","3",".000","2.5","1","2","96.3","108.0","2011-12-29"
"New York Knicks*","1","2",".333","—","1","2","88.7","98.3","2011-12-30"
"Philadelphia 76ers*","1","2",".333","—","2","1","101.7","97.3","2011-12-30"
"Toronto Raptors","1","2",".333","—","1","2","91.7","95.0","2011-12-30"
"Boston Celtics*","1","3",".250","0.5","1","3","96.3","100.8","2011-12-30"
"New Jersey Nets","1","3",".250","0.5","0","4","84.0","97.3","2011-12-30"
"Indiana Pacers*","3","0","1.000","—","2","1","93.0","85.0","2011-12-30"
"Chicago Bulls*","3","1",".750","0.5","3","1","100.3","96.3","2011-12-30"
"Milwaukee Bucks","2","1",".667","1.0","2","1","98.3","90.7","2011-12-30"
"Cleveland Cavaliers","1","2",".333","2.0","2","1","97.3","97.0","2011-12-30"
"Detroit Pistons","0","3",".000","3.0","0","3","84.3","97.3","2011-12-30"
"Miami Heat*","4","0","1.000","—","3","1","104.8","99.3","2011-12-30"
"Atlanta Hawks*","3","0","1.000","0.5","3","0","104.0","83.7","2011-12-30"
"Orlando Magic*","3","1",".750","1.0","3","1","96.8","87.3","2011-12-30"
"Charlotte Bobcats","1","2",".333","2.5","1","2","90.0","97.0","2011-12-30"
"Washington Wizards","0","3",".000","3.5","0","3","82.7","97.7","2011-12-30"
"Oklahoma City Thunder*","4","0","1.000","—","3","1","100.8","96.5","2011-12-30"
"Portland Trail Blazers","3","0","1.000","0.5","3","0","106.3","94.7","2011-12-30"
"Denver Nuggets*","2","1",".667","1.5","2","1","111.3","101.3","2011-12-30"
"Utah Jazz*","1","2",".333","2.5","0","3","91.0","104.0","2011-12-30"
"Minnesota Timberwolves","0","3",".000","3.5","1","2","98.7","101.7","2011-12-30"
"Golden State Warriors","2","1",".667","—","2","1","92.3","91.3","2011-12-30"
"Los Angeles Lakers*","2","2",".500","0.5","3","1","93.3","85.3","2011-12-30"
"Los Angeles Clippers*","1","2",".333","1.0","1","2","98.7","105.0","2011-12-30"
"Phoenix Suns","1","2",".333","1.0","1","2","86.7","88.7","2011-12-30"
"Sacramento Kings","1","2",".333","1.0","1","2","92.3","100.0","2011-12-30"
"San Antonio Spurs*","2","1",".667","—","2","1","98.3","92.3","2011-12-30"
"New Orleans Hornets","2","1",".667","—","2","1","86.7","85.0","2011-12-30"
"Memphis Grizzlies*","1","2",".333","1.0","2","1","96.7","95.3","2011-12-30"
"Houston Rockets","1","2",".333","1.0","1","2","97.7","100.7","2011-12-30"
"Dallas Mavericks*","1","3",".250","1.5","1","3","97.0","102.5","2011-12-30"
"New York Knicks*","2","2",".500","—","2","2","95.0","96.8","2011-12-31"
"Philadelphia 76ers*","2","2",".500","—","3","1","103.0","92.8","2011-12-31"
"Toronto Raptors","1","2",".333","0.5","1","2","91.7","95.0","2011-12-31"
"Boston Celtics*","1","3",".250","1.0","1","3","96.3","100.8","2011-12-31"
"New Jersey Nets","1","3",".250","1.0","0","4","84.0","97.3","2011-12-31"
"Chicago Bulls*","3","1",".750","—","3","1","100.3","96.3","2011-12-31"
"Indiana Pacers*","3","1",".750","—","3","1","91.8","87.8","2011-12-31"
"Milwaukee Bucks","2","1",".667","0.5","2","1","98.3","90.7","2011-12-31"
"Cleveland Cavaliers","1","2",".333","1.5","2","1","97.3","97.0","2011-12-31"
"Detroit Pistons","1","3",".250","2.0","1","3","87.3","95.0","2011-12-31"
"Miami Heat*","4","0","1.000","—","3","1","104.8","99.3","2011-12-31"
"Orlando Magic*","3","1",".750","1.0","3","1","96.8","87.3","2011-12-31"
"Atlanta Hawks*","3","1",".750","1.0","3","1","99.0","86.5","2011-12-31"
"Charlotte Bobcats","1","2",".333","2.5","1","2","90.0","97.0","2011-12-31"
"Washington Wizards","0","3",".000","3.5","0","3","82.7","97.7","2011-12-31"
"Oklahoma City Thunder*","5","0","1.000","—","3","2","102.0","96.6","2011-12-31"
"Portland Trail Blazers","3","0","1.000","1.0","3","0","106.3","94.7","2011-12-31"
"Denver Nuggets*","2","2",".500","2.5","3","1","105.8","99.0","2011-12-31"
"Utah Jazz*","1","3",".250","3.5","0","4","90.5","104.0","2011-12-31"
"Minnesota Timberwolves","0","3",".000","4.0","1","2","98.7","101.7","2011-12-31"
"Los Angeles Lakers*","3","2",".600","—","4","1","93.0","86.0","2011-12-31"
"Golden State Warriors","2","2",".500","0.5","1","3","89.0","95.3","2011-12-31"
"Los Angeles Clippers*","1","2",".333","1.0","1","2","98.7","105.0","2011-12-31"
"Phoenix Suns","1","3",".250","1.5","1","3","89.3","93.3","2011-12-31"
"Sacramento Kings","1","3",".250","1.5","1","3","92.3","103.5","2011-12-31"
"San Antonio Spurs*","3","1",".750","—","3","1","99.8","91.5","2011-12-31"
"New Orleans Hornets","2","1",".667","0.5","2","1","86.7","85.0","2011-12-31"
"Houston Rockets","2","2",".500","1.0","2","2","97.0","96.5","2011-12-31"
"Memphis Grizzlies*","1","2",".333","1.5","2","1","96.7","95.3","2011-12-31"
"Dallas Mavericks*","1","3",".250","2.0","1","3","97.0","102.5","2011-12-31"
"New York Knicks*","2","2",".500","—","2","2","95.0","96.8","2012-1-1"
"Philadelphia 76ers*","2","2",".500","—","3","1","103.0","92.8","2012-1-1"
"Boston Celtics*","2","3",".400","0.5","2","3","95.8","97.8","2012-1-1"
"Toronto Raptors","1","3",".250","1.0","1","3","92.8","96.8","2012-1-1"
"New Jersey Nets","1","4",".200","1.5","1","4","83.6","97.4","2012-1-1"
"Chicago Bulls*","4","1",".800","—","4","1","101.0","89.8","2012-1-1"
"Indiana Pacers*","3","1",".750","0.5","3","1","91.8","87.8","2012-1-1"
"Milwaukee Bucks","2","1",".667","1.0","2","1","98.3","90.7","2012-1-1"
"Cleveland Cavaliers","2","2",".500","1.5","3","1","97.5","93.3","2012-1-1"
"Detroit Pistons","1","3",".250","2.5","1","3","87.3","95.0","2012-1-1"
"Miami Heat*","5","0","1.000","—","4","1","109.6","97.4","2012-1-1"
"Orlando Magic*","4","1",".800","1.0","4","1","97.8","89.0","2012-1-1"
"Atlanta Hawks*","3","1",".750","1.5","3","1","99.0","86.5","2012-1-1"
"Charlotte Bobcats","1","3",".250","3.5","0","4","90.0","105.0","2012-1-1"
"Washington Wizards","0","4",".000","4.5","0","4","83.5","96.8","2012-1-1"
"Oklahoma City Thunder*","5","0","1.000","—","3","2","102.0","96.6","2012-1-1"
"Portland Trail Blazers","3","1",".750","1.5","3","1","101.8","94.3","2012-1-1"
"Denver Nuggets*","3","2",".600","2.0","4","1","104.4","97.2","2012-1-1"
"Utah Jazz*","1","3",".250","3.5","0","4","90.5","104.0","2012-1-1"
"Minnesota Timberwolves","1","3",".250","3.5","2","2","98.8","96.8","2012-1-1"
"Los Angeles Lakers*","3","3",".500","—","4","2","92.5","88.2","2012-1-1"
"Los Angeles Clippers*","2","2",".500","—","2","2","97.3","100.8","2012-1-1"
"Golden State Warriors","2","2",".500","—","1","3","89.0","95.3","2012-1-1"
"Sacramento Kings","2","3",".400","0.5","2","3","93.0","98.8","2012-1-1"
"Phoenix Suns","1","3",".250","1.0","1","3","89.3","93.3","2012-1-1"
"San Antonio Spurs*","3","1",".750","—","3","1","99.8","91.5","2012-1-1"
"Houston Rockets","2","2",".500","1.0","2","2","97.0","96.5","2012-1-1"
"New Orleans Hornets","2","2",".500","1.0","2","2","85.0","87.8","2012-1-1"
"Memphis Grizzlies*","1","3",".250","2.0","1","3","88.5","97.5","2012-1-1"
"Dallas Mavericks*","1","4",".200","2.5","1","4","94.0","101.8","2012-1-1"
"Boston Celtics*","3","3",".500","—","3","3","96.5","96.8","2012-1-2"
"Philadelphia 76ers*","2","2",".500","—","3","1","103.0","92.8","2012-1-2"
"New York Knicks*","2","3",".400","0.5","2","3","93.0","95.4","2012-1-2"
"Toronto Raptors","2","3",".400","0.5","2","3","92.2","94.4","2012-1-2"
"New Jersey Nets","1","5",".167","2.0","1","5","85.3","99.2","2012-1-2"
"Chicago Bulls*","4","1",".800","—","4","1","101.0","89.8","2012-1-2"
"Indiana Pacers*","4","1",".800","—","4","1","95.0","89.0","2012-1-2"
"Cleveland Cavaliers","2","2",".500","1.5","3","1","97.5","93.3","2012-1-2"
"Milwaukee Bucks","2","2",".500","1.5","3","1","95.3","90.8","2012-1-2"
"Detroit Pistons","2","3",".400","2.0","2","3","87.6","91.6","2012-1-2"
"Miami Heat*","5","1",".833","—","5","1","106.7","97.8","2012-1-2"
"Atlanta Hawks*","4","1",".800","0.5","4","1","99.2","87.6","2012-1-2"
"Orlando Magic*","4","2",".667","1.0","4","2","94.5","89.0","2012-1-2"
"Charlotte Bobcats","1","3",".250","3.0","0","4","90.0","105.0","2012-1-2"
"Washington Wizards","0","5",".000","4.5","1","4","85.2","97.4","2012-1-2"
"Oklahoma City Thunder*","5","1",".833","—","3","3","99.5","97.2","2012-1-2"
"Portland Trail Blazers","3","1",".750","1.0","3","1","101.8","94.3","2012-1-2"
"Denver Nuggets*","4","2",".667","1.0","4","2","102.2","95.3","2012-1-2"
"Utah Jazz*","2","3",".400","2.5","1","4","91.2","101.2","2012-1-2"
"Minnesota Timberwolves","2","3",".400","2.5","3","2","100.2","96.6","2012-1-2"
"Los Angeles Lakers*","3","3",".500","—","4","2","92.5","88.2","2012-1-2"
"Los Angeles Clippers*","2","2",".500","—","2","2","97.3","100.8","2012-1-2"
"Golden State Warriors","2","3",".400","0.5","1","4","89.4","96.6","2012-1-2"
"Phoenix Suns","2","3",".400","0.5","2","3","91.8","92.8","2012-1-2"
"Sacramento Kings","2","3",".400","0.5","2","3","93.0","98.8","2012-1-2"
"San Antonio Spurs*","3","2",".600","—","3","2","99.0","94.4","2012-1-2"
"Houston Rockets","2","2",".500","0.5","2","2","97.0","96.5","2012-1-2"
"New Orleans Hornets","2","3",".400","1.0","2","3","86.0","89.0","2012-1-2"
"Dallas Mavericks*","2","4",".333","1.5","2","4","95.0","99.3","2012-1-2"
"Memphis Grizzlies*","1","3",".250","1.5","1","3","88.5","97.5","2012-1-2"
"Boston Celtics*","3","3",".500","—","3","3","96.5","96.8","2012-1-3"
"Philadelphia 76ers*","2","2",".500","—","3","1","103.0","92.8","2012-1-3"
"New York Knicks*","2","3",".400","0.5","2","3","93.0","95.4","2012-1-3"
"Toronto Raptors","2","3",".400","0.5","2","3","92.2","94.4","2012-1-3"
"New Jersey Nets","1","5",".167","2.0","1","5","85.3","99.2","2012-1-3"
"Chicago Bulls*","5","1",".833","—","5","1","96.8","87.2","2012-1-3"
"Indiana Pacers*","4","1",".800","0.5","4","1","95.0","89.0","2012-1-3"
"Cleveland Cavaliers","3","2",".600","1.5","4","1","101.0","94.8","2012-1-3"
"Milwaukee Bucks","2","3",".400","2.5","3","2","90.8","89.6","2012-1-3"
"Detroit Pistons","2","3",".400","2.5","2","3","87.6","91.6","2012-1-3"
"Miami Heat*","5","1",".833","—","5","1","106.7","97.8","2012-1-3"
"Orlando Magic*","4","2",".667","1.0","4","2","94.5","89.0","2012-1-3"
"Atlanta Hawks*","4","2",".667","1.0","5","1","95.0","85.7","2012-1-3"
"Charlotte Bobcats","1","4",".200","3.5","1","4","92.2","107.0","2012-1-3"
"Washington Wizards","0","5",".000","4.5","1","4","85.2","97.4","2012-1-3"
"Portland Trail Blazers","4","1",".800","—","4","1","102.0","94.0","2012-1-3"
"Oklahoma City Thunder*","5","2",".714","—","4","3","98.6","98.0","2012-1-3"
"Denver Nuggets*","4","2",".667","0.5","4","2","102.2","95.3","2012-1-3"
"Utah Jazz*","3","3",".500","1.5","2","4","90.2","96.5","2012-1-3"
"Minnesota Timberwolves","2","3",".400","2.0","3","2","100.2","96.6","2012-1-3"
"Los Angeles Lakers*","4","3",".571","—","5","2","94.7","89.7","2012-1-3"
"Los Angeles Clippers*","2","2",".500","0.5","2","2","97.3","100.8","2012-1-3"
"Golden State Warriors","2","3",".400","1.0","1","4","89.4","96.6","2012-1-3"
"Phoenix Suns","2","3",".400","1.0","2","3","91.8","92.8","2012-1-3"
"Sacramento Kings","2","4",".333","1.5","1","5","93.5","101.2","2012-1-3"
"San Antonio Spurs*","3","2",".600","—","3","2","99.0","94.4","2012-1-3"
"Memphis Grizzlies*","2","3",".400","1.0","2","3","93.4","97.2","2012-1-3"
"Houston Rockets","2","3",".400","1.0","2","3","97.4","98.8","2012-1-3"
"New Orleans Hornets","2","3",".400","1.0","2","3","86.0","89.0","2012-1-3"
"Dallas Mavericks*","2","4",".333","1.5","2","4","95.0","99.3","2012-1-3"
"Philadelphia 76ers*","3","2",".600","—","4","1","102.6","92.8","2012-1-4"
"Boston Celtics*","4","3",".571","—","4","3","95.4","93.0","2012-1-4"
"Toronto Raptors","3","3",".500","0.5","3","3","92.2","91.5","2012-1-4"
"New York Knicks*","2","4",".333","1.5","2","4","95.8","99.2","2012-1-4"
"New Jersey Nets","1","6",".143","3.0","1","6","83.1","97.7","2012-1-4"
"Chicago Bulls*","6","1",".857","—","6","1","97.1","86.6","2012-1-4"
"Indiana Pacers*","4","2",".667","1.5","3","3","93.0","93.8","2012-1-4"
"Cleveland Cavaliers","3","3",".500","2.5","4","2","97.0","94.3","2012-1-4"
"Milwaukee Bucks","2","3",".400","3.0","3","2","90.8","89.6","2012-1-4"
"Detroit Pistons","2","4",".333","3.5","2","4","86.8","92.8","2012-1-4"
"Miami Heat*","6","1",".857","—","6","1","108.3","95.7","2012-1-4"
"Orlando Magic*","5","2",".714","1.0","5","2","95.7","88.4","2012-1-4"
"Atlanta Hawks*","4","2",".667","1.5","5","1","95.0","85.7","2012-1-4"
"Charlotte Bobcats","2","4",".333","3.5","1","5","96.5","107.5","2012-1-4"
"Washington Wizards","0","6",".000","5.5","1","5","85.2","98.3","2012-1-4"
"Portland Trail Blazers","4","1",".800","—","4","1","102.0","94.0","2012-1-4"
"Oklahoma City Thunder*","5","2",".714","—","4","3","98.6","98.0","2012-1-4"
"Denver Nuggets*","5","2",".714","—","6","1","103.3","93.6","2012-1-4"
"Utah Jazz*","3","3",".500","1.5","2","4","90.2","96.5","2012-1-4"
"Minnesota Timberwolves","2","4",".333","2.5","4","2","97.8","95.5","2012-1-4"
"Los Angeles Clippers*","3","2",".600","—","3","2","101.2","98.4","2012-1-4"
"Los Angeles Lakers*","4","3",".571","—","5","2","94.7","89.7","2012-1-4"
"Golden State Warriors","2","4",".333","1.5","2","4","90.3","97.3","2012-1-4"
"Phoenix Suns","2","4",".333","1.5","2","4","91.3","93.7","2012-1-4"
"Sacramento Kings","2","5",".286","2.0","1","6","92.0","102.4","2012-1-4"
"San Antonio Spurs*","4","2",".667","—","4","2","99.3","94.5","2012-1-4"
