"typeSeason","slugSeason","idGame","dateGame","slugMatchup","slugTeamWinner","slugTeamLoser","numberGameDay"
"Regular Season","2011-12",21100001,2011-12-25,"BOS @ NYK","NYK","BOS",1
"Regular Season","2011-12",21100002,2011-12-25,"DAL vs. MIA","MIA","DAL",2
"Regular Season","2011-12",21100003,2011-12-25,"LAL vs. CHI","CHI","LAL",3
"Regular Season","2011-12",21100004,2011-12-25,"ORL @ OKC","OKC","ORL",4
"Regular Season","2011-12",21100005,2011-12-25,"GSW vs. LAC","LAC","GSW",5
"Regular Season","2011-12",21100006,2011-12-26,"NJN @ WAS","NJN","WAS",1
"Regular Season","2011-12",21100007,2011-12-26,"MIL @ CHA","CHA","MIL",2
"Regular Season","2011-12",21100008,2011-12-26,"HOU @ ORL","ORL","HOU",3
"Regular Season","2011-12",21100009,2011-12-26,"CLE vs. TOR","TOR","CLE",4
"Regular Season","2011-12",21100010,2011-12-26,"DET @ IND","IND","DET",5
"Regular Season","2011-12",21100011,2011-12-26,"MIN vs. OKC","OKC","MIN",6
"Regular Season","2011-12",21100012,2011-12-26,"DAL vs. DEN","DEN","DAL",7
"Regular Season","2011-12",21100013,2011-12-26,"MEM @ SAS","SAS","MEM",8
"Regular Season","2011-12",21100014,2011-12-26,"NOH @ PHX","NOH","PHX",9
"Regular Season","2011-12",21100015,2011-12-26,"LAL @ SAC","SAC","LAL",10
"Regular Season","2011-12",21100016,2011-12-26,"POR vs. PHI","POR","PHI",11
"Regular Season","2011-12",21100017,2011-12-26,"GSW vs. CHI","GSW","CHI",12
"Regular Season","2011-12",21100018,2011-12-27,"ATL @ NJN","ATL","NJN",1
"Regular Season","2011-12",21100019,2011-12-27,"MIA vs. BOS","MIA","BOS",2
"Regular Season","2011-12",21100020,2011-12-27,"MIL vs. MIN","MIL","MIN",3
"Regular Season","2011-12",21100021,2011-12-27,"SAC @ POR","POR","SAC",4
"Regular Season","2011-12",21100022,2011-12-27,"LAL vs. UTA","LAL","UTA",5
"Regular Season","2011-12",21100023,2011-12-28,"TOR vs. IND","IND","TOR",1
"Regular Season","2011-12",21100024,2011-12-28,"MIA @ CHA","MIA","CHA",2
"Regular Season","2011-12",21100025,2011-12-28,"WAS @ ATL","ATL","WAS",3
"Regular Season","2011-12",21100026,2011-12-28,"CLE @ DET","CLE","DET",4
"Regular Season","2011-12",21100027,2011-12-28,"OKC @ MEM","OKC","MEM",5
"Regular Season","2011-12",21100028,2011-12-28,"NOH vs. BOS","NOH","BOS",6
"Regular Season","2011-12",21100029,2011-12-28,"LAC @ SAS","SAS","LAC",7
"Regular Season","2011-12",21100030,2011-12-28,"UTA @ DEN","DEN","UTA",8
"Regular Season","2011-12",21100031,2011-12-28,"PHI @ PHX","PHI","PHX",9
"Regular Season","2011-12",21100032,2011-12-28,"NYK @ GSW","GSW","NYK",10
"Regular Season","2011-12",21100033,2011-12-29,"NJN @ ORL","ORL","NJN",1
"Regular Season","2011-12",21100034,2011-12-29,"HOU vs. SAS","HOU","SAS",2
"Regular Season","2011-12",21100035,2011-12-29,"DAL @ OKC","OKC","DAL",3
"Regular Season","2011-12",21100036,2011-12-29,"SAC vs. CHI","CHI","SAC",4
"Regular Season","2011-12",21100037,2011-12-29,"POR vs. DEN","POR","DEN",5
"Regular Season","2011-12",21100038,2011-12-29,"NYK @ LAL","LAL","NYK",6
"Regular Season","2011-12",21100039,2011-12-30,"ORL @ CHA","ORL","CHA",1
"Regular Season","2011-12",21100040,2011-12-30,"CLE @ IND","IND","CLE",2
"Regular Season","2011-12",21100041,2011-12-30,"DET @ BOS","BOS","DET",3
"Regular Season","2011-12",21100042,2011-12-30,"ATL vs. NJN","ATL","NJN",4
"Regular Season","2011-12",21100043,2011-12-30,"HOU @ MEM","MEM","HOU",5
"Regular Season","2011-12",21100044,2011-12-30,"PHX @ NOH","PHX","NOH",6
"Regular Season","2011-12",21100045,2011-12-30,"MIA @ MIN","MIA","MIN",7
"Regular Season","2011-12",21100046,2011-12-30,"WAS @ MIL","MIL","WAS",8
"Regular Season","2011-12",21100047,2011-12-30,"TOR @ DAL","DAL","TOR",9
"Regular Season","2011-12",21100048,2011-12-30,"PHI @ UTA","UTA","PHI",10
"Regular Season","2011-12",21100049,2011-12-30,"LAC vs. CHI","CHI","LAC",11
"Regular Season","2011-12",21100050,2011-12-31,"LAL vs. DEN","LAL","DEN",1
"Regular Season","2011-12",21100051,2011-12-31,"IND @ DET","DET","IND",2
"Regular Season","2011-12",21100052,2011-12-31,"HOU vs. ATL","HOU","ATL",3
"Regular Season","2011-12",21100053,2011-12-31,"OKC vs. PHX","OKC","PHX",4
"Regular Season","2011-12",21100054,2011-12-31,"NYK @ SAC","NYK","SAC",5
"Regular Season","2011-12",21100055,2011-12-31,"UTA @ SAS","SAS","UTA",6
"Regular Season","2011-12",21100056,2011-12-31,"GSW vs. PHI","PHI","GSW",7
"Regular Season","2011-12",21100057,2012-01-01,"BOS @ WAS","BOS","WAS",1
"Regular Season","2011-12",21100058,2012-01-01,"ORL vs. TOR","ORL","TOR",2
"Regular Season","2011-12",21100059,2012-01-01,"MIA vs. CHA","MIA","CHA",3
"Regular Season","2011-12",21100060,2012-01-01,"NJN @ CLE","CLE","NJN",4
"Regular Season","2011-12",21100061,2012-01-01,"MIN vs. DAL","MIN","DAL",5
"Regular Season","2011-12",21100062,2012-01-01,"MEM @ CHI","CHI","MEM",6
"Regular Season","2011-12",21100063,2012-01-01,"DEN vs. LAL","DEN","LAL",7
"Regular Season","2011-12",21100064,2012-01-01,"SAC vs. NOH","SAC","NOH",8
"Regular Season","2011-12",21100065,2012-01-01,"POR @ LAC","LAC","POR",9
"Regular Season","2011-12",21100066,2012-01-02,"GSW @ PHX","PHX","GSW",1
"Regular Season","2011-12",21100067,2012-01-02,"WAS @ BOS","BOS","WAS",2
"Regular Season","2011-12",21100068,2012-01-02,"IND @ NJN","IND","NJN",3
"Regular Season","2011-12",21100069,2012-01-02,"TOR @ NYK","TOR","NYK",4
"Regular Season","2011-12",21100070,2012-01-02,"MIA vs. ATL","ATL","MIA",5
"Regular Season","2011-12",21100071,2012-01-02,"DET vs. ORL","DET","ORL",6
"Regular Season","2011-12",21100072,2012-01-02,"SAS @ MIN","MIN","SAS",7
"Regular Season","2011-12",21100073,2012-01-02,"DAL vs. OKC","DAL","OKC",8
"Regular Season","2011-12",21100074,2012-01-02,"DEN vs. MIL","DEN","MIL",9
"Regular Season","2011-12",21100075,2012-01-02,"NOH @ UTA","UTA","NOH",10
"Regular Season","2011-12",21100076,2012-01-03,"CLE vs. CHA","CLE","CHA",1
"Regular Season","2011-12",21100077,2012-01-03,"CHI vs. ATL","CHI","ATL",2
"Regular Season","2011-12",21100078,2012-01-03,"SAC @ MEM","MEM","SAC",3
"Regular Season","2011-12",21100079,2012-01-03,"OKC vs. POR","POR","OKC",4
"Regular Season","2011-12",21100080,2012-01-03,"MIL @ UTA","UTA","MIL",5
"Regular Season","2011-12",21100081,2012-01-03,"HOU @ LAL","LAL","HOU",6
"Regular Season","2011-12",21100082,2012-01-04,"CLE @ TOR","TOR","CLE",1
"Regular Season","2011-12",21100083,2012-01-04,"ORL vs. WAS","ORL","WAS",2
"Regular Season","2011-12",21100084,2012-01-04,"NJN @ BOS","BOS","NJN",3
"Regular Season","2011-12",21100085,2012-01-04,"NYK vs. CHA","CHA","NYK",4
"Regular Season","2011-12",21100086,2012-01-04,"MIA vs. IND","MIA","IND",5
"Regular Season","2011-12",21100087,2012-01-04,"CHI @ DET","CHI","DET",6
"Regular Season","2011-12",21100088,2012-01-04,"PHI @ NOH","PHI","NOH",7
"Regular Season","2011-12",21100089,2012-01-04,"MIN vs. MEM","MEM","MIN",8
"Regular Season","2011-12",21100090,2012-01-04,"DAL vs. PHX","DAL","PHX",9
"Regular Season","2011-12",21100091,2012-01-04,"GSW @ SAS","SAS","GSW",10
"Regular Season","2011-12",21100092,2012-01-04,"SAC @ DEN","DEN","SAC",11
"Regular Season","2011-12",21100093,2012-01-04,"HOU @ LAC","LAC","HOU",12
"Regular Season","2011-12",21100094,2012-01-05,"MIA @ ATL","MIA","ATL",1
"Regular Season","2011-12",21100095,2012-01-05,"DAL @ SAS","SAS","DAL",2
"Regular Season","2011-12",21100096,2012-01-05,"SAC vs. MIL","SAC","MIL",3
"Regular Season","2011-12",21100097,2012-01-05,"POR vs. LAL","POR","LAL",4
"Regular Season","2011-12",21100098,2012-01-06,"NJN @ TOR","NJN","TOR",1
"Regular Season","2011-12",21100099,2012-01-06,"PHI vs. DET","PHI","DET",2
"Regular Season","2011-12",21100100,2012-01-06,"WAS vs. NYK","NYK","WAS",3
