"typeSeason","slugSeason","idGame","dateGame","slugMatchup","slugTeamWinner","slugTeamLoser","numberGameDay"
"Regular Season","2010-11",21000001,2010-10-26,"MIA @ BOS","BOS","MIA",1
"Regular Season","2010-11",21000002,2010-10-26,"POR vs. PHX","POR","PHX",2
"Regular Season","2010-11",21000003,2010-10-26,"LAL vs. HOU","LAL","HOU",3
"Regular Season","2010-11",21000004,2010-10-27,"BOS @ CLE","CLE","BOS",1
"Regular Season","2010-11",21000005,2010-10-27,"DET @ NJN","NJN","DET",2
"Regular Season","2010-11",21000006,2010-10-27,"PHI vs. MIA","MIA","PHI",3
"Regular Season","2010-11",21000007,2010-10-27,"TOR vs. NYK","NYK","TOR",4
"Regular Season","2010-11",21000008,2010-10-27,"MEM vs. ATL","ATL","MEM",5
"Regular Season","2010-11",21000009,2010-10-27,"SAC @ MIN","SAC","MIN",6
"Regular Season","2010-11",21000010,2010-10-27,"MIL @ NOH","NOH","MIL",7
"Regular Season","2010-11",21000011,2010-10-27,"CHI @ OKC","OKC","CHI",8
"Regular Season","2010-11",21000012,2010-10-27,"DAL vs. CHA","DAL","CHA",9
"Regular Season","2010-11",21000013,2010-10-27,"SAS vs. IND","SAS","IND",10
"Regular Season","2010-11",21000014,2010-10-27,"DEN vs. UTA","DEN","UTA",11
"Regular Season","2010-11",21000015,2010-10-27,"HOU @ GSW","GSW","HOU",12
"Regular Season","2010-11",21000016,2010-10-27,"POR @ LAC","POR","LAC",13
"Regular Season","2010-11",21000017,2010-10-28,"WAS @ ORL","ORL","WAS",1
"Regular Season","2010-11",21000018,2010-10-28,"UTA vs. PHX","PHX","UTA",2
"Regular Season","2010-11",21000019,2010-10-29,"CHA vs. IND","IND","CHA",1
"Regular Season","2010-11",21000020,2010-10-29,"SAC @ NJN","NJN","SAC",2
"Regular Season","2010-11",21000021,2010-10-29,"PHI vs. ATL","ATL","PHI",3
"Regular Season","2010-11",21000022,2010-10-29,"TOR vs. CLE","TOR","CLE",4
"Regular Season","2010-11",21000023,2010-10-29,"NYK @ BOS","BOS","NYK",5
"Regular Season","2010-11",21000024,2010-10-29,"OKC @ DET","OKC","DET",6
"Regular Season","2010-11",21000025,2010-10-29,"MIA vs. ORL","MIA","ORL",7
"Regular Season","2010-11",21000026,2010-10-29,"MIL @ MIN","MIN","MIL",8
"Regular Season","2010-11",21000027,2010-10-29,"NOH vs. DEN","NOH","DEN",9
"Regular Season","2010-11",21000028,2010-10-29,"MEM @ DAL","MEM","DAL",10
"Regular Season","2010-11",21000029,2010-10-29,"LAC @ GSW","GSW","LAC",11
"Regular Season","2010-11",21000030,2010-10-29,"LAL @ PHX","LAL","PHX",12
"Regular Season","2010-11",21000031,2010-10-30,"WAS @ ATL","ATL","WAS",1
"Regular Season","2010-11",21000032,2010-10-30,"SAC @ CLE","SAC","CLE",2
"Regular Season","2010-11",21000033,2010-10-30,"NYK vs. POR","POR","NYK",3
"Regular Season","2010-11",21000034,2010-10-30,"PHI @ IND","IND","PHI",4
"Regular Season","2010-11",21000035,2010-10-30,"CHI vs. DET","CHI","DET",5
"Regular Season","2010-11",21000036,2010-10-30,"MEM vs. MIN","MEM","MIN",6
"Regular Season","2010-11",21000037,2010-10-30,"DEN @ HOU","DEN","HOU",7
"Regular Season","2010-11",21000038,2010-10-30,"CHA @ MIL","MIL","CHA",8
"Regular Season","2010-11",21000039,2010-10-30,"SAS vs. NOH","NOH","SAS",9
"Regular Season","2010-11",21000040,2010-10-31,"NJN vs. MIA","MIA","NJN",1
"Regular Season","2010-11",21000041,2010-10-31,"DAL @ LAC","DAL","LAC",2
"Regular Season","2010-11",21000042,2010-10-31,"OKC vs. UTA","UTA","OKC",3
"Regular Season","2010-11",21000043,2010-10-31,"LAL vs. GSW","LAL","GSW",4
"Regular Season","2010-11",21000044,2010-11-01,"POR @ CHI","CHI","POR",1
"Regular Season","2010-11",21000045,2010-11-01,"SAC vs. TOR","SAC","TOR",2
"Regular Season","2010-11",21000046,2010-11-01,"SAS @ LAC","SAS","LAC",3
"Regular Season","2010-11",21000047,2010-11-02,"ATL @ CLE","ATL","CLE",1
"Regular Season","2010-11",21000048,2010-11-02,"WAS vs. PHI","WAS","PHI",2
"Regular Season","2010-11",21000049,2010-11-02,"DET vs. BOS","BOS","DET",3
"Regular Season","2010-11",21000050,2010-11-02,"MIA vs. MIN","MIA","MIN",4
"Regular Season","2010-11",21000052,2010-11-02,"MIL vs. POR","POR","MIL",5
"Regular Season","2010-11",21000053,2010-11-02,"LAL vs. MEM","LAL","MEM",6
"Regular Season","2010-11",21000054,2010-11-03,"DET @ ATL","ATL","DET",1
"Regular Season","2010-11",21000055,2010-11-03,"CHA @ NJN","CHA","NJN",2
"Regular Season","2010-11",21000056,2010-11-03,"MIN @ ORL","ORL","MIN",3
"Regular Season","2010-11",21000057,2010-11-03,"IND @ PHI","PHI","IND",4
"Regular Season","2010-11",21000058,2010-11-03,"BOS vs. MIL","BOS","MIL",5
"Regular Season","2010-11",21000059,2010-11-03,"HOU vs. NOH","NOH","HOU",6
"Regular Season","2010-11",21000060,2010-11-03,"DAL @ DEN","DAL","DEN",7
"Regular Season","2010-11",21000061,2010-11-03,"TOR @ UTA","UTA","TOR",8
"Regular Season","2010-11",21000062,2010-11-03,"PHX vs. SAS","SAS","PHX",9
"Regular Season","2010-11",21000063,2010-11-03,"MEM @ GSW","GSW","MEM",10
"Regular Season","2010-11",21000064,2010-11-03,"OKC @ LAC","LAC","OKC",11
"Regular Season","2010-11",21000065,2010-11-03,"SAC vs. LAL","LAL","SAC",12
"Regular Season","2010-11",21000066,2010-11-04,"NYK @ CHI","NYK","CHI",1
"Regular Season","2010-11",21000067,2010-11-04,"POR vs. OKC","OKC","POR",2
"Regular Season","2010-11",21000068,2010-11-05,"MIL @ IND","MIL","IND",1
"Regular Season","2010-11",21000069,2010-11-05,"NJN @ ORL","ORL","NJN",2
"Regular Season","2010-11",21000070,2010-11-05,"CLE @ PHI","CLE","PHI",3
"Regular Season","2010-11",21000071,2010-11-05,"DET vs. CHA","DET","CHA",4
"Regular Season","2010-11",21000072,2010-11-05,"NYK vs. WAS","NYK","WAS",5
"Regular Season","2010-11",21000073,2010-11-05,"BOS vs. CHI","BOS","CHI",6
"Regular Season","2010-11",21000074,2010-11-05,"ATL @ MIN","ATL","MIN",7
"Regular Season","2010-11",21000075,2010-11-05,"MIA @ NOH","NOH","MIA",8
"Regular Season","2010-11",21000076,2010-11-05,"PHX vs. MEM","PHX","MEM",9
"Regular Season","2010-11",21000077,2010-11-05,"LAC @ DEN","DEN","LAC",10
"Regular Season","2010-11",21000078,2010-11-05,"GSW vs. UTA","GSW","UTA",11
"Regular Season","2010-11",21000079,2010-11-05,"LAL vs. TOR","LAL","TOR",12
"Regular Season","2010-11",21000080,2010-11-06,"ORL @ CHA","ORL","CHA",1
"Regular Season","2010-11",21000081,2010-11-06,"CLE @ WAS","CLE","WAS",2
"Regular Season","2010-11",21000082,2010-11-06,"MIA vs. NJN","MIA","NJN",3
"Regular Season","2010-11",21000083,2010-11-06,"NOH @ MIL","NOH","MIL",4
"Regular Season","2010-11",21000084,2010-11-06,"SAS vs. HOU","SAS","HOU",5
"Regular Season","2010-11",21000085,2010-11-06,"DAL vs. DEN","DEN","DAL",6
"Regular Season","2010-11",21000086,2010-11-06,"LAC @ UTA","UTA","LAC",7
"Regular Season","2010-11",21000087,2010-11-06,"TOR @ POR","POR","TOR",8
"Regular Season","2010-11",21000088,2010-11-06,"SAC vs. MEM","MEM","SAC",9
"Regular Season","2010-11",21000089,2010-11-07,"PHI @ NYK","PHI","NYK",1
"Regular Season","2010-11",21000090,2010-11-07,"ATL vs. PHX","PHX","ATL",2
"Regular Season","2010-11",21000091,2010-11-07,"GSW @ DET","DET","GSW",3
"Regular Season","2010-11",21000092,2010-11-07,"MIN @ HOU","HOU","MIN",4
"Regular Season","2010-11",21000093,2010-11-07,"OKC vs. BOS","BOS","OKC",5
"Regular Season","2010-11",21000094,2010-11-07,"POR @ LAL","LAL","POR",6
"Regular Season","2010-11",21000095,2010-11-08,"SAS @ CHA","SAS","CHA",1
"Regular Season","2010-11",21000096,2010-11-08,"ORL vs. ATL","ORL","ATL",2
"Regular Season","2010-11",21000097,2010-11-08,"GSW @ TOR","GSW","TOR",3
"Regular Season","2010-11",21000098,2010-11-08,"CHI vs. DEN","CHI","DEN",4
"Regular Season","2010-11",21000099,2010-11-08,"MEM vs. PHX","MEM","PHX",5
"Regular Season","2010-11",21000100,2010-11-08,"BOS @ DAL","DAL","BOS",6
"Regular Season","2010-11",21000101,2010-11-09,"IND vs. DEN","IND","DEN",1
"Regular Season","2010-11",21000102,2010-11-09,"NJN vs. CLE","CLE","NJN",2
"Regular Season","2010-11",21000103,2010-11-09,"MIA vs. UTA","UTA","MIA",3
"Regular Season","2010-11",21000104,2010-11-09,"MIL vs. NYK","MIL","NYK",4
"Regular Season","2010-11",21000105,2010-11-09,"LAC @ NOH","NOH","LAC",5
"Regular Season","2010-11",21000106,2010-11-09,"POR vs. DET","POR","DET",6
"Regular Season","2010-11",21000107,2010-11-09,"MIN @ LAL","LAL","MIN",7
"Regular Season","2010-11",21000108,2010-11-10,"MIL @ ATL","MIL","ATL",1
"Regular Season","2010-11",21000109,2010-11-10,"ORL vs. UTA","UTA","ORL",2
"Regular Season","2010-11",21000110,2010-11-10,"TOR vs. CHA","CHA","TOR",3
"Regular Season","2010-11",21000111,2010-11-10,"HOU @ WAS","WAS","HOU",4
"Regular Season","2010-11",21000112,2010-11-10,"NJN @ CLE","NJN","CLE",5
"Regular Season","2010-11",21000113,2010-11-10,"NYK vs. GSW","GSW","NYK",6
"Regular Season","2010-11",21000114,2010-11-10,"DAL @ MEM","DAL","MEM",7
"Regular Season","2010-11",21000115,2010-11-10,"OKC vs. PHI","OKC","PHI",8
"Regular Season","2010-11",21000116,2010-11-10,"LAC @ SAS","SAS","LAC",9
"Regular Season","2010-11",21000117,2010-11-10,"SAC vs. MIN","MIN","SAC",10
"Regular Season","2010-11",21000118,2010-11-11,"MIA vs. BOS","BOS","MIA",1
"Regular Season","2010-11",21000119,2010-11-11,"CHI vs. GSW","CHI","GSW",2
"Regular Season","2010-11",21000120,2010-11-11,"DEN vs. LAL","DEN","LAL",3
"Regular Season","2010-11",21000121,2010-11-12,"ATL vs. UTA","UTA","ATL",1
"Regular Season","2010-11",21000122,2010-11-12,"HOU @ IND","HOU","IND",2
"Regular Season","2010-11",21000123,2010-11-12,"ORL vs. TOR","TOR","ORL",3
"Regular Season","2010-11",21000124,2010-11-12,"WAS vs. CHA","CHA","WAS",4
"Regular Season","2010-11",21000125,2010-11-12,"MIN vs. NYK","MIN","NYK",5
"Regular Season","2010-11",21000126,2010-11-12,"PHI @ DAL","DAL","PHI",6
"Regular Season","2010-11",21000127,2010-11-12,"SAC @ PHX","PHX","SAC",7
"Regular Season","2010-11",21000128,2010-11-12,"POR @ OKC","OKC","POR",8
"Regular Season","2010-11",21000129,2010-11-12,"LAC vs. DET","DET","LAC",9
"Regular Season","2010-11",21000130,2010-11-13,"UTA @ CHA","UTA","CHA",1
"Regular Season","2010-11",21000131,2010-11-13,"ORL @ NJN","ORL","NJN",2
"Regular Season","2010-11",21000132,2010-11-13,"IND @ CLE","IND","CLE",3
"Regular Season","2010-11",21000133,2010-11-13,"TOR @ MIA","MIA","TOR",4
"Regular Season","2010-11",21000134,2010-11-13,"CHI vs. WAS","CHI","WAS",5
"Regular Season","2010-11",21000135,2010-11-13,"MEM vs. BOS","BOS","MEM",6
"Regular Season","2010-11",21000136,2010-11-13,"POR @ NOH","NOH","POR",7
"Regular Season","2010-11",21000137,2010-11-13,"GSW @ MIL","MIL","GSW",8
"Regular Season","2010-11",21000138,2010-11-13,"SAS vs. PHI","SAS","PHI",9
"Regular Season","2010-11",21000139,2010-11-14,"MIN @ ATL","ATL","MIN",1
"Regular Season","2010-11",21000140,2010-11-14,"SAC vs. DET","DET","SAC",2
"Regular Season","2010-11",21000141,2010-11-14,"OKC vs. SAS","SAS","OKC",3
"Regular Season","2010-11",21000142,2010-11-14,"HOU @ NYK","HOU","NYK",4
"Regular Season","2010-11",21000143,2010-11-14,"LAL vs. PHX","PHX","LAL",5
"Regular Season","2010-11",21000144,2010-11-15,"MIN @ CHA","CHA","MIN",1
"Regular Season","2010-11",21000145,2010-11-15,"MEM @ ORL","ORL","MEM",2
"Regular Season","2010-11",21000146,2010-11-15,"NOH @ DAL","DAL","NOH",3
"Regular Season","2010-11",21000147,2010-11-15,"DEN @ PHX","PHX","DEN",4
"Regular Season","2010-11",21000148,2010-11-15,"UTA vs. OKC","OKC","UTA",5
"Regular Season","2010-11",21000149,2010-11-15,"DET @ GSW","GSW","DET",6
"Regular Season","2010-11",21000150,2010-11-15,"LAC vs. NJN","NJN","LAC",7
"Regular Season","2010-11",21000151,2010-11-16,"PHI @ CLE","CLE","PHI",1
"Regular Season","2010-11",21000152,2010-11-16,"ATL @ IND","ATL","IND",2
"Regular Season","2010-11",21000153,2010-11-16,"WAS vs. TOR","WAS","TOR",3
"Regular Season","2010-11",21000154,2010-11-16,"MEM vs. POR","POR","MEM",4
"Regular Season","2010-11",21000155,2010-11-16,"LAL @ MIL","LAL","MIL",5
"Regular Season","2010-11",21000156,2010-11-16,"HOU vs. CHI","CHI","HOU",6
"Regular Season","2010-11",21000157,2010-11-16,"NYK @ DEN","DEN","NYK",7
"Regular Season","2010-11",21000158,2010-11-17,"PHX @ MIA","MIA","PHX",1
"Regular Season","2010-11",21000159,2010-11-17,"PHI vs. TOR","TOR","PHI",2
"Regular Season","2010-11",21000160,2010-11-17,"WAS @ BOS","BOS","WAS",3
"Regular Season","2010-11",21000161,2010-11-17,"LAL @ DET","LAL","DET",4
"Regular Season","2010-11",21000162,2010-11-17,"MIN vs. LAC","MIN","LAC",5
"Regular Season","2010-11",21000163,2010-11-17,"NOH vs. DAL","NOH","DAL",6
"Regular Season","2010-11",21000164,2010-11-17,"OKC vs. HOU","OKC","HOU",7
"Regular Season","2010-11",21000165,2010-11-17,"NJN @ UTA","UTA","NJN",8
"Regular Season","2010-11",21000166,2010-11-17,"SAS vs. CHI","SAS","CHI",9
"Regular Season","2010-11",21000167,2010-11-17,"SAC vs. NYK","NYK","SAC",10
"Regular Season","2010-11",21000168,2010-11-18,"IND vs. LAC","IND","LAC",1
"Regular Season","2010-11",21000169,2010-11-18,"ORL vs. PHX","ORL","PHX",2
"Regular Season","2010-11",21000170,2010-11-18,"DEN @ POR","POR","DEN",3
"Regular Season","2010-11",21000171,2010-11-19,"OKC @ BOS","OKC","BOS",1
"Regular Season","2010-11",21000172,2010-11-19,"PHI vs. MIL","PHI","MIL",2
"Regular Season","2010-11",21000173,2010-11-19,"TOR vs. HOU","TOR","HOU",3
"Regular Season","2010-11",21000174,2010-11-19,"WAS vs. MEM","WAS","MEM",4
"Regular Season","2010-11",21000175,2010-11-19,"MIA vs. CHA","MIA","CHA",5
"Regular Season","2010-11",21000176,2010-11-19,"LAL @ MIN","LAL","MIN",6
"Regular Season","2010-11",21000177,2010-11-19,"NOH vs. CLE","NOH","CLE",7
"Regular Season","2010-11",21000178,2010-11-19,"UTA vs. SAS","SAS","UTA",8
"Regular Season","2010-11",21000179,2010-11-19,"CHI @ DAL","CHI","DAL",9
"Regular Season","2010-11",21000180,2010-11-19,"NJN @ SAC","SAC","NJN",10
"Regular Season","2010-11",21000181,2010-11-19,"GSW vs. NYK","NYK","GSW",11
"Regular Season","2010-11",21000182,2010-11-20,"PHX @ CHA","CHA","PHX",1
"Regular Season","2010-11",21000183,2010-11-20,"ORL @ IND","ORL","IND",2
"Regular Season","2010-11",21000184,2010-11-20,"ATL vs. DAL","DAL","ATL",3
"Regular Season","2010-11",21000185,2010-11-20,"MIA @ MEM","MEM","MIA",4
