"typeSeason","slugSeason","idGame","dateGame","slugMatchup","slugTeamWinner","slugTeamLoser","numberGameDay"
"Regular Season","2018-19",21800001,2018-10-16,"PHI @ BOS","BOS","PHI",1
"Regular Season","2018-19",21800002,2018-10-16,"GSW vs. OKC","GSW","OKC",2
"Regular Season","2018-19",21800003,2018-10-17,"CHA vs. MIL","MIL","CHA",1
"Regular Season","2018-19",21800004,2018-10-17,"DET vs. BKN","DET","BKN",2
"Regular Season","2018-19",21800005,2018-10-17,"MEM @ IND","IND","MEM",3
"Regular Season","2018-19",21800006,2018-10-17,"MIA @ ORL","ORL","MIA",4
"Regular Season","2018-19",21800007,2018-10-17,"NYK vs. ATL","NYK","ATL",5
"Regular Season","2018-19",21800008,2018-10-17,"TOR vs. CLE","TOR","CLE",6
"Regular Season","2018-19",21800009,2018-10-17,"HOU vs. NOP","NOP","HOU",7
"Regular Season","2018-19",21800010,2018-10-17,"SAS vs. MIN","SAS","MIN",8
"Regular Season","2018-19",21800011,2018-10-17,"SAC vs. UTA","UTA","SAC",9
"Regular Season","2018-19",21800012,2018-10-17,"DEN @ LAC","DEN","LAC",10
"Regular Season","2018-19",21800013,2018-10-17,"DAL @ PHX","PHX","DAL",11
"Regular Season","2018-19",21800014,2018-10-18,"PHI vs. CHI","PHI","CHI",1
"Regular Season","2018-19",21800015,2018-10-18,"MIA @ WAS","MIA","WAS",2
"Regular Season","2018-19",21800016,2018-10-18,"LAL @ POR","POR","LAL",3
"Regular Season","2018-19",21800017,2018-10-19,"ORL vs. CHA","CHA","ORL",1
"Regular Season","2018-19",21800018,2018-10-19,"BKN vs. NYK","BKN","NYK",2
"Regular Season","2018-19",21800019,2018-10-19,"BOS @ TOR","TOR","BOS",3
"Regular Season","2018-19",21800020,2018-10-19,"ATL @ MEM","MEM","ATL",4
"Regular Season","2018-19",21800021,2018-10-19,"MIN vs. CLE","MIN","CLE",5
"Regular Season","2018-19",21800022,2018-10-19,"SAC @ NOP","NOP","SAC",6
"Regular Season","2018-19",21800023,2018-10-19,"MIL vs. IND","MIL","IND",7
"Regular Season","2018-19",21800024,2018-10-19,"UTA vs. GSW","GSW","UTA",8
"Regular Season","2018-19",21800025,2018-10-19,"OKC @ LAC","LAC","OKC",9
"Regular Season","2018-19",21800026,2018-10-20,"BKN @ IND","IND","BKN",1
"Regular Season","2018-19",21800027,2018-10-20,"TOR @ WAS","TOR","WAS",2
"Regular Season","2018-19",21800028,2018-10-20,"NYK vs. BOS","BOS","NYK",3
"Regular Season","2018-19",21800029,2018-10-20,"PHI vs. ORL","PHI","ORL",4
"Regular Season","2018-19",21800030,2018-10-20,"MIA vs. CHA","CHA","MIA",5
"Regular Season","2018-19",21800031,2018-10-20,"CHI vs. DET","DET","CHI",6
"Regular Season","2018-19",21800032,2018-10-20,"DAL vs. MIN","DAL","MIN",7
"Regular Season","2018-19",21800033,2018-10-20,"DEN vs. PHX","DEN","PHX",8
"Regular Season","2018-19",21800034,2018-10-20,"POR vs. SAS","POR","SAS",9
"Regular Season","2018-19",21800035,2018-10-20,"HOU @ LAL","HOU","LAL",10
"Regular Season","2018-19",21800036,2018-10-21,"CLE vs. ATL","ATL","CLE",1
"Regular Season","2018-19",21800037,2018-10-21,"SAC @ OKC","SAC","OKC",2
"Regular Season","2018-19",21800038,2018-10-21,"DEN vs. GSW","DEN","GSW",3
"Regular Season","2018-19",21800039,2018-10-21,"HOU @ LAC","LAC","HOU",4
"Regular Season","2018-19",21800040,2018-10-22,"ORL @ BOS","ORL","BOS",1
"Regular Season","2018-19",21800041,2018-10-22,"CHA @ TOR","TOR","CHA",2
