"typeSeason","slugSeason","idGame","dateGame","slugMatchup","slugTeamWinner","slugTeamLoser","numberGameDay"
"Regular Season","2017-18",21700001,2017-10-17,"CLE vs. BOS","CLE","BOS",1
"Regular Season","2017-18",21700002,2017-10-17,"GSW vs. HOU","HOU","GSW",2
"Regular Season","2017-18",21700003,2017-10-18,"CHA @ DET","DET","CHA",1
"Regular Season","2017-18",21700004,2017-10-18,"IND vs. BKN","IND","BKN",2
"Regular Season","2017-18",21700005,2017-10-18,"MIA @ ORL","ORL","MIA",3
"Regular Season","2017-18",21700006,2017-10-18,"PHI @ WAS","WAS","PHI",4
"Regular Season","2017-18",21700007,2017-10-18,"BOS vs. MIL","MIL","BOS",5
"Regular Season","2017-18",21700008,2017-10-18,"MEM vs. NOP","MEM","NOP",6
"Regular Season","2017-18",21700009,2017-10-18,"DAL vs. ATL","ATL","DAL",7
"Regular Season","2017-18",21700010,2017-10-18,"DEN @ UTA","UTA","DEN",8
"Regular Season","2017-18",21700011,2017-10-18,"MIN @ SAS","SAS","MIN",9
"Regular Season","2017-18",21700012,2017-10-18,"POR @ PHX","POR","PHX",10
"Regular Season","2017-18",21700013,2017-10-18,"HOU @ SAC","HOU","SAC",11
"Regular Season","2017-18",21700014,2017-10-19,"CHI @ TOR","TOR","CHI",1
"Regular Season","2017-18",21700015,2017-10-19,"NYK @ OKC","OKC","NYK",2
"Regular Season","2017-18",21700016,2017-10-19,"LAC @ LAL","LAC","LAL",3
"Regular Season","2017-18",21700017,2017-10-20,"ATL @ CHA","CHA","ATL",1
"Regular Season","2017-18",21700018,2017-10-20,"POR @ IND","POR","IND",2
"Regular Season","2017-18",21700019,2017-10-20,"BOS @ PHI","BOS","PHI",3
"Regular Season","2017-18",21700020,2017-10-20,"WAS vs. DET","WAS","DET",4
"Regular Season","2017-18",21700021,2017-10-20,"CLE @ MIL","CLE","MIL",5
"Regular Season","2017-18",21700022,2017-10-20,"ORL @ BKN","BKN","ORL",6
"Regular Season","2017-18",21700023,2017-10-20,"MIN vs. UTA","MIN","UTA",7
"Regular Season","2017-18",21700024,2017-10-20,"DAL vs. SAC","SAC","DAL",8
"Regular Season","2017-18",21700025,2017-10-20,"GSW @ NOP","GSW","NOP",9
"Regular Season","2017-18",21700026,2017-10-20,"PHX vs. LAL","LAL","PHX",10
"Regular Season","2017-18",21700027,2017-10-21,"PHI @ TOR","TOR","PHI",1
"Regular Season","2017-18",21700028,2017-10-21,"CLE vs. ORL","ORL","CLE",2
"Regular Season","2017-18",21700029,2017-10-21,"IND @ MIA","MIA","IND",3
"Regular Season","2017-18",21700030,2017-10-21,"NYK vs. DET","DET","NYK",4
"Regular Season","2017-18",21700031,2017-10-21,"CHI vs. SAS","SAS","CHI",5
"Regular Season","2017-18",21700032,2017-10-21,"HOU vs. DAL","HOU","DAL",6
"Regular Season","2017-18",21700033,2017-10-21,"GSW @ MEM","MEM","GSW",7
"Regular Season","2017-18",21700034,2017-10-21,"POR @ MIL","MIL","POR",8
"Regular Season","2017-18",21700035,2017-10-21,"SAC @ DEN","DEN","SAC",9
"Regular Season","2017-18",21700036,2017-10-21,"OKC @ UTA","UTA","OKC",10
"Regular Season","2017-18",21700037,2017-10-21,"PHX @ LAC","LAC","PHX",11
"Regular Season","2017-18",21700038,2017-10-22,"ATL @ BKN","BKN","ATL",1
"Regular Season","2017-18",21700039,2017-10-22,"MIN @ OKC","MIN","OKC",2
"Regular Season","2017-18",21700040,2017-10-22,"LAL vs. NOP","NOP","LAL",3
"Regular Season","2017-18",21700041,2017-10-23,"DET vs. PHI","PHI","DET",1
"Regular Season","2017-18",21700042,2017-10-23,"MIA vs. ATL","MIA","ATL",2
"Regular Season","2017-18",21700043,2017-10-23,"MEM @ HOU","MEM","HOU",3
"Regular Season","2017-18",21700044,2017-10-23,"MIL vs. CHA","MIL","CHA",4
"Regular Season","2017-18",21700045,2017-10-23,"GSW @ DAL","GSW","DAL",5
"Regular Season","2017-18",21700046,2017-10-23,"TOR @ SAS","SAS","TOR",6
"Regular Season","2017-18",21700047,2017-10-23,"WAS @ DEN","WAS","DEN",7
"Regular Season","2017-18",21700048,2017-10-23,"PHX vs. SAC","PHX","SAC",8
"Regular Season","2017-18",21700049,2017-10-24,"CLE vs. CHI","CLE","CHI",1
"Regular Season","2017-18",21700050,2017-10-24,"BKN @ ORL","ORL","BKN",2
"Regular Season","2017-18",21700051,2017-10-24,"NYK @ BOS","BOS","NYK",3
"Regular Season","2017-18",21700052,2017-10-24,"MIN vs. IND","IND","MIN",4
"Regular Season","2017-18",21700053,2017-10-24,"POR vs. NOP","POR","NOP",5
"Regular Season","2017-18",21700054,2017-10-24,"UTA @ LAC","LAC","UTA",6
"Regular Season","2017-18",21700055,2017-10-25,"DEN @ CHA","CHA","DEN",1
"Regular Season","2017-18",21700056,2017-10-25,"DET vs. MIN","DET","MIN",2
"Regular Season","2017-18",21700057,2017-10-25,"PHI vs. HOU","HOU","PHI",3
"Regular Season","2017-18",21700058,2017-10-25,"CLE @ BKN","BKN","CLE",4
"Regular Season","2017-18",21700059,2017-10-25,"SAS @ MIA","SAS","MIA",5
"Regular Season","2017-18",21700060,2017-10-25,"IND @ OKC","OKC","IND",6
"Regular Season","2017-18",21700061,2017-10-25,"DAL vs. MEM","DAL","MEM",7
"Regular Season","2017-18",21700062,2017-10-25,"UTA @ PHX","PHX","UTA",8
"Regular Season","2017-18",21700063,2017-10-25,"TOR @ GSW","GSW","TOR",9
