"typeSeason","slugSeason","idGame","dateGame","slugMatchup","slugTeamWinner","slugTeamLoser","numberGameDay"
"Regular Season","2012-13",21200001,2012-10-30,"WAS @ CLE","CLE","WAS",1
"Regular Season","2012-13",21200002,2012-10-30,"BOS @ MIA","MIA","BOS",2
"Regular Season","2012-13",21200003,2012-10-30,"LAL vs. DAL","DAL","LAL",3
"Regular Season","2012-13",21200004,2012-10-31,"TOR vs. IND","IND","TOR",1
"Regular Season","2012-13",21200005,2012-10-31,"PHI vs. DEN","PHI","DEN",2
"Regular Season","2012-13",21200006,2012-10-31,"DET vs. HOU","HOU","DET",3
"Regular Season","2012-13",21200007,2012-10-31,"CHI vs. SAC","CHI","SAC",4
"Regular Season","2012-13",21200008,2012-10-31,"NOH vs. SAS","SAS","NOH",5
"Regular Season","2012-13",21200009,2012-10-31,"UTA vs. DAL","UTA","DAL",6
"Regular Season","2012-13",21200010,2012-10-31,"PHX vs. GSW","GSW","PHX",7
"Regular Season","2012-13",21200011,2012-10-31,"LAC vs. MEM","LAC","MEM",8
"Regular Season","2012-13",21200012,2012-10-31,"POR vs. LAL","POR","LAL",9
"Regular Season","2012-13",21200014,2012-11-01,"OKC @ SAS","SAS","OKC",1
"Regular Season","2012-13",21200015,2012-11-02,"CHA vs. IND","CHA","IND",1
"Regular Season","2012-13",21200016,2012-11-02,"ORL vs. DEN","ORL","DEN",2
"Regular Season","2012-13",21200017,2012-11-02,"BOS vs. MIL","MIL","BOS",3
"Regular Season","2012-13",21200018,2012-11-02,"ATL vs. HOU","HOU","ATL",4
"Regular Season","2012-13",21200019,2012-11-02,"CHI @ CLE","CHI","CLE",5
"Regular Season","2012-13",21200020,2012-11-02,"MIA @ NYK","NYK","MIA",6
"Regular Season","2012-13",21200021,2012-11-02,"NOH vs. UTA","NOH","UTA",7
"Regular Season","2012-13",21200022,2012-11-02,"OKC vs. POR","OKC","POR",8
"Regular Season","2012-13",21200023,2012-11-02,"SAC @ MIN","MIN","SAC",9
"Regular Season","2012-13",21200024,2012-11-02,"DET @ PHX","PHX","DET",10
"Regular Season","2012-13",21200025,2012-11-02,"LAC @ LAL","LAC","LAL",11
"Regular Season","2012-13",21200026,2012-11-02,"GSW vs. MEM","MEM","GSW",12
"Regular Season","2012-13",21200027,2012-11-03,"WAS vs. BOS","BOS","WAS",1
"Regular Season","2012-13",21200028,2012-11-03,"SAC @ IND","IND","SAC",2
"Regular Season","2012-13",21200029,2012-11-03,"BKN vs. TOR","BKN","TOR",3
"Regular Season","2012-13",21200030,2012-11-03,"DEN @ MIA","MIA","DEN",4
"Regular Season","2012-13",21200031,2012-11-03,"CHI vs. NOH","NOH","CHI",5
"Regular Season","2012-13",21200032,2012-11-03,"POR @ HOU","POR","HOU",6
"Regular Season","2012-13",21200033,2012-11-03,"CLE @ MIL","MIL","CLE",7
"Regular Season","2012-13",21200034,2012-11-03,"CHA @ DAL","DAL","CHA",8
"Regular Season","2012-13",21200035,2012-11-03,"SAS vs. UTA","SAS","UTA",9
"Regular Season","2012-13",21200036,2012-11-03,"LAC vs. GSW","GSW","LAC",10
"Regular Season","2012-13",21200037,2012-11-04,"PHI @ NYK","NYK","PHI",1
"Regular Season","2012-13",21200038,2012-11-04,"MIN @ TOR","TOR","MIN",2
"Regular Season","2012-13",21200039,2012-11-04,"ORL vs. PHX","ORL","PHX",3
"Regular Season","2012-13",21200040,2012-11-04,"ATL @ OKC","ATL","OKC",4
"Regular Season","2012-13",21200041,2012-11-04,"LAL vs. DET","LAL","DET",5
"Regular Season","2012-13",21200042,2012-11-05,"NYK @ PHI","NYK","PHI",1
"Regular Season","2012-13",21200043,2012-11-05,"MIN @ BKN","MIN","BKN",2
"Regular Season","2012-13",21200044,2012-11-05,"MIA vs. PHX","MIA","PHX",3
"Regular Season","2012-13",21200045,2012-11-05,"MEM vs. UTA","MEM","UTA",4
"Regular Season","2012-13",21200046,2012-11-05,"POR @ DAL","DAL","POR",5
"Regular Season","2012-13",21200047,2012-11-05,"SAS vs. IND","SAS","IND",6
"Regular Season","2012-13",21200048,2012-11-05,"GSW @ SAC","SAC","GSW",7
"Regular Season","2012-13",21200049,2012-11-05,"LAC vs. CLE","CLE","LAC",8
"Regular Season","2012-13",21200050,2012-11-06,"CHI vs. ORL","CHI","ORL",1
"Regular Season","2012-13",21200051,2012-11-06,"OKC vs. TOR","OKC","TOR",2
"Regular Season","2012-13",21200052,2012-11-06,"DET @ DEN","DEN","DET",3
"Regular Season","2012-13",21200053,2012-11-07,"CHA vs. PHX","PHX","CHA",1
"Regular Season","2012-13",21200054,2012-11-07,"WAS @ BOS","BOS","WAS",2
"Regular Season","2012-13",21200055,2012-11-07,"IND @ ATL","ATL","IND",3
"Regular Season","2012-13",21200056,2012-11-07,"MIA vs. BKN","MIA","BKN",4
"Regular Season","2012-13",21200057,2012-11-07,"MIL vs. MEM","MEM","MIL",5
"Regular Season","2012-13",21200058,2012-11-07,"PHI @ NOH","PHI","NOH",6
"Regular Season","2012-13",21200059,2012-11-07,"DEN @ HOU","DEN","HOU",7
"Regular Season","2012-13",21200060,2012-11-07,"MIN vs. ORL","MIN","ORL",8
"Regular Season","2012-13",21200061,2012-11-07,"DAL vs. TOR","DAL","TOR",9
"Regular Season","2012-13",21200062,2012-11-07,"LAL @ UTA","UTA","LAL",10
"Regular Season","2012-13",21200063,2012-11-07,"SAC vs. DET","SAC","DET",11
"Regular Season","2012-13",21200064,2012-11-07,"SAS @ LAC","LAC","SAS",12
"Regular Season","2012-13",21200065,2012-11-07,"CLE @ GSW","GSW","CLE",13
"Regular Season","2012-13",21200066,2012-11-08,"CHI vs. OKC","OKC","CHI",1
"Regular Season","2012-13",21200067,2012-11-08,"POR vs. LAC","LAC","POR",2
"Regular Season","2012-13",21200068,2012-11-09,"MIL @ WAS","MIL","WAS",1
"Regular Season","2012-13",21200069,2012-11-09,"BKN @ ORL","BKN","ORL",2
"Regular Season","2012-13",21200070,2012-11-09,"BOS vs. PHI","PHI","BOS",3
"Regular Season","2012-13",21200071,2012-11-09,"NYK vs. DAL","NYK","DAL",4
"Regular Season","2012-13",21200072,2012-11-09,"ATL vs. MIA","MIA","ATL",5
"Regular Season","2012-13",21200073,2012-11-09,"MEM vs. HOU","MEM","HOU",6
"Regular Season","2012-13",21200074,2012-11-09,"NOH vs. CHA","NOH","CHA",7
