"typeSeason","slugSeason","idGame","dateGame","slugMatchup","slugTeamWinner","slugTeamLoser","numberGameDay"
"Regular Season","2015-16",21500001,2015-10-27,"ATL vs. DET","DET","ATL",1
"Regular Season","2015-16",21500002,2015-10-27,"CHI vs. CLE","CHI","CLE",2
"Regular Season","2015-16",21500003,2015-10-27,"NOP @ GSW","GSW","NOP",3
"Regular Season","2015-16",21500004,2015-10-28,"WAS @ ORL","WAS","ORL",1
"Regular Season","2015-16",21500005,2015-10-28,"PHI @ BOS","BOS","PHI",2
"Regular Season","2015-16",21500006,2015-10-28,"CHI @ BKN","CHI","BKN",3
"Regular Season","2015-16",21500007,2015-10-28,"UTA @ DET","DET","UTA",4
"Regular Season","2015-16",21500008,2015-10-28,"CHA @ MIA","MIA","CHA",5
"Regular Season","2015-16",21500009,2015-10-28,"IND @ TOR","TOR","IND",6
"Regular Season","2015-16",21500010,2015-10-28,"HOU vs. DEN","DEN","HOU",7
"Regular Season","2015-16",21500011,2015-10-28,"MEM vs. CLE","CLE","MEM",8
"Regular Season","2015-16",21500012,2015-10-28,"MIL vs. NYK","NYK","MIL",9
"Regular Season","2015-16",21500013,2015-10-28,"OKC vs. SAS","OKC","SAS",10
"Regular Season","2015-16",21500014,2015-10-28,"PHX vs. DAL","DAL","PHX",11
"Regular Season","2015-16",21500015,2015-10-28,"POR vs. NOP","POR","NOP",12
"Regular Season","2015-16",21500016,2015-10-28,"LAC @ SAC","LAC","SAC",13
"Regular Season","2015-16",21500017,2015-10-28,"MIN @ LAL","MIN","LAL",14
"Regular Season","2015-16",21500018,2015-10-29,"MEM @ IND","MEM","IND",1
"Regular Season","2015-16",21500019,2015-10-29,"NYK vs. ATL","ATL","NYK",2
"Regular Season","2015-16",21500020,2015-10-29,"DAL @ LAC","LAC","DAL",3
"Regular Season","2015-16",21500021,2015-10-30,"CLE vs. MIA","CLE","MIA",1
"Regular Season","2015-16",21500022,2015-10-30,"OKC @ ORL","OKC","ORL",2
"Regular Season","2015-16",21500023,2015-10-30,"UTA @ PHI","UTA","PHI",3
"Regular Season","2015-16",21500024,2015-10-30,"BOS vs. TOR","TOR","BOS",4
"Regular Season","2015-16",21500025,2015-10-30,"DET vs. CHI","DET","CHI",5
"Regular Season","2015-16",21500026,2015-10-30,"CHA @ ATL","ATL","CHA",6
"Regular Season","2015-16",21500027,2015-10-30,"WAS @ MIL","WAS","MIL",7
"Regular Season","2015-16",21500028,2015-10-30,"SAS vs. BKN","SAS","BKN",8
"Regular Season","2015-16",21500029,2015-10-30,"MIN @ DEN","MIN","DEN",9
"Regular Season","2015-16",21500030,2015-10-30,"GSW @ HOU","GSW","HOU",10
"Regular Season","2015-16",21500031,2015-10-30,"SAC vs. LAL","SAC","LAL",11
"Regular Season","2015-16",21500032,2015-10-30,"POR @ PHX","PHX","POR",12
"Regular Season","2015-16",21500033,2015-10-31,"UTA @ IND","UTA","IND",1
