"team_id","team_abbreviation","team_name","gp","w","l","min","min1","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","date"
1610612739,"CLE","Cleveland Cavaliers",1,1,0,264.98,264.98,96912,18.35,10.15,8.21,4.17,4.26,4.01,"10/31/2014"
1610612754,"IND","Indiana Pacers",1,0,1,240,240,86943,16.47,8.91,7.55,4.13,4.34,3.91,"10/31/2014"
1610612746,"LAC","Los Angeles Clippers",1,1,0,240,240,87661,16.6,8.78,7.82,4.16,4.44,3.88,"10/31/2014"
1610612747,"LAL","Los Angeles Lakers",1,0,1,240.01,240.01,89099,16.87,9.18,7.7,4.23,4.57,3.88,"10/31/2014"
1610612763,"MEM","Memphis Grizzlies",1,1,0,240.03,240.03,86599,16.4,8.58,7.82,4.11,4.43,3.8,"10/31/2014"
1610612749,"MIL","Milwaukee Bucks",1,1,0,240,240,91975,17.42,9.25,8.17,4.38,4.65,4.11,"10/31/2014"
1610612755,"PHI","Philadelphia 76ers",1,0,1,240,240,92003,17.42,9.48,7.95,4.37,4.75,3.99,"10/31/2014"
1610612756,"PHX","Phoenix Suns",1,1,0,240,240,90610,17.16,8.62,8.54,4.3,4.49,4.09,"10/31/2014"
1610612757,"POR","Portland Trail Blazers",1,0,1,240,240,87886,16.65,9.22,7.42,4.16,4.55,3.75,"10/31/2014"
1610612758,"SAC","Sacramento Kings",1,1,0,240,240,88162,16.7,8.64,8.06,4.18,4.36,4,"10/31/2014"
1610612759,"SAS","San Antonio Spurs",1,0,1,240,240,92037,17.43,9.99,7.44,4.36,4.81,3.86,"10/31/2014"
1610612737,"ATL","Atlanta Hawks",1,1,0,240,240,85240,16.14,7.62,8.52,4.03,4.6,3.64,"11/1/2014"
1610612738,"BOS","Boston Celtics",1,0,1,240.01,240.01,90380,17.12,8.97,8.15,4.28,4.63,3.95,"11/1/2014"
1610612751,"BKN","Brooklyn Nets",1,1,0,240,240,88258,16.72,9.05,7.67,4.19,4.39,3.96,"11/1/2014"
1610612766,"CHA","Charlotte Hornets",1,0,1,240,240,86875,16.45,8.84,7.62,4.17,4.67,3.66,"11/1/2014"
1610612741,"CHI","Chicago Bulls",1,1,0,240,240,88818,16.82,9.29,7.53,4.2,4.51,3.87,"11/1/2014"
