"team_id","team_abbreviation","team_name","gp","w","l","min","min1","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","date","Team"
1610612737,"ATL","Atlanta Hawks",1,0,1,240,240,96274,18.23,10.19,8.04,4.16,4.38,3.91,2019-11-30,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,0,1,240,240,99231,18.79,9.61,9.19,4.45,4.78,4.14,2020-01-10,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,0,1,240.01,240.01,97939,18.55,9.78,8.76,4.2,4.6,3.87,2019-11-25,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,1,0,240,240,93352,17.68,9.73,7.95,4.1,4.51,3.7,2020-02-29,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,1,0,240,240,91506,17.33,9.36,7.97,4.25,4.59,3.96,2019-10-26,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,0,1,240,240,100398,19.01,10.06,8.96,4.35,4.73,4.03,2020-01-28,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,0,1,240,240,97183,18.41,9.62,8.79,4.27,4.77,3.83,2019-12-19,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,0,1,240,240,100431,19.02,9.95,9.07,4.41,4.67,4.2,2019-11-16,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,1,0,240,240,94338,17.87,9.34,8.53,4.16,4.41,3.87,2019-12-02,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,0,1,240,240,95194,18.03,10.16,7.87,4.16,4.51,3.83,2020-01-03,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,0,1,240,240,99782,18.9,10.1,8.8,4.34,4.5,4.17,2019-11-06,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,1,0,240,240,98117,18.58,10.21,8.38,4.28,4.49,4.05,2020-01-26,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,1,0,240,240,95830,18.15,9.81,8.34,4.18,4.51,3.85,2019-11-12,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,1,0,240,240,96557,18.29,10.23,8.06,4.26,4.56,3.93,2020-01-22,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,0,1,240.01,240.01,96380,18.25,9.72,8.53,4.24,4.66,3.8,2020-01-08,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,1,0,240.03,240.03,99281,18.8,10.01,8.79,4.38,4.72,4.06,2019-11-05,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,0,1,240,240,94221,17.84,9.44,8.4,4.21,4.52,3.91,2019-12-27,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,0,1,240,240,94699,17.94,9.24,8.7,4.23,4.61,3.89,2020-02-01,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,0,1,240,240,99534,18.85,10.2,8.65,4.42,4.66,4.11,2019-12-17,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,0,1,240,240,94314,17.86,9.5,8.36,4.17,4.61,3.77,2019-11-17,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,0,1,265.01,265.01,103144,19.53,10.26,9.28,4.13,4.47,3.83,2019-12-10,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,1,0,240,240,94002,17.8,9.51,8.29,4.18,4.57,3.8,2020-02-28,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,0,1,240,240,97800,18.52,9.61,8.91,4.24,4.57,3.93,2019-12-04,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,0,1,240.01,240.01,100734,19.08,10.46,8.62,4.46,4.72,4.19,2019-11-20,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,0,1,240,240,96941,18.36,9.91,8.45,4.21,4.48,3.93,2019-12-15,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,0,1,240,240,96456,18.27,10.27,8,4.31,4.6,4,2019-10-28,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,0,1,240.01,240.01,96145,18.21,9.44,8.77,4.18,4.73,3.73,2020-02-12,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,1,0,240,240,94309,17.86,9.56,8.3,4.21,4.59,3.83,2020-02-22,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,0,1,240,240,90650,17.17,9.5,7.66,4.11,4.33,3.86,2019-11-08,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,1,0,240,240,97451,18.46,10.45,8.01,4.27,4.64,3.82,2020-01-30,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,1,0,240,240,92908,17.6,9.68,7.92,4.19,4.52,3.84,2019-12-30,"Atlanta Hawks"
1610612737,"ATL","Atlanta Hawks",1,0,1,240.03,240.03,95940,18.17,9.54,8.63,4.26,4.55,3.93,2020-03-06,"Atlanta Hawks"
1610612738,"BOS","Boston Celtics",1,0,1,265,265,102760,19.46,10.48,8.98,4.12,4.32,3.9,2019-11-20,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,0,1,240,240,90121,17.07,9.29,7.78,4.27,4.57,3.96,2019-10-23,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,93262,17.66,9.24,8.43,4.25,4.55,3.91,2019-11-07,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,0,1,240,240,95917,18.17,9.46,8.7,4.27,4.59,3.96,2020-01-08,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,92945,17.6,9.85,7.75,4.09,4.3,3.9,2019-12-01,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,91411,17.31,9.43,7.88,4,4.12,3.87,2019-12-25,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,95833,18.15,9.59,8.56,4.29,4.58,4.02,2020-01-11,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,290,290,113119,21.42,11.7,9.72,4.05,4.37,3.72,2020-02-13,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,0,1,240,240,97210,18.41,10.35,8.06,4.31,4.48,4.1,2020-01-16,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,0,1,240,240,95883,18.16,9.58,8.58,4.3,4.6,4,2020-08-13,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,0,1,265,265,99703,18.88,10.39,8.49,4.02,4.36,3.68,2020-02-29,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,98113,18.58,10.35,8.23,4.39,4.64,4.12,2019-11-13,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,96127,18.21,10.13,8.08,4.21,4.39,4,2020-02-21,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,93587,17.72,9.32,8.4,4.1,4.36,3.83,2019-12-18,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,0,1,265,265,102368,19.39,10.12,9.26,4.1,4.31,3.88,2020-03-03,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,94124,17.83,9.41,8.42,4.17,4.38,3.96,2020-01-22,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,92958,17.61,9.64,7.97,4.1,4.37,3.82,2020-08-11,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,95267,18.04,10.05,7.99,4.18,4.45,3.89,2020-01-30,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,92698,17.56,9.51,8.05,4.07,4.51,3.6,2019-12-06,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,91203,17.27,8.99,8.29,4.08,4.35,3.82,2020-02-07,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,93313,17.67,9.7,7.98,4.15,4.42,3.87,2019-11-27,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,90298,17.1,8.86,8.25,4.04,4.54,3.61,2019-12-09,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,95272,18.04,9.47,8.57,4.22,4.61,3.9,2020-08-05,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,94011,17.81,9.35,8.45,4.08,4.4,3.82,2019-11-11,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,94255,17.85,9.54,8.31,4.19,4.61,3.74,2019-10-26,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240.01,240.01,97078,18.39,9.75,8.64,4.29,4.76,3.85,2019-11-01,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,0,1,240,240,92794,17.57,9.67,7.91,4.13,4.65,3.63,2020-02-11,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240.02,240.02,90773,17.19,9.39,7.8,3.97,4.37,3.59,2020-02-09,"Boston Celtics"
